TypeAnomaly,Severity,City,DetectionDateTime
Reduced Visibility,High,Cavalese,1990-01-01T16:52:05
Reduced Visibility,Low,Telve,1990-01-02T09:01:27
Excessive Precipitation,Medium,Predazzo,1990-01-03T09:03:06
Too Hot Temperature,Critical,Cavalese,1990-01-03T04:17:31
Solid Precipitation,Critical,Lavarone,1990-01-03T22:32:01
Solid Precipitation,High,Tenno,1990-01-04T19:08:03
Excessive Precipitation,Medium,Lavarone,1990-01-04T06:14:26
Reduced Visibility,Low,Cavalese,1990-01-09T22:30:33
Reduced Visibility,Critical,Povo,1990-01-10T12:03:13
Prolonged Low Precipitation,Medium,Telve,1990-01-10T18:55:39
Excessive Precipitation,Critical,Rovereto,1990-01-11T02:31:49
Excessive Precipitation,Critical,Arco,1990-01-11T11:25:08
Excessive Precipitation,High,Arco,1990-01-12T06:57:30
Too Hot Temperature,Critical,Tenno,1990-01-12T01:58:44
Prolonged Low Precipitation,Medium,Trento,1990-01-13T14:40:14
Too Cold Temperature,Critical,Mezzana,1990-01-13T07:07:46
Excessive Precipitation,Low,Trento,1990-01-13T06:56:06
Too Cold Temperature,Critical,Trento,1990-01-15T02:01:39
Excessive Precipitation,High,Trento,1990-01-15T00:39:01
Too Cold Temperature,Critical,Mezzana,1990-01-16T01:44:55
Too Hot Temperature,Medium,Telve,1990-01-16T07:43:22
Too Hot Temperature,Low,Lavarone,1990-01-17T19:46:53
Excessive Precipitation,Low,Tenno,1990-01-17T19:27:55
Solid Precipitation,Critical,Lavarone,1990-01-17T08:37:32
Excessive Wind,High,Cavalese,1990-01-18T01:20:20
Excessive Precipitation,High,Arco,1990-01-19T17:59:48
Reduced Visibility,Critical,Predazzo,1990-01-19T22:31:46
Too Cold Temperature,Medium,Tenno,1990-01-19T15:48:12
Too Cold Temperature,High,Tenno,1990-01-20T10:02:41
Excessive Wind,High,Tenno,1990-01-20T06:35:26
Excessive Precipitation,Low,Cavalese,1990-01-21T03:40:38
Too Hot Temperature,High,Arco,1990-01-21T13:58:46
Prolonged Low Precipitation,Critical,Trento,1990-01-21T03:29:34
Solid Precipitation,Critical,Povo,1990-01-23T03:58:00
Excessive Wind,Medium,Cavalese,1990-01-24T09:01:53
Reduced Visibility,High,Predazzo,1990-01-24T04:45:05
Too Cold Temperature,Medium,Povo,1990-01-24T17:52:05
Solid Precipitation,High,Cavalese,1990-01-25T00:02:10
Solid Precipitation,Critical,Mezzana,1990-01-25T01:20:56
Excessive Precipitation,Critical,Arco,1990-01-25T01:29:17
Prolonged Low Precipitation,High,Telve,1990-01-28T05:51:16
Excessive Precipitation,Critical,Cavalese,1990-01-28T19:06:33
Reduced Visibility,Low,Telve,1990-01-28T12:35:54
Too Hot Temperature,High,Predazzo,1990-01-29T13:01:40
Excessive Wind,Low,Arco,1990-01-30T01:50:11
Excessive Precipitation,Critical,Lavarone,1990-01-30T00:29:37
Too Cold Temperature,Critical,Povo,1990-01-30T01:43:47
Reduced Visibility,Critical,Arco,1990-01-31T01:55:46
Too Hot Temperature,Low,Cavalese,1990-02-01T19:12:49
Excessive Precipitation,High,Rovereto,1990-02-02T03:28:57
Too Hot Temperature,Low,Predazzo,1990-02-02T15:36:25
Excessive Precipitation,High,Rovereto,1990-02-02T23:43:39
Prolonged Low Precipitation,Medium,Tenno,1990-02-03T12:15:48
Too Cold Temperature,High,Predazzo,1990-02-03T00:54:30
Solid Precipitation,Low,Tenno,1990-02-04T17:27:20
Solid Precipitation,Critical,Predazzo,1990-02-04T19:40:41
Prolonged Low Precipitation,Low,Predazzo,1990-02-04T20:39:58
Excessive Precipitation,Low,Rovereto,1990-02-05T02:46:23
Excessive Precipitation,Low,Povo,1990-02-05T13:06:26
Excessive Precipitation,Medium,Povo,1990-02-06T07:59:43
Solid Precipitation,Critical,Povo,1990-02-07T05:07:24
Too Hot Temperature,High,Arco,1990-02-07T17:03:39
Prolonged Low Precipitation,Low,Arco,1990-02-07T19:39:25
Prolonged Low Precipitation,Critical,Mezzana,1990-02-08T15:58:26
Too Hot Temperature,High,Lavarone,1990-02-08T03:42:23
Prolonged Low Precipitation,Critical,Tenno,1990-02-08T02:51:26
Prolonged Low Precipitation,Critical,Povo,1990-02-09T12:06:58
Reduced Visibility,Critical,Arco,1990-02-09T02:33:04
Too Cold Temperature,Low,Telve,1990-02-10T23:07:34
Excessive Wind,Low,Predazzo,1990-02-10T14:07:45
Prolonged Low Precipitation,High,Povo,1990-02-11T11:45:55
Excessive Precipitation,Medium,Lavarone,1990-02-11T16:42:59
Too Cold Temperature,High,Cavalese,1990-02-11T03:03:43
Solid Precipitation,Critical,Cavalese,1990-02-13T04:05:24
Solid Precipitation,Low,Telve,1990-02-13T12:33:13
Excessive Precipitation,Critical,Telve,1990-02-14T07:21:34
Prolonged Low Precipitation,Low,Telve,1990-02-14T23:11:54
Too Hot Temperature,Critical,Arco,1990-02-16T07:15:40
Excessive Precipitation,Critical,Arco,1990-02-16T03:45:55
Excessive Wind,High,Tenno,1990-02-18T06:03:02
Too Hot Temperature,Low,Telve,1990-02-19T05:37:27
Reduced Visibility,High,Telve,1990-02-19T22:25:53
Excessive Wind,High,Povo,1990-02-20T21:06:26
Excessive Precipitation,Medium,Predazzo,1990-02-21T02:35:29
Excessive Wind,Medium,Tenno,1990-02-22T07:25:12
Excessive Wind,Medium,Predazzo,1990-02-22T01:56:16
Too Hot Temperature,Medium,Arco,1990-02-22T04:32:39
Excessive Precipitation,Critical,Mezzana,1990-02-23T11:29:53
Solid Precipitation,High,Trento,1990-02-23T14:19:32
Too Cold Temperature,High,Cavalese,1990-02-23T05:35:05
Prolonged Low Precipitation,Low,Telve,1990-02-24T03:04:20
Too Hot Temperature,Medium,Predazzo,1990-02-24T07:48:57
Solid Precipitation,High,Rovereto,1990-02-24T17:48:35
Excessive Wind,Medium,Tenno,1990-02-25T17:05:13
Solid Precipitation,Low,Trento,1990-02-25T20:20:59
Solid Precipitation,Critical,Telve,1990-02-26T22:46:13
Excessive Wind,Low,Mezzana,1990-02-26T09:10:06
Solid Precipitation,High,Tenno,1990-02-27T09:41:33
Too Hot Temperature,Medium,Povo,1990-02-27T05:10:37
Too Cold Temperature,Medium,Tenno,1990-02-28T09:56:03
Solid Precipitation,High,Tenno,1990-03-01T07:08:32
Too Hot Temperature,Medium,Cavalese,1990-03-01T18:35:05
Excessive Wind,High,Cavalese,1990-03-05T12:49:30
Prolonged Low Precipitation,Critical,Mezzana,1990-03-05T01:59:05
Too Hot Temperature,Low,Mezzana,1990-03-05T16:20:49
Prolonged Low Precipitation,Low,Cavalese,1990-03-07T03:23:56
Too Cold Temperature,Low,Cavalese,1990-03-08T02:59:12
Too Hot Temperature,Critical,Tenno,1990-03-08T04:47:22
Too Cold Temperature,Low,Predazzo,1990-03-08T15:52:39
Too Hot Temperature,Medium,Tenno,1990-03-10T09:39:01
Too Cold Temperature,Low,Lavarone,1990-03-10T05:36:40
Excessive Precipitation,Medium,Arco,1990-03-10T10:48:59
Excessive Precipitation,Medium,Rovereto,1990-03-11T04:56:08
Solid Precipitation,Low,Povo,1990-03-11T18:39:29
Too Cold Temperature,Low,Trento,1990-03-11T03:23:52
Solid Precipitation,High,Povo,1990-03-12T06:59:42
