latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
45.51845,10.737833,110.0,3600,Europe/Berlin,GMT+1,,,,,,,
,,,,,,,,,,,,
time,weather_code (wmo code),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),winddirection_10m_dominant (°),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),temperature_2m_mean (°C)
01/01/1990,0,96,70,86,286,3.5,-0.4,0.00,0.0,10.5,5.7,1.2
02/01/1990,0,93,61,81,293,4.6,-0.3,0.00,0.0,8.7,4.3,1.9
03/01/1990,0,87,58,77,4,5.8,1.9,0.00,0.0,8.6,4.2,3.3
04/01/1990,1,93,71,86,323,4.1,0.5,0.00,0.0,11.4,5.8,1.7
05/01/1990,3,99,67,86,300,3.4,-0.5,0.00,0.0,9.0,4.4,1.2
06/01/1990,3,89,66,80,44,3.5,0.9,0.00,0.0,7.9,3.6,1.8
07/01/1990,1,94,62,82,289,4.6,-1.0,0.00,0.0,10.0,4.8,1.7
08/01/1990,3,96,54,78,291,4.7,-0.5,0.00,0.0,8.4,4.1,2.2
09/01/1990,3,82,49,73,287,6.1,0.8,0.00,0.0,9.8,4.5,3.2
10/01/1990,1,86,57,75,292,6.0,1.0,0.00,0.0,7.1,3.7,3.3
11/01/1990,1,83,57,75,300,7.0,1.9,0.00,0.0,6.6,2.9,4.1
12/01/1990,1,86,52,75,304,7.4,0.6,0.00,0.0,7.6,3.1,3.7
13/01/1990,3,86,50,75,321,6.0,-0.0,0.00,0.0,7.0,2.8,2.7
14/01/1990,3,96,50,76,299,6.7,-1.3,0.00,0.0,9.8,4.4,2.6
15/01/1990,1,90,47,73,290,7.9,0.0,0.00,0.0,10.6,5.4,3.7
16/01/1990,2,77,49,67,279,8.5,1.7,0.00,0.0,9.9,4.3,4.8
17/01/1990,1,88,67,77,273,8.3,2.5,0.00,0.0,10.9,5.4,5.1
18/01/1990,3,95,82,88,298,6.4,2.8,0.00,0.0,9.0,3.5,4.6
19/01/1990,3,89,64,81,329,8.5,2.5,0.00,0.0,9.4,3.7,5.2
20/01/1990,3,95,69,83,297,5.8,1.0,0.00,0.0,8.3,3.3,3.4
21/01/1990,3,93,66,82,283,7.1,1.3,0.00,0.0,7.7,3.3,3.9
22/01/1990,2,91,57,77,324,9.6,1.2,0.00,0.0,7.6,2.7,5.3
23/01/1990,3,90,54,74,301,9.6,0.7,0.00,0.0,8.9,2.9,5.3
24/01/1990,3,90,72,80,323,8.3,2.8,0.00,0.0,8.8,2.4,5.4
25/01/1990,3,90,76,85,18,8.1,4.0,0.00,0.0,8.2,3.3,5.9
26/01/1990,51,97,86,91,296,8.0,3.1,2.30,11.0,17.9,6.0,5.8
27/01/1990,53,97,63,84,56,9.1,-1.1,0.90,3.0,16.4,6.8,4.2
28/01/1990,61,93,84,87,62,9.1,5.3,10.00,13.0,25.4,10.5,6.9
29/01/1990,55,96,88,94,335,10.0,5.8,3.60,11.0,13.1,4.3,7.7
30/01/1990,53,97,93,94,21,9.7,5.6,2.40,6.0,8.7,4.3,7.7
