latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
45.58875,11.320754,517.0,3600,Europe/Berlin,GMT+1,,,,,,,
,,,,,,,,,,,,
time,weather_code (wmo code),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),winddirection_10m_dominant (°),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),temperature_2m_mean (°C)
01/01/1990,0,79,57,72,331,4.1,-3.3,0.00,0.0,9.8,2.8,0.5
02/01/1990,0,79,46,66,342,5.2,-4.2,0.00,0.0,10.5,3.5,0.8
03/01/1990,1,69,48,60,10,5.4,-2.3,0.00,0.0,12.0,3.8,1.5
04/01/1990,0,86,57,72,348,3.8,-4.6,0.00,0.0,13.0,3.2,0.2
05/01/1990,3,72,42,63,344,3.9,-5.1,0.00,0.0,10.3,3.1,-0.6
06/01/1990,3,68,51,61,354,2.5,-2.5,0.00,0.0,9.5,2.8,0.3
07/01/1990,0,84,36,61,345,4.5,-6.2,0.00,0.0,12.1,3.6,-1.3
08/01/1990,2,59,31,49,342,4.9,-6.5,0.00,0.0,11.8,3.6,-1.3
09/01/1990,2,68,38,54,333,6.4,-4.1,0.00,0.0,11.6,3.3,0.5
10/01/1990,0,72,38,59,339,6.1,-4.8,0.00,0.0,11.0,3.3,0.2
11/01/1990,0,71,34,57,338,6.7,-4.8,0.00,0.0,11.2,3.3,0.3
12/01/1990,0,63,29,52,339,7.2,-4.8,0.00,0.0,11.1,3.4,0.3
13/01/1990,3,66,31,51,340,6.8,-4.7,0.00,0.0,11.5,3.4,0.2
14/01/1990,3,67,34,53,338,7.4,-4.4,0.00,0.0,11.7,3.3,1.0
15/01/1990,2,62,31,48,332,7.8,-4.1,0.00,0.0,11.7,3.5,1.9
16/01/1990,3,56,35,50,335,8.3,-3.9,0.00,0.0,12.6,3.2,2.3
17/01/1990,1,76,45,61,338,7.7,-0.8,0.00,0.0,10.8,3.1,3.4
18/01/1990,3,87,65,75,344,6.2,-0.7,0.00,0.0,12.0,3.8,2.7
19/01/1990,3,88,57,77,320,7.3,-2.8,0.00,0.0,13.6,3.7,2.1
20/01/1990,3,86,54,74,339,6.2,-2.8,0.00,0.0,12.2,3.1,1.5
21/01/1990,0,81,45,65,335,8.8,-2.5,0.00,0.0,12.0,3.4,2.7
22/01/1990,0,81,47,68,339,10.1,-1.8,0.00,0.0,11.9,3.8,3.5
23/01/1990,3,81,43,68,328,10.2,-2.3,0.00,0.0,12.7,3.3,3.4
24/01/1990,3,96,68,82,309,6.3,-1.8,0.00,0.0,19.4,3.2,2.0
25/01/1990,3,97,78,91,320,6.5,-1.0,0.00,0.0,15.9,3.6,2.6
26/01/1990,51,99,90,96,303,7.0,-0.6,0.80,4.0,25.2,4.6,3.4
27/01/1990,71,98,64,86,357,7.1,-3.4,0.40,2.0,18.1,5.3,1.8
28/01/1990,71,100,89,96,4,6.5,1.4,13.10,21.0,22.3,4.2,3.3
29/01/1990,61,100,86,97,3,9.3,2.3,5.90,7.0,16.7,3.4,5.3
30/01/1990,51,100,86,96,350,8.6,0.2,0.50,3.0,10.8,2.7,5.1
31/01/1990,3,100,77,92,312,8.2,-1.6,0.00,0.0,14.1,4.0,3.4
01/02/1990,3,100,74,90,349,7.4,0.6,0.00,0.0,12.7,3.6,3.6
02/02/1990,3,97,79,89,318,5.8,1.2,0.00,0.0,14.1,3.4,3.5
03/02/1990,3,98,77,92,303,7.8,-0.8,0.00,0.0,16.3,4.3,3.7
04/02/1990,3,96,61,85,328,11.4,-0.8,0.00,0.0,17.8,4.6,5.4
05/02/1990,1,89,52,77,324,10.8,-1.3,0.00,0.0,13.2,3.9,4.2
06/02/1990,0,84,42,67,336,9.6,-1.5,0.00,0.0,11.6,2.8,3.7
07/02/1990,0,76,33,62,344,10.4,-1.8,0.00,0.0,12.4,3.5,4.1
08/02/1990,3,89,62,73,313,7.9,0.6,0.00,0.0,13.8,3.0,4.3
09/02/1990,51,92,59,81,12,9.0,0.6,0.90,5.0,17.2,4.3,4.3
10/02/1990,71,93,50,74,285,7.7,-1.4,0.30,1.0,17.1,5.1,3.1
11/02/1990,73,96,80,89,44,2.5,0.8,5.20,11.0,17.2,3.9,1.7
12/02/1990,71,94,67,85,356,3.9,-2.3,0.70,4.0,14.2,4.1,0.9
13/02/1990,3,88,37,60,316,9.3,-3.8,0.00,0.0,19.8,5.9,2.8
14/02/1990,71,100,59,80,318,11.7,-1.1,0.80,8.0,26.3,5.0,4.2
15/02/1990,3,99,61,83,330,15.0,0.4,0.00,0.0,29.2,5.9,6.7
16/02/1990,3,60,36,48,327,8.4,4.1,0.00,0.0,17.7,4.5,6.4
17/02/1990,3,67,43,57,36,9.1,0.6,0.00,0.0,15.8,4.1,4.9
18/02/1990,3,72,44,61,309,10.0,2.1,0.00,0.0,12.6,3.2,5.6
19/02/1990,3,84,63,75,308,9.9,1.1,0.00,0.0,12.3,3.3,5.8
20/02/1990,2,90,58,77,318,13.7,0.5,0.00,0.0,11.8,3.5,7.3
21/02/1990,0,90,46,71,322,15.4,0.5,0.00,0.0,13.5,4.0,8.5
22/02/1990,0,83,41,65,328,17.7,1.1,0.00,0.0,15.5,4.4,10.1
23/02/1990,0,83,54,68,300,15.9,4.8,0.00,0.0,12.7,3.5,11.1
24/02/1990,0,89,48,74,319,17.1,2.1,0.00,0.0,13.3,4.0,10.1
25/02/1990,2,92,62,80,261,14.5,3.0,0.00,0.0,15.6,3.9,9.3
26/02/1990,3,100,63,86,256,12.6,3.9,0.00,0.0,25.8,6.2,8.3
27/02/1990,53,95,51,80,296,12.8,1.0,1.60,5.0,42.9,8.3,6.8
28/02/1990,2,87,40,61,304,12.0,-0.8,0.00,0.0,34.5,7.6,5.8
01/03/1990,53,77,33,54,332,14.0,1.7,2.30,6.0,22.0,4.6,8.1
02/03/1990,53,60,23,40,335,9.1,-1.0,0.50,1.0,22.2,4.7,4.0
03/03/1990,0,51,25,37,336,7.3,-2.8,0.00,0.0,27.8,6.4,2.4
04/03/1990,0,61,32,45,304,9.8,-2.7,0.00,0.0,17.8,4.8,3.8
05/03/1990,0,70,40,53,304,10.6,1.3,0.00,0.0,14.3,4.3,6.1
06/03/1990,3,81,44,64,323,12.5,-1.1,0.00,0.0,14.6,3.5,6.2
07/03/1990,2,76,42,60,355,14.4,3.3,0.00,0.0,14.4,3.9,9.4
08/03/1990,3,87,64,76,238,12.8,3.7,0.00,0.0,16.0,3.9,8.6
09/03/1990,51,96,76,88,280,10.4,2.7,0.60,4.0,17.8,4.6,7.5
10/03/1990,3,96,47,71,311,15.6,-0.6,0.00,0.0,20.3,4.4,8.0
11/03/1990,3,82,44,66,329,18.1,0.9,0.00,0.0,16.6,4.0,10.1
12/03/1990,3,92,64,77,331,15.8,3.0,0.00,0.0,12.8,3.5,10.9
13/03/1990,51,87,53,71,51,16.5,7.8,0.50,2.0,13.8,4.4,12.6
14/03/1990,53,91,55,71,36,16.9,4.3,0.60,2.0,15.4,4.5,11.8
15/03/1990,3,84,50,66,46,15.8,4.7,0.00,0.0,19.8,6.1,11.2
