latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
46.010544,11.142858,842.0,3600,Europe/Berlin,GMT+1,,,,,,,
,,,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),winddirection_10m_dominant (°),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),temperature_2m_mean (°C)
01/01/1990,0,3.1,-5.1,0.00,0.0,336,9.7,2.2,78,45,67,-1.5
02/01/1990,0,4.8,-5.6,0.00,0.0,345,10.8,2.8,77,33,60,-0.6
03/01/1990,0,4.1,-5.0,0.00,0.0,21,11.7,3.2,82,42,65,-1.0
04/01/1990,2,3.9,-7.2,0.00,0.0,2,17.1,3.0,91,36,66,-1.8
05/01/1990,3,3.2,-6.9,0.00,0.0,338,11.7,2.8,75,32,59,-2.0
06/01/1990,71,0.4,-5.1,0.70,5.0,25,10.4,2.1,84,51,66,-2.2
07/01/1990,2,2.6,-10.8,0.00,0.0,349,14.5,3.9,91,30,63,-4.3
08/01/1990,2,3.3,-10.1,0.00,0.0,353,12.7,3.4,70,25,52,-3.6
09/01/1990,1,4.4,-8.7,0.00,0.0,336,11.1,3.1,71,28,54,-2.4
10/01/1990,0,4.9,-8.3,0.00,0.0,337,11.2,2.9,74,33,58,-1.9
11/01/1990,0,5.7,-8.1,0.00,0.0,341,11.2,2.9,72,28,55,-1.5
12/01/1990,0,6.0,-8.1,0.00,0.0,342,11.3,3.1,65,25,50,-1.5
13/01/1990,3,5.7,-8.5,0.00,0.0,347,12.1,3.1,66,24,49,-1.6
14/01/1990,3,5.6,-7.3,0.00,0.0,349,12.6,3.1,67,25,48,-0.8
15/01/1990,2,5.9,-7.3,0.00,0.0,337,13.0,3.5,68,26,48,-0.7
16/01/1990,3,8.7,-6.4,0.00,0.0,328,13.0,3.3,62,29,49,0.9
17/01/1990,1,8.1,-3.8,0.00,0.0,307,16.3,3.3,80,44,65,1.6
18/01/1990,3,3.4,-0.8,0.00,0.0,353,13.6,2.9,81,67,74,1.2
19/01/1990,3,4.6,-5.9,0.00,0.0,323,15.6,3.4,92,36,66,-0.4
20/01/1990,3,6.3,-5.6,0.00,0.0,325,13.2,2.8,67,31,53,0.1
21/01/1990,0,9.7,-2.8,0.00,0.0,338,12.6,3.3,67,41,54,2.9
22/01/1990,0,9.6,-2.6,0.00,0.0,346,12.1,3.5,74,37,58,3.1
23/01/1990,3,8.8,-3.0,0.00,0.0,319,16.2,3.0,65,32,54,2.5
24/01/1990,3,5.3,-2.3,0.00,0.0,256,32.8,3.4,92,62,75,0.8
25/01/1990,3,4.6,-2.6,0.00,0.0,277,25.5,3.5,96,71,88,0.9
26/01/1990,71,4.0,-1.1,2.30,6.0,275,36.4,3.7,99,90,94,1.9
27/01/1990,71,6.2,-7.1,0.50,2.0,359,23.7,4.2,99,43,79,-0.0
28/01/1990,71,3.4,0.3,14.90,24.0,20,32.1,3.1,99,83,94,1.6
29/01/1990,71,6.4,1.5,6.60,9.0,352,23.1,1.9,99,84,95,3.8
30/01/1990,51,5.5,-2.1,2.70,12.0,354,14.1,2.1,99,91,97,2.9
31/01/1990,3,5.5,-5.0,0.00,0.0,309,18.0,3.8,99,72,90,0.3
01/02/1990,3,5.1,-2.3,0.00,0.0,324,17.2,3.1,99,68,88,1.1
02/02/1990,3,4.5,-1.2,0.00,0.0,310,21.6,3.4,99,73,88,1.6
03/02/1990,3,5.5,-2.7,0.00,0.0,280,23.4,4.3,99,69,88,1.6
04/02/1990,3,9.1,-1.5,0.00,0.0,320,20.3,4.2,99,43,75,3.7
05/02/1990,0,9.6,-2.5,0.00,0.0,330,14.5,3.3,73,37,62,2.7
06/02/1990,0,9.1,-3.4,0.00,0.0,328,16.4,2.9,70,32,56,2.3
07/02/1990,0,9.5,-2.4,0.00,0.0,338,15.6,3.1,61,24,49,2.7
08/02/1990,3,7.5,-2.3,0.00,0.0,281,21.3,3.4,74,42,61,1.9
09/02/1990,51,7.5,-0.3,0.10,1.0,357,18.9,3.6,76,32,60,3.0
10/02/1990,71,5.2,-3.9,0.50,2.0,279,21.7,5.0,83,33,61,0.6
11/02/1990,73,0.9,-1.9,5.80,9.0,117,22.0,2.5,96,77,86,-0.4
12/02/1990,71,2.9,-2.8,0.60,5.0,349,18.0,3.5,97,50,77,-0.8
13/02/1990,71,5.3,-3.3,0.00,0.0,307,24.6,5.4,75,39,57,0.7
14/02/1990,71,9.7,-1.4,2.40,13.0,293,36.2,5.1,96,61,76,3.1
15/02/1990,51,14.0,1.6,0.20,1.0,310,39.1,6.2,90,27,67,6.7
16/02/1990,3,5.5,0.6,0.00,0.0,14,20.4,3.5,57,22,40,3.5
17/02/1990,3,7.4,-0.8,0.00,0.0,37,16.4,3.4,70,46,59,3.1
18/02/1990,3,8.2,-1.1,0.00,0.0,259,15.0,3.0,73,44,63,3.0
19/02/1990,3,7.9,-0.6,0.00,0.0,276,16.3,3.0,76,54,70,3.3
20/02/1990,2,13.4,1.6,0.00,0.0,322,11.8,2.8,75,43,62,6.9
21/02/1990,0,14.4,1.8,0.00,0.0,324,15.2,3.6,75,39,58,7.9
22/02/1990,0,14.9,3.6,0.00,0.0,344,19.3,4.3,70,45,55,9.1
23/02/1990,0,14.7,3.1,0.00,0.0,305,12.7,3.2,73,40,59,8.8
24/02/1990,0,15.1,2.4,0.00,0.0,324,13.8,3.4,78,37,58,8.7
25/02/1990,2,13.0,2.3,0.00,0.0,245,20.7,4.3,90,47,68,7.4
26/02/1990,3,9.4,2.8,0.00,0.0,253,38.5,6.8,98,64,84,5.9
27/02/1990,73,8.9,0.1,8.00,11.0,298,55.8,6.7,94,57,79,4.8
28/02/1990,71,8.1,-0.5,0.20,1.0,289,39.6,6.3,89,43,58,3.6
01/03/1990,51,11.5,2.7,0.20,1.0,298,34.3,6.0,74,22,46,6.1
02/03/1990,3,5.8,-1.4,0.00,0.0,346,29.4,5.3,51,17,29,2.5
03/03/1990,1,3.3,-5.1,0.00,0.0,350,33.8,7.0,54,24,37,-0.6
04/03/1990,0,7.1,-6.6,0.00,0.0,317,20.6,4.8,58,27,42,0.8
05/03/1990,0,9.2,-3.2,0.00,0.0,292,15.0,3.8,62,30,50,2.7
06/03/1990,3,11.6,-1.9,0.00,0.0,293,16.6,3.6,69,25,50,4.8
07/03/1990,3,14.2,0.1,0.00,0.0,315,16.0,3.2,65,28,48,7.5
08/03/1990,3,11.0,1.1,0.00,0.0,241,24.0,4.2,88,57,70,6.1
09/03/1990,51,8.0,2.7,0.90,5.0,271,23.8,4.5,96,75,86,5.2
10/03/1990,3,14.2,1.6,0.00,0.0,317,22.2,4.6,85,36,58,8.2
11/03/1990,3,17.7,2.4,0.00,0.0,321,19.9,4.1,71,35,54,10.1
12/03/1990,3,15.4,2.9,0.00,0.0,252,15.7,3.1,81,54,70,9.4
13/03/1990,3,14.1,7.0,0.00,0.0,52,16.4,3.8,80,52,65,10.7
14/03/1990,53,14.7,4.3,0.90,3.0,5,16.0,3.5,87,56,73,9.4
15/03/1990,3,13.5,3.7,0.00,0.0,36,22.0,4.8,85,52,69,9.2
16/03/1990,3,12.3,4.1,0.00,0.0,97,17.7,4.0,85,56,72,8.2
17/03/1990,3,11.6,4.7,0.00,0.0,93,21.9,3.9,85,45,65,7.8
18/03/1990,3,12.6,3.3,0.00,0.0,81,17.5,3.8,73,44,57,8.2
19/03/1990,0,15.0,3.6,0.00,0.0,326,15.2,3.7,70,37,50,9.8
20/03/1990,3,17.3,4.0,0.00,0.0,310,16.9,3.9,67,29,46,11.3
21/03/1990,3,17.4,6.1,0.00,0.0,300,17.3,4.5,70,38,50,12.0
22/03/1990,3,19.0,6.1,0.00,0.0,276,18.9,4.1,70,38,56,12.9
23/03/1990,61,17.0,6.9,6.00,6.0,10,20.0,3.4,84,50,69,11.2
24/03/1990,3,13.3,7.4,0.00,0.0,173,20.1,4.3,89,64,76,10.1
25/03/1990,71,8.9,0.7,11.20,19.0,291,33.2,5.4,97,80,91,6.1
26/03/1990,73,1.1,-1.3,14.30,21.0,33,49.1,8.0,85,71,77,0.0
27/03/1990,75,2.2,-2.5,21.50,21.0,21,42.6,7.0,95,71,82,-0.1
28/03/1990,73,4.3,-0.1,5.30,19.0,40,31.5,6.1,95,67,83,2.0
29/03/1990,3,9.2,-4.7,0.00,0.0,6,25.9,5.1,97,38,68,2.6
30/03/1990,53,10.8,0.5,1.60,4.0,27,23.7,4.8,76,40,59,5.8
31/03/1990,2,13.0,-1.7,0.00,0.0,293,14.2,3.2,78,39,61,6.7
01/04/1990,3,14.4,1.5,0.00,0.0,165,18.5,4.2,81,48,64,8.7
02/04/1990,51,11.5,5.6,1.60,8.0,165,19.8,3.7,92,70,82,8.2
03/04/1990,53,8.3,3.8,4.70,17.0,90,19.7,3.9,100,80,90,5.9
04/04/1990,55,8.1,3.9,6.90,17.0,344,15.6,2.6,99,82,95,5.8
05/04/1990,53,9.9,3.7,2.70,10.0,130,21.7,4.2,98,75,89,6.1
06/04/1990,61,8.6,2.3,14.80,13.0,56,21.2,4.2,99,71,89,5.5
07/04/1990,61,7.0,4.4,22.40,24.0,347,21.3,4.4,94,85,90,5.7
08/04/1990,61,9.9,3.5,9.40,18.0,87,20.9,4.2,100,62,84,6.4
09/04/1990,71,5.2,1.2,10.30,19.0,62,27.7,5.8,100,77,90,3.4
10/04/1990,51,12.6,0.3,1.40,7.0,324,23.0,2.7,94,31,60,6.9
11/04/1990,51,10.4,1.1,2.30,9.0,310,21.0,4.0,74,40,54,6.0
12/04/1990,53,9.7,2.3,1.50,5.0,6,22.2,3.1,68,34,49,6.2
13/04/1990,51,11.2,1.9,0.30,3.0,227,21.5,5.0,74,39,51,6.5
14/04/1990,61,9.8,3.8,6.30,8.0,168,20.2,3.3,94,55,73,6.4
15/04/1990,53,7.4,2.4,6.50,18.0,196,22.9,3.7,98,77,90,4.7
16/04/1990,53,11.3,2.2,1.60,7.0,298,24.7,4.1,94,33,64,6.3
17/04/1990,51,8.9,3.6,0.90,6.0,221,20.7,4.4,84,61,77,5.9
18/04/1990,73,5.0,1.5,10.60,21.0,44,29.6,6.1,99,82,92,3.0
19/04/1990,51,6.8,1.1,5.70,21.0,62,30.5,4.1,98,60,83,3.3
20/04/1990,71,7.5,0.0,3.60,13.0,55,32.7,6.3,98,77,89,3.5
21/04/1990,61,7.5,0.9,5.10,14.0,63,26.2,4.9,98,73,87,4.4
22/04/1990,61,9.1,0.8,7.50,14.0,119,20.2,4.1,99,70,90,4.6
23/04/1990,73,5.0,0.7,20.70,18.0,270,24.4,5.2,100,84,93,2.4
24/04/1990,61,10.2,-3.0,2.40,5.0,257,24.2,4.9,99,67,87,4.5
25/04/1990,51,12.7,1.3,0.30,1.0,273,19.7,3.9,97,53,82,6.8
26/04/1990,53,13.4,-1.3,3.30,9.0,311,19.5,3.9,99,47,75,7.4
27/04/1990,51,15.9,3.7,0.10,1.0,275,21.4,4.7,78,35,56,10.4
28/04/1990,51,18.1,6.0,0.30,2.0,160,20.1,4.9,74,34,55,12.6
29/04/1990,51,13.0,7.8,0.70,3.0,111,17.6,4.6,93,59,75,10.3
30/04/1990,2,15.4,6.5,0.00,0.0,182,13.8,2.8,84,52,70,10.6
