latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
46.22144,11.4832535,1795.0,3600,Europe/Berlin,GMT+1,,,,,,,
,,,,,,,,,,,,
time,weather_code (wmo code),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),winddirection_10m_dominant (°),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),temperature_2m_mean (°C)
01/01/1990,0,72,44,58,301,0.1,-11.2,0.00,0.0,16.1,4.1,-6.2
02/01/1990,0,72,37,58,307,0.0,-13.4,0.00,0.0,23.7,5.7,-6.8
03/01/1990,2,89,56,69,301,-0.5,-12.7,0.00,0.0,19.8,4.3,-7.4
04/01/1990,0,91,35,66,308,-0.8,-13.3,0.00,0.0,17.1,3.9,-7.6
05/01/1990,3,60,32,45,299,-1.3,-13.3,0.00,0.0,20.1,4.2,-7.6
06/01/1990,71,72,47,56,304,-3.3,-12.1,1.90,10.0,13.7,2.8,-7.8
07/01/1990,2,73,23,47,304,-1.7,-14.7,0.00,0.0,18.4,5.4,-9.3
08/01/1990,2,50,20,34,303,-1.2,-14.7,0.00,0.0,14.9,4.0,-8.6
09/01/1990,0,64,32,47,303,0.3,-13.2,0.00,0.0,18.2,4.7,-7.0
10/01/1990,0,60,27,48,303,1.6,-12.8,0.00,0.0,18.9,4.7,-6.2
11/01/1990,0,55,22,43,304,1.7,-12.5,0.00,0.0,18.5,4.6,-5.9
12/01/1990,0,55,20,36,304,2.3,-11.1,0.00,0.0,17.0,4.5,-5.2
13/01/1990,3,56,25,39,304,1.4,-11.8,0.00,0.0,19.5,4.9,-5.5
14/01/1990,2,46,21,37,304,0.9,-11.3,0.00,0.0,16.2,3.7,-5.4
15/01/1990,3,55,22,39,303,1.1,-12.6,0.00,0.0,20.1,4.9,-5.6
16/01/1990,3,66,35,48,306,5.2,-10.6,0.00,0.0,23.7,4.9,-3.0
17/01/1990,2,91,45,69,302,5.0,-7.5,0.00,0.0,20.2,4.0,-1.1
18/01/1990,71,89,67,79,318,-0.6,-5.8,0.40,4.0,24.2,4.6,-3.0
19/01/1990,3,85,33,60,304,-0.1,-10.1,0.00,0.0,28.6,5.2,-5.1
20/01/1990,3,62,28,46,306,2.7,-12.3,0.00,0.0,32.3,4.9,-4.7
21/01/1990,3,73,39,59,309,3.2,-7.9,0.00,0.0,25.3,5.2,-2.5
22/01/1990,2,78,35,59,305,5.1,-7.3,0.00,0.0,19.7,4.0,-1.4
23/01/1990,3,59,35,50,292,4.0,-6.4,0.00,0.0,21.2,3.7,-1.2
24/01/1990,3,86,61,73,265,2.1,-6.3,0.00,0.0,37.5,4.4,-2.5
25/01/1990,3,93,69,86,243,0.9,-7.2,0.00,0.0,35.4,4.0,-3.0
26/01/1990,73,94,86,91,265,1.0,-5.4,3.20,14.0,38.9,3.8,-1.5
27/01/1990,73,94,54,78,278,-0.1,-10.8,0.50,2.0,33.3,4.3,-5.6
28/01/1990,73,98,76,93,233,0.0,-4.6,12.70,23.0,42.2,4.5,-1.8
29/01/1990,73,98,83,93,242,1.7,-1.2,5.70,17.0,24.5,3.1,-0.2
