latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
45.51845,10.879121,234.0,3600,Europe/Berlin,GMT+1,,,,,,,
,,,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),winddirection_10m_dominant (°),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),temperature_2m_mean (°C)
01/01/1990,0,4.3,-1.5,0.00,0.0,303,9.8,4.6,90,65,82,0.3
02/01/1990,0,5.2,-1.6,0.00,0.0,320,9.0,4.3,88,59,80,0.9
03/01/1990,0,6.1,-1.6,0.00,0.0,14,9.5,4.4,82,53,70,2.0
04/01/1990,0,4.4,-3.2,0.00,0.0,333,12.6,4.8,90,65,83,-0.0
05/01/1990,3,4.0,-2.3,0.00,0.0,321,9.1,3.8,89,60,79,0.4
06/01/1990,51,3.7,-2.3,0.20,2.0,7,8.0,3.1,81,58,72,0.5
07/01/1990,1,4.9,-4.6,0.00,0.0,325,10.6,4.4,92,57,78,-0.2
08/01/1990,3,5.1,-4.9,0.00,0.0,331,9.5,4.3,89,44,72,0.1
09/01/1990,2,6.7,-2.1,0.00,0.0,313,9.6,4.1,86,47,73,1.9
10/01/1990,1,6.4,-2.2,0.00,0.0,327,8.3,3.8,86,53,74,1.6
11/01/1990,0,7.3,-2.5,0.00,0.0,339,8.4,3.3,84,49,73,1.7
12/01/1990,0,7.7,-3.4,0.00,0.0,344,9.0,3.8,86,45,73,1.2
13/01/1990,3,6.6,-3.8,0.00,0.0,349,8.9,3.5,88,42,72,0.6
14/01/1990,3,7.4,-3.3,0.00,0.0,337,10.3,4.2,89,43,72,1.0
15/01/1990,2,8.3,-2.6,0.00,0.0,328,10.2,4.7,80,42,68,2.0
16/01/1990,3,8.6,-1.5,0.00,0.0,321,9.8,4.2,78,47,65,3.5
17/01/1990,1,8.3,1.3,0.00,0.0,302,11.1,4.5,88,61,74,4.5
18/01/1990,3,7.0,0.8,0.00,0.0,343,9.4,3.8,91,74,83,4.0
19/01/1990,3,8.7,-0.9,0.00,0.0,338,10.0,3.9,89,60,81,3.5
20/01/1990,3,6.2,-0.7,0.00,0.0,320,8.7,3.0,94,72,85,2.5
21/01/1990,2,7.8,-0.2,0.00,0.0,310,8.6,3.5,95,61,79,3.4
22/01/1990,0,9.8,-1.1,0.00,0.0,352,8.9,3.9,89,55,75,4.0
23/01/1990,3,10.1,-1.8,0.00,0.0,336,10.4,3.7,89,50,76,3.5
24/01/1990,3,7.9,-0.8,0.00,0.0,320,15.4,3.8,93,71,84,3.4
25/01/1990,3,8.0,1.6,0.00,0.0,348,11.7,3.7,95,80,89,4.6
26/01/1990,51,8.3,1.4,2.20,9.0,305,22.1,5.1,98,88,94,4.9
27/01/1990,51,8.4,-3.0,0.60,2.0,33,16.0,5.9,98,67,87,2.4
28/01/1990,61,8.7,3.2,10.70,18.0,42,23.7,8.1,97,85,91,5.7
29/01/1990,61,10.6,4.6,5.30,7.0,12,14.9,3.7,99,87,96,7.2
30/01/1990,53,9.9,2.7,1.60,5.0,357,8.5,3.7,100,87,96,6.6
31/01/1990,3,8.9,-0.0,0.00,0.0,330,10.6,3.3,100,80,93,4.6
01/02/1990,3,8.6,2.1,0.00,0.0,55,10.7,3.4,100,74,90,5.1
02/02/1990,3,7.0,2.1,0.00,0.0,328,10.0,3.5,98,81,91,4.7
03/02/1990,3,8.8,0.4,0.00,0.0,343,13.1,3.9,100,82,93,5.0
04/02/1990,3,12.2,1.4,0.00,0.0,296,14.6,4.7,98,68,87,6.6
05/02/1990,2,10.5,-0.5,0.00,0.0,315,11.2,4.5,91,65,82,4.5
06/02/1990,0,9.2,0.1,0.00,0.0,320,9.9,3.3,88,55,73,4.4
07/02/1990,0,10.3,-1.4,0.00,0.0,358,9.7,3.3,88,52,73,4.3
08/02/1990,3,8.3,-0.1,0.00,0.0,296,12.9,4.1,90,69,80,4.7
09/02/1990,3,10.2,0.7,0.00,0.0,54,13.1,4.6,96,66,84,4.8
10/02/1990,51,8.9,-0.5,0.20,1.0,304,13.4,5.1,95,61,79,4.0
11/02/1990,73,4.5,1.4,5.10,8.0,48,14.0,4.5,98,80,90,3.0
12/02/1990,71,4.8,-1.9,1.60,6.0,338,15.3,6.6,99,75,91,1.4
13/02/1990,3,10.4,-2.2,0.00,0.0,302,19.0,8.1,93,46,70,3.4
14/02/1990,51,12.8,-0.4,0.20,2.0,287,28.9,10.3,93,66,80,5.9
15/02/1990,3,16.3,0.8,0.00,0.0,283,32.4,10.0,96,45,75,8.7
16/02/1990,3,10.7,1.4,0.00,0.0,57,17.3,6.4,82,36,58,6.8
17/02/1990,3,11.0,-0.5,0.00,0.0,55,14.5,5.6,78,42,64,4.8
18/02/1990,3,11.3,0.4,0.00,0.0,11,10.8,3.5,80,48,67,5.7
19/02/1990,3,11.3,2.0,0.00,0.0,325,10.5,3.9,84,67,76,7.0
20/02/1990,1,14.0,1.3,0.00,0.0,312,10.3,4.1,90,66,80,7.8
21/02/1990,0,15.8,1.9,0.00,0.0,321,11.6,4.6,91,57,76,8.8
22/02/1990,0,18.8,1.4,0.00,0.0,346,13.1,4.5,87,45,70,10.2
23/02/1990,0,16.8,3.8,0.00,0.0,325,11.1,3.9,86,57,74,10.3
24/02/1990,0,17.6,2.7,0.00,0.0,314,11.5,4.2,89,57,78,10.2
25/02/1990,2,15.9,2.9,0.00,0.0,272,14.5,5.1,93,66,82,9.4
26/02/1990,3,13.8,4.4,0.00,0.0,269,27.2,9.4,98,64,83,9.1
27/02/1990,51,14.2,5.1,0.90,4.0,289,36.2,9.3,93,50,74,9.5
28/02/1990,1,13.4,4.2,0.00,0.0,289,32.9,10.2,71,40,52,8.7
01/03/1990,51,16.3,2.6,0.20,1.0,285,26.7,9.6,82,29,57,8.6
