latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
45.51845,10.455259,251.0,3600,Europe/Berlin,GMT+1,,,,,,,
,,,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),winddirection_10m_dominant (°),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),temperature_2m_mean (°C)
01/01/1990,3,3.5,-0.1,0.00,0.0,274,8.3,3.9,97,68,85,1.5
02/01/1990,0,4.9,-0.7,0.00,0.0,299,7.9,3.4,96,55,79,2.4
03/01/1990,0,5.8,1.5,0.00,0.0,10,6.7,3.0,88,51,74,3.5
04/01/1990,2,4.0,0.2,0.00,0.0,267,10.5,4.1,97,71,88,1.8
05/01/1990,3,3.7,-0.6,0.00,0.0,243,7.9,3.2,98,58,84,1.5
06/01/1990,71,2.9,1.0,0.20,1.0,160,7.0,2.8,92,69,83,1.7
07/01/1990,1,4.5,-2.9,0.00,0.0,315,10.5,4.2,98,59,82,1.0
08/01/1990,3,4.9,-2.5,0.00,0.0,315,8.5,3.8,97,44,77,1.5
09/01/1990,2,6.1,-1.0,0.00,0.0,307,9.5,3.9,89,43,74,2.7
10/01/1990,0,6.0,-0.7,0.00,0.0,316,7.2,3.0,90,50,75,2.9
11/01/1990,0,7.1,-0.5,0.00,0.0,338,7.4,3.0,86,48,75,3.2
12/01/1990,0,7.6,-1.7,0.00,0.0,346,7.9,3.3,89,42,74,2.4
13/01/1990,3,6.5,-2.2,0.00,0.0,358,7.9,3.0,88,41,74,1.8
14/01/1990,3,6.9,-2.1,0.00,0.0,336,9.3,3.8,94,41,74,2.0
15/01/1990,2,7.9,-1.9,0.00,0.0,327,9.8,4.5,92,40,74,2.5
16/01/1990,3,8.6,-0.5,0.00,0.0,304,10.4,4.5,83,44,69,3.8
17/01/1990,1,8.2,0.7,0.00,0.0,286,11.8,4.8,87,63,78,4.8
18/01/1990,3,6.4,2.4,0.00,0.0,324,8.5,3.5,93,77,86,4.5
19/01/1990,3,8.0,0.3,0.00,0.0,332,9.1,3.9,93,56,81,4.2
20/01/1990,3,6.0,0.0,0.00,0.0,319,9.0,3.2,92,55,78,2.8
21/01/1990,2,7.6,0.8,0.00,0.0,297,8.5,2.9,92,58,78,3.7
22/01/1990,2,9.9,-0.1,0.00,0.0,355,8.7,3.4,92,51,77,4.3
23/01/1990,3,9.6,-1.0,0.00,0.0,341,9.6,3.3,91,49,74,4.3
24/01/1990,3,7.9,3.5,0.00,0.0,320,13.5,3.9,90,68,78,5.4
25/01/1990,3,7.7,2.4,0.00,0.0,2,10.0,3.0,91,73,85,5.1
26/01/1990,53,7.2,1.5,2.40,8.0,307,18.8,4.8,99,84,92,4.6
27/01/1990,53,9.1,-3.5,1.00,3.0,38,14.1,5.4,99,52,83,2.7
28/01/1990,61,7.9,3.0,10.50,17.0,50,21.9,7.5,95,87,90,5.1
29/01/1990,53,9.4,4.0,3.20,10.0,357,10.5,3.1,97,88,93,6.7
30/01/1990,53,9.0,4.7,3.50,10.0,22,8.7,3.7,98,89,93,7.0
31/01/1990,3,8.2,0.2,0.00,0.0,328,9.2,2.9,99,83,93,4.5
01/02/1990,3,7.6,3.4,0.00,0.0,107,9.1,3.0,93,77,87,5.3
02/02/1990,3,7.0,3.5,0.00,0.0,314,8.2,2.7,95,78,87,5.2
03/02/1990,3,8.4,0.3,0.00,0.0,354,11.6,3.7,100,81,91,4.9
04/02/1990,3,11.6,1.3,0.00,0.0,289,14.7,5.0,95,65,84,6.5
05/02/1990,2,10.1,-0.4,0.00,0.0,314,11.1,4.4,89,48,77,4.1
06/02/1990,2,9.2,-0.4,0.00,0.0,289,10.4,2.8,90,46,72,3.9
07/02/1990,2,10.1,-0.7,0.00,0.0,11,9.0,2.8,89,47,75,4.5
08/02/1990,3,7.8,1.1,0.00,0.0,282,12.9,4.2,83,63,75,4.6
09/02/1990,51,9.4,0.9,0.50,2.0,107,11.6,3.9,93,64,82,4.9
10/02/1990,3,8.4,-1.3,0.00,0.0,330,10.8,3.9,93,55,77,3.7
11/02/1990,73,4.5,0.9,5.80,8.0,52,12.1,4.2,99,77,90,3.1
12/02/1990,71,4.3,0.0,1.40,6.0,329,15.7,6.8,97,77,89,1.8
13/02/1990,3,9.6,-0.4,0.00,0.0,305,20.7,8.5,86,47,68,4.0
14/02/1990,51,11.7,1.2,1.20,7.0,289,29.9,11.3,91,74,83,5.7
15/02/1990,3,15.3,0.9,0.00,0.0,275,34.0,11.4,93,53,77,8.0
16/02/1990,3,10.6,1.3,0.00,0.0,46,20.0,8.1,67,37,51,6.8
17/02/1990,3,10.2,-0.9,0.00,0.0,79,14.1,4.8,91,51,68,5.2
18/02/1990,3,10.3,0.2,0.00,0.0,39,9.6,3.1,89,55,74,5.5
19/02/1990,3,10.6,2.3,0.00,0.0,324,9.7,3.8,84,67,77,6.6
20/02/1990,0,13.6,1.4,0.00,0.0,309,9.8,3.7,88,59,76,7.3
21/02/1990,0,15.5,1.3,0.00,0.0,322,11.5,4.3,89,48,74,7.8
22/02/1990,0,18.3,2.1,0.00,0.0,352,11.7,3.9,89,40,71,9.6
23/02/1990,0,16.3,2.6,0.00,0.0,16,11.2,3.9,87,55,76,9.2
24/02/1990,0,16.9,2.2,0.00,0.0,326,10.9,3.4,89,53,76,9.2
25/02/1990,2,15.2,2.2,0.00,0.0,280,14.1,5.0,91,62,80,8.8
26/02/1990,3,12.4,5.9,0.00,0.0,279,22.2,8.3,95,70,85,8.8
27/02/1990,53,12.8,3.2,3.30,6.0,315,33.9,7.8,95,54,79,7.8
28/02/1990,3,12.4,3.5,0.00,0.0,299,29.3,9.8,82,48,61,7.4
01/03/1990,1,14.9,1.9,0.00,0.0,294,26.2,10.0,86,29,61,7.7
02/03/1990,3,10.6,1.1,0.00,0.0,326,17.5,8.3,69,21,44,6.0
03/03/1990,1,9.2,1.9,0.00,0.0,356,14.5,5.1,63,26,39,5.4
04/03/1990,0,10.0,-1.8,0.00,0.0,311,16.0,6.7,78,36,57,4.8
05/03/1990,0,10.5,0.2,0.00,0.0,310,11.1,4.1,82,49,66,5.7
06/03/1990,3,13.0,0.5,0.00,0.0,281,15.6,6.3,82,48,68,7.0
07/03/1990,3,14.7,1.9,0.00,0.0,235,13.0,3.9,86,45,68,8.8
08/03/1990,3,12.9,3.4,0.00,0.0,279,15.1,5.4,87,68,78,8.3
09/03/1990,51,11.0,4.0,0.70,4.0,290,14.4,5.6,95,80,87,7.9
10/03/1990,3,17.2,0.6,0.00,0.0,317,17.4,5.9,94,44,70,8.8
11/03/1990,2,18.2,3.0,0.00,0.0,46,12.0,3.8,79,46,65,11.3
12/03/1990,3,15.9,4.1,0.00,0.0,260,11.7,3.8,87,63,75,11.4
