latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
46.015993,11.12606,1622.0,3600,Europe/Berlin,GMT+1,,,,,,,
,,,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),winddirection_10m_dominant (°),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),temperature_2m_mean (°C)
01/01/1990,0,-1.0,-11.1,0.00,0.0,321,14.4,2.9,67,35,57,-6.7
02/01/1990,0,0.3,-12.0,0.00,0.0,325,21.0,4.6,71,29,54,-6.4
03/01/1990,1,-0.6,-11.8,0.00,0.0,321,17.8,3.4,89,46,67,-7.1
04/01/1990,1,-0.7,-13.9,0.00,0.0,329,19.9,4.0,91,32,62,-7.7
05/01/1990,3,-1.5,-13.4,0.00,0.0,306,18.3,3.1,69,29,55,-7.6
06/01/1990,73,-4.3,-11.7,2.20,14.0,319,14.0,2.7,88,54,66,-7.4
07/01/1990,3,-2.3,-16.7,0.00,0.0,319,19.7,4.6,90,30,63,-10.2
08/01/1990,1,-1.7,-16.7,0.00,0.0,318,17.0,3.4,68,23,50,-9.7
09/01/1990,0,-0.3,-14.5,0.00,0.0,314,17.5,4.1,66,27,51,-8.1
10/01/1990,0,0.6,-13.9,0.00,0.0,315,18.1,3.8,68,29,53,-7.3
11/01/1990,0,1.1,-13.8,0.00,0.0,317,17.3,3.6,70,25,51,-7.1
12/01/1990,0,1.4,-13.6,0.00,0.0,312,15.8,3.7,58,21,44,-7.0
13/01/1990,3,1.1,-14.3,0.00,0.0,318,18.0,3.9,60,21,44,-7.2
14/01/1990,2,0.6,-12.9,0.00,0.0,318,15.0,3.0,63,24,45,-6.5
15/01/1990,3,0.9,-13.8,0.00,0.0,315,18.8,4.4,68,24,48,-6.7
16/01/1990,3,4.4,-11.3,0.00,0.0,317,22.6,4.7,68,32,50,-4.0
17/01/1990,1,4.1,-10.5,0.00,0.0,300,20.3,3.8,89,48,70,-3.6
18/01/1990,71,-0.9,-7.2,0.50,4.0,328,21.6,4.0,80,65,74,-4.1
19/01/1990,2,-0.2,-13.6,0.00,0.0,314,26.4,5.0,93,30,62,-6.3
20/01/1990,3,2.4,-11.9,0.00,0.0,310,29.3,5.0,61,24,45,-5.0
21/01/1990,2,4.5,-7.6,0.00,0.0,319,24.9,5.3,74,42,55,-2.0
22/01/1990,1,4.8,-10.1,0.00,0.0,319,18.4,3.3,76,32,56,-2.9
23/01/1990,3,4.1,-8.6,0.00,0.0,291,22.8,4.1,63,30,50,-2.7
24/01/1990,3,1.2,-7.6,0.00,0.0,272,42.5,6.1,87,57,71,-3.5
25/01/1990,3,0.6,-8.5,0.00,0.0,261,37.6,5.0,94,64,83,-3.8
26/01/1990,75,-0.6,-5.6,5.70,12.0,261,46.5,5.7,95,83,89,-2.5
27/01/1990,71,1.1,-13.8,0.20,1.0,278,35.8,4.9,97,38,72,-5.7
28/01/1990,75,-1.0,-4.8,19.30,24.0,248,49.1,3.6,98,75,91,-3.0
29/01/1990,75,1.1,-2.7,5.90,12.0,238,30.5,3.8,98,84,93,-0.9
30/01/1990,73,0.4,-6.4,4.90,16.0,258,24.2,2.7,99,90,96,-1.7
31/01/1990,3,0.4,-10.5,0.00,0.0,276,29.4,4.3,98,71,87,-5.1
01/02/1990,3,-0.9,-8.8,0.00,0.0,282,27.0,3.5,94,70,86,-4.4
02/02/1990,71,-0.2,-7.4,0.00,0.0,280,32.8,4.6,98,75,86,-3.7
03/02/1990,3,0.7,-8.9,0.00,0.0,275,34.7,5.0,98,65,85,-3.6
04/02/1990,2,3.6,-9.3,0.00,0.0,309,30.2,5.2,97,35,67,-2.2
05/02/1990,0,4.9,-8.6,0.00,0.0,308,19.5,4.2,64,29,51,-3.0
06/02/1990,1,4.8,-9.4,0.00,0.0,300,24.1,4.4,57,27,46,-3.3
07/02/1990,1,5.1,-7.9,0.00,0.0,292,23.9,3.8,52,20,42,-2.3
08/02/1990,3,4.3,-7.5,0.00,0.0,296,27.2,5.0,64,36,54,-2.2
09/02/1990,2,1.5,-8.9,0.00,0.0,322,34.5,5.7,80,32,56,-3.1
10/02/1990,71,-0.3,-14.7,0.20,1.0,284,28.2,5.3,81,35,61,-6.8
11/02/1990,75,-3.9,-7.8,6.40,8.0,300,27.8,3.7,93,73,82,-5.5
12/02/1990,71,-2.3,-10.0,0.20,2.0,310,29.9,4.0,96,48,74,-6.7
13/02/1990,73,-1.2,-11.6,3.00,13.0,293,34.5,5.3,72,43,62,-6.5
