LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/5/2010;"20";"13";"25";"11";"60";"9";"5";"10";"0";"1012";"0";"0";""
Arco;2/5/2010;"17";"13";"20";"13";"80";"9";"10";"17";"0";"1009";"0";"0";"pioggia "
Arco;3/5/2010;"17";"13";"24";"13";"79";"10";"7";"15";"0";"1007";"0";"0";"pioggia "
Arco;4/5/2010;"16";"14";"18";"15";"98";"8";"16";"24";"0";"1007";"0";"0";"pioggia temporale "
Arco;5/5/2010;"16";"12";"20";"13";"86";"9";"18";"35";"55";"1003";"0";"0";"pioggia temporale "
Arco;6/5/2010;"13";"9";"18";"9";"79";"7";"7";"17";"0";"1003";"0";"0";"nebbia "
Arco;7/5/2010;"12";"6";"17";"7";"76";"11";"4";"10";"0";"1007";"0";"0";"pioggia "
Arco;8/5/2010;"14";"8";"19";"9";"77";"9";"7";"12";"0";"1009";"0";"0";"pioggia nebbia "
Arco;9/5/2010;"14";"8";"19";"11";"85";"8";"5";"14";"0";"1011";"0";"0";"pioggia "
Arco;10/5/2010;"15";"12";"18";"14";"93";"7";"5";"8";"0";"1009";"0";"0";"pioggia "
Arco;11/5/2010;"16";"13";"18";"15";"99";"9";"8";"15";"0";"1007";"0";"0";"pioggia "
Arco;12/5/2010;"16";"11";"22";"14";"88";"9";"6";"16";"0";"1006";"0";"0";"pioggia temporale nebbia "
Arco;13/5/2010;"15";"12";"20";"13";"87";"9";"6";"14";"0";"1006";"0";"0";"pioggia temporale "
Arco;14/5/2010;"16";"12";"20";"10";"72";"11";"6";"15";"0";"1006";"0";"0";"pioggia temporale "
Arco;15/5/2010;"14";"12";"16";"14";"98";"8";"7";"14";"0";"1000";"0";"0";"pioggia "
Arco;16/5/2010;"16";"10";"23";"9";"59";"11";"8";"18";"0";"1005";"0";"0";""
Arco;17/5/2010;"18";"11";"23";"3";"24";"12";"10";"15";"0";"1013";"0";"0";""
Arco;18/5/2010;"19";"11";"24";"2";"27";"13";"9";"14";"0";"1016";"0";"0";""
Arco;19/5/2010;"17";"12";"21";"6";"42";"11";"8";"15";"0";"1017";"0";"0";""
Arco;20/5/2010;"18";"12";"22";"6";"51";"11";"5";"10";"0";"1019";"0";"0";""
Arco;21/5/2010;"19";"11";"27";"8";"57";"13";"6";"13";"0";"1019";"0";"0";""
Arco;22/5/2010;"21";"13";"28";"8";"52";"14";"5";"13";"0";"1018";"0";"0";""
Arco;23/5/2010;"22";"14";"28";"10";"52";"11";"5";"12";"0";"1016";"0";"0";""
Arco;24/5/2010;"3";"0";"30";"11";"42";"3";"6";"8";"0";"1015";"0";"0";""
Arco;25/5/2010;"23";"15";"31";"12";"53";"10";"7";"17";"0";"1012";"0";"0";""
Arco;26/5/2010;"22";"14";"28";"8";"45";"12";"6";"14";"0";"1010";"0";"0";""
Arco;27/5/2010;"19";"14";"25";"13";"73";"11";"5";"15";"28";"1009";"0";"0";"pioggia temporale "
Arco;28/5/2010;"20";"13";"26";"14";"72";"7";"4";"8";"0";"1013";"0";"0";""
Arco;29/5/2010;"19";"15";"25";"17";"88";"8";"6";"15";"0";"1016";"0";"0";"pioggia temporale "
Arco;30/5/2010;"20";"15";"25";"15";"77";"9";"6";"12";"0";"1011";"0";"0";""
Arco;31/5/2010;"21";"16";"28";"11";"58";"10";"8";"14";"22";"1004";"0";"0";""
