LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/11/2011;"11";"6";"17";"10";"94";"3";"6";"11";"0";"1021";"0";"0";"nebbia "
Arco;2/11/2011;"12";"8";"16";"11";"95";"2";"4";"9";"0";"1021";"0";"0";"nebbia "
Arco;3/11/2011;"13";"12";"15";"12";"95";"3";"4";"7";"0";"1018";"0";"0";""
Arco;4/11/2011;"14";"12";"16";"14";"99";"5";"16";"30";"0";"1015";"0";"0";"pioggia "
Arco;5/11/2011;"17";"16";"18";"16";"99";"6";"28";"39";"0";"1013";"0";"0";"pioggia "
Arco;6/11/2011;"15";"14";"17";"15";"99";"5";"28";"43";"63";"1013";"0";"0";"pioggia "
Arco;7/11/2011;"14";"13";"17";"14";"96";"7";"19";"32";"0";"1018";"0";"0";"pioggia "
Arco;8/11/2011;"15";"11";"19";"14";"98";"9";"20";"33";"0";"1021";"0";"0";"pioggia "
Arco;9/11/2011;"13";"8";"19";"12";"94";"11";"6";"11";"0";"1022";"0";"0";""
Arco;10/11/2011;"11";"6";"17";"10";"92";"8";"6";"11";"0";"1020";"0";"0";""
Arco;11/11/2011;"10";"5";"15";"7";"83";"7";"13";"26";"0";"1023";"0";"0";"nebbia "
Arco;12/11/2011;"9";"5";"14";"4";"76";"10";"6";"15";"0";"1031";"0";"0";""
Arco;13/11/2011;"7";"2";"16";"6";"91";"7";"5";"13";"0";"1033";"0";"0";""
Arco;14/11/2011;"7";"2";"15";"5";"86";"6";"5";"9";"0";"1027";"0";"0";"nebbia "
Arco;15/11/2011;"4";"1";"9";"3";"99";"1";"5";"11";"0";"1021";"0";"0";"nebbia "
Arco;16/11/2011;"4";"0";"10";"4";"98";"3";"6";"11";"0";"1022";"0";"0";"nebbia "
Arco;17/11/2011;"2";"0";"9";"4";"98";"1";"5";"9";"0";"1025";"0";"0";"nebbia "
Arco;18/11/2011;"1";"-1";"6";"3";"99";"0";"4";"7";"0";"1026";"0";"0";"nebbia "
Arco;19/11/2011;"2";"-1";"8";"4";"98";"1";"4";"9";"0";"1025";"0";"0";"nebbia "
Arco;20/11/2011;"2";"-1";"5";"3";"99";"0";"4";"7";"0";"1025";"0";"0";"nebbia "
Arco;21/11/2011;"4";"2";"6";"4";"99";"1";"6";"15";"0";"1024";"0";"0";"nebbia "
Arco;22/11/2011;"5";"1";"11";"4";"95";"2";"6";"13";"0";"1022";"0";"0";"nebbia "
Arco;23/11/2011;"7";"2";"16";"5";"86";"5";"5";"11";"0";"1023";"0";"0";"nebbia "
Arco;24/11/2011;"7";"1";"16";"4";"84";"16";"6";"11";"0";"1029";"0";"0";""
Arco;25/11/2011;"5";"1";"14";"3";"89";"6";"5";"15";"0";"1029";"0";"0";""
Arco;26/11/2011;"4";"-2";"11";"4";"91";"4";"3";"6";"0";"1029";"0";"0";"nebbia "
Arco;27/11/2011;"4";"-2";"11";"4";"96";"3";"6";"11";"0";"1029";"0";"0";"nebbia "
Arco;28/11/2011;"4";"-1";"13";"5";"91";"3";"4";"9";"0";"1027";"0";"0";"nebbia "
Arco;29/11/2011;"6";"1";"13";"4";"92";"6";"6";"13";"0";"1026";"0";"0";""
Arco;30/11/2011;"4";"-2";"12";"5";"93";"2";"5";"11";"0";"1028";"0";"0";"nebbia "
