LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/4/2012;"13";"8";"16";"7";"70";"9";"18";"43";"0";"1008";"0";"0";"nebbia "
Arco;2/4/2012;"14";"9";"19";"3";"41";"11";"7";"17";"0";"1013";"0";"0";""
Arco;3/4/2012;"14";"7";"20";"8";"69";"10";"8";"19";"0";"1010";"0";"0";"pioggia "
Arco;4/4/2012;"15";"10";"19";"13";"89";"6";"11";"24";"0";"1009";"0";"0";"pioggia nebbia "
Arco;5/4/2012;"15";"13";"18";"14";"98";"6";"8";"20";"0";"1008";"0";"0";"pioggia temporale "
Arco;6/4/2012;"15";"9";"20";"12";"82";"8";"13";"30";"0";"1007";"0";"0";"nebbia "
Arco;7/4/2012;"14";"11";"19";"11";"86";"8";"10";"26";"0";"1001";"0";"0";"pioggia temporale "
Arco;8/4/2012;"10";"5";"14";"9";"94";"10";"13";"30";"0";"1003";"0";"0";"pioggia temporale "
Arco;9/4/2012;"7";"3";"12";"4";"67";"11";"7";"13";"0";"1012";"0";"0";""
Arco;10/4/2012;"10";"6";"13";"5";"71";"9";"8";"13";"0";"1011";"0";"0";"pioggia "
Arco;11/4/2012;"9";"8";"11";"9";"98";"8";"19";"46";"67";"1001";"0";"0";"pioggia "
Arco;12/4/2012;"11";"3";"18";"7";"83";"6";"9";"20";"0";"1003";"0";"0";"pioggia nebbia "
Arco;13/4/2012;"12";"9";"15";"10";"92";"7";"17";"33";"0";"1001";"0";"0";"pioggia nebbia "
Arco;14/4/2012;"13";"10";"16";"10";"86";"11";"7";"15";"0";"996";"0";"0";"pioggia "
Arco;15/4/2012;"12";"10";"14";"11";"94";"9";"11";"24";"0";"998";"0";"0";"pioggia "
Arco;16/4/2012;"13";"9";"17";"11";"88";"10";"7";"24";"0";"1004";"0";"0";"pioggia temporale "
Arco;17/4/2012;"13";"10";"17";"7";"67";"11";"9";"17";"0";"1007";"0";"0";"pioggia "
Arco;18/4/2012;"12";"7";"17";"8";"81";"9";"14";"28";"0";"1000";"0";"0";"pioggia temporale "
Arco;19/4/2012;"11";"8";"15";"10";"90";"8";"8";"17";"35";"996";"0";"0";"pioggia "
Arco;20/4/2012;"11";"8";"15";"10";"92";"8";"7";"15";"0";"998";"0";"0";"pioggia "
Arco;21/4/2012;"13";"7";"20";"8";"74";"9";"8";"24";"0";"1005";"0";"0";"pioggia "
Arco;22/4/2012;"14";"10";"20";"8";"72";"10";"11";"33";"54";"1007";"0";"0";"pioggia "
Arco;23/4/2012;"12";"8";"16";"8";"78";"10";"9";"24";"0";"1008";"0";"0";"pioggia "
Arco;24/4/2012;"13";"0";"18";"10";"85";"9";"17";"33";"0";"1002";"0";"0";"pioggia temporale "
Arco;25/4/2012;"14";"6";"20";"7";"69";"11";"10";"28";"0";"1010";"0";"0";""
Arco;26/4/2012;"15";"7";"22";"6";"62";"17";"7";"15";"0";"1018";"0";"0";""
Arco;27/4/2012;"18";"9";"25";"11";"70";"13";"8";"17";"0";"1020";"0";"0";""
Arco;28/4/2012;"21";"12";"29";"13";"65";"8";"11";"26";"0";"1018";"0";"0";""
Arco;29/4/2012;"20";"18";"23";"14";"72";"10";"13";"35";"0";"1016";"0";"0";"pioggia "
Arco;30/4/2012;"19";"15";"25";"16";"87";"9";"12";"28";"0";"1016";"0";"0";"pioggia "
