LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/10/2014;"18";"15";"19";"16";"89";"2";"4";"19";"0";"1025";"0";"0";"pioggia nebbia "
Arco;2/10/2014;"18";"12";"24";"13";"72";"5";"5";"13";"0";"1025";"0";"0";"pioggia nebbia "
Arco;3/10/2014;"19";"16";"24";"13";"68";"8";"5";"9";"0";"1023";"0";"0";""
Arco;4/10/2014;"18";"14";"25";"11";"68";"10";"6";"13";"0";"1020";"0";"0";""
Arco;5/10/2014;"17";"11";"23";"11";"70";"8";"5";"9";"0";"1017";"0";"0";""
Arco;6/10/2014;"16";"12";"22";"10";"68";"7";"5";"15";"0";"1017";"0";"0";""
Arco;7/10/2014;"16";"11";"20";"12";"77";"5";"5";"11";"0";"1017";"0";"0";"pioggia "
Arco;8/10/2014;"17";"15";"20";"15";"86";"4";"3";"9";"0";"1019";"0";"0";"pioggia "
Arco;9/10/2014;"18";"17";"21";"16";"88";"2";"4";"15";"0";"1018";"0";"0";"pioggia nebbia "
Arco;10/10/2014;"19";"16";"23";"16";"81";"3";"5";"13";"0";"1019";"0";"0";"nebbia "
Arco;11/10/2014;"20";"18";"23";"16";"80";"6";"11";"22";"0";"1017";"0";"0";"pioggia temporale "
Arco;12/10/2014;"18";"15";"23";"15";"82";"8";"5";"11";"0";"1017";"0";"0";""
Arco;13/10/2014;"18";"15";"20";"16";"89";"5";"9";"26";"0";"1013";"0";"0";"pioggia temporale nebbia "
Arco;14/10/2014;"16";"8";"20";"13";"87";"4";"4";"7";"0";"1013";"0";"0";"pioggia nebbia "
Arco;15/10/2014;"18";"14";"21";"13";"77";"7";"5";"11";"0";"1010";"0";"0";"pioggia "
Arco;16/10/2014;"18";"15";"21";"14";"78";"6";"5";"13";"0";"1012";"0";"0";""
Arco;17/10/2014;"19";"16";"24";"15";"78";"7";"7";"19";"0";"0";"0";"0";"pioggia "
Arco;18/10/2014;"18";"15";"23";"14";"78";"5";"4";"7";"0";"1023";"0";"0";""
Arco;19/10/2014;"18";"16";"22";"15";"83";"3";"3";"7";"0";"1025";"0";"0";"nebbia "
Arco;20/10/2014;"18";"15";"22";"15";"87";"1";"4";"9";"0";"1022";"0";"0";"nebbia "
Arco;21/10/2014;"19";"16";"22";"16";"80";"3";"6";"15";"0";"1012";"0";"0";"nebbia "
Arco;22/10/2014;"14";"9";"18";"10";"43";"12";"9";"19";"0";"1007";"0";"0";"pioggia temporale "
Arco;23/10/2014;"13";"7";"20";"4";"43";"30";"14";"35";"52";"1009";"0";"0";""
Arco;24/10/2014;"13";"7";"21";"6";"65";"14";"5";"15";"0";"1013";"0";"0";""
Arco;25/10/2014;"13";"11";"17";"8";"70";"10";"6";"13";"0";"1021";"0";"0";""
Arco;26/10/2014;"12";"8";"17";"6";"66";"11";"5";"11";"0";"1025";"0";"0";""
Arco;27/10/2014;"10";"7";"14";"6";"76";"9";"6";"15";"0";"1027";"0";"0";""
Arco;28/10/2014;"9";"4";"15";"4";"72";"9";"6";"13";"0";"1024";"0";"0";""
Arco;29/10/2014;"8";"3";"15";"4";"78";"6";"5";"9";"0";"1021";"0";"0";""
Arco;30/10/2014;"9";"3";"16";"5";"80";"4";"4";"9";"0";"1024";"0";"0";""
Arco;31/10/2014;"9";"3";"16";"5";"75";"5";"4";"9";"0";"1026";"0";"0";""
