LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/6/2016;"18";"13";"23";"14";"78";"10";"7";"15";"0";"1013";"0";"0";"pioggia "
Arco;2/6/2016;"18";"15";"24";"15";"84";"8";"10";"100";"0";"1011";"0";"0";"pioggia temporale "
Arco;3/6/2016;"19";"16";"23";"15";"80";"8";"6";"17";"0";"1011";"0";"0";""
Arco;4/6/2016;"18";"15";"22";"15";"83";"10";"6";"13";"0";"1012";"0";"0";"pioggia temporale "
Arco;5/6/2016;"19";"14";"24";"15";"80";"9";"6";"15";"0";"1014";"0";"0";"pioggia temporale "
Arco;6/6/2016;"21";"16";"26";"16";"75";"10";"7";"17";"0";"1018";"0";"0";"temporale "
Arco;7/6/2016;"22";"15";"28";"15";"67";"10";"5";"9";"0";"1019";"0";"0";""
Arco;8/6/2016;"21";"17";"28";"17";"80";"7";"7";"26";"0";"1038";"0";"0";"pioggia temporale "
Arco;9/6/2016;"19";"16";"22";"16";"86";"8";"7";"15";"0";"1012";"0";"0";"pioggia "
Arco;10/6/2016;"21";"15";"25";"15";"73";"10";"4";"9";"0";"1012";"0";"0";"pioggia "
Arco;11/6/2016;"21";"16";"24";"16";"77";"9";"10";"20";"0";"1010";"0";"0";"pioggia "
Arco;12/6/2016;"19";"15";"24";"15";"79";"9";"6";"26";"0";"1009";"0";"0";"pioggia temporale "
Arco;13/6/2016;"21";"15";"26";"15";"74";"10";"6";"11";"0";"1004";"0";"0";"pioggia "
Arco;14/6/2016;"19";"16";"23";"16";"82";"9";"9";"17";"0";"1001";"0";"0";"pioggia temporale "
Arco;15/6/2016;"20";"14";"26";"14";"70";"10";"11";"22";"0";"1002";"0";"0";"pioggia temporale "
Arco;16/6/2016;"22";"17";"26";"16";"70";"10";"15";"24";"41";"1004";"0";"0";""
Arco;17/6/2016;"21";"15";"25";"12";"60";"10";"16";"30";"33";"1010";"0";"0";"pioggia temporale "
Arco;18/6/2016;"19";"12";"25";"12";"67";"9";"7";"22";"0";"1016";"0";"0";"pioggia temporale "
Arco;19/6/2016;"17";"14";"21";"14";"85";"10";"8";"17";"0";"1016";"0";"0";"pioggia temporale "
Arco;20/6/2016;"20";"15";"25";"14";"71";"10";"6";"11";"0";"1037";"0";"0";""
Arco;21/6/2016;"23";"16";"28";"14";"62";"10";"9";"100";"0";"1021";"0";"0";""
Arco;22/6/2016;"25";"18";"31";"17";"64";"10";"6";"9";"0";"1022";"0";"0";""
Arco;23/6/2016;"27";"19";"33";"19";"64";"10";"6";"9";"0";"1021";"0";"0";""
Arco;24/6/2016;"28";"21";"33";"20";"66";"10";"6";"11";"0";"1016";"0";"0";""
Arco;25/6/2016;"27";"22";"34";"20";"66";"10";"9";"41";"0";"1010";"0";"0";"pioggia temporale "
Arco;26/6/2016;"24";"20";"29";"18";"72";"10";"9";"20";"0";"1011";"0";"0";"pioggia temporale "
Arco;27/6/2016;"24";"19";"29";"17";"67";"10";"9";"17";"0";"1013";"0";"0";"pioggia temporale "
Arco;28/6/2016;"24";"18";"29";"15";"57";"10";"7";"11";"0";"1036";"0";"0";""
Arco;29/6/2016;"25";"17";"31";"14";"54";"10";"7";"11";"0";"1015";"0";"0";""
Arco;30/6/2016;"26";"20";"31";"16";"58";"10";"7";"13";"0";"1014";"0";"0";""
