LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/8/2017;"29";"22";"35";"21";"64";"21";"5";"11";"0";"1018";"0";"0";""
Arco;2/8/2017;"30";"23";"36";"20";"58";"21";"8";"18";"0";"1016";"0";"0";""
Arco;3/8/2017;"30";"23";"37";"20";"56";"20";"5";"9";"0";"1015";"0";"0";""
Arco;4/8/2017;"30";"23";"37";"20";"57";"20";"7";"13";"0";"1011";"0";"0";""
Arco;5/8/2017;"30";"24";"37";"20";"54";"20";"6";"11";"0";"1011";"0";"0";""
Arco;6/8/2017;"28";"24";"33";"18";"56";"21";"12";"30";"0";"1011";"0";"0";"pioggia temporale "
Arco;7/8/2017;"27";"21";"30";"15";"48";"18";"12";"18";"0";"1016";"0";"0";""
Arco;8/8/2017;"26";"19";"31";"15";"53";"21";"12";"21";"0";"1014";"0";"0";""
Arco;9/8/2017;"27";"21";"33";"18";"58";"19";"10";"22";"0";"1012";"0";"0";"pioggia temporale "
Arco;10/8/2017;"25";"20";"30";"19";"68";"19";"9";"22";"0";"1011";"0";"0";"pioggia "
Arco;11/8/2017;"22";"17";"28";"14";"63";"20";"12";"39";"0";"1011";"0";"0";""
Arco;12/8/2017;"22";"13";"28";"12";"57";"18";"7";"17";"0";"1014";"0";"0";""
Arco;13/8/2017;"23";"15";"31";"11";"50";"21";"6";"13";"0";"1017";"0";"0";""
Arco;14/8/2017;"25";"17";"31";"13";"48";"20";"7";"13";"0";"1019";"0";"0";""
Arco;15/8/2017;"26";"18";"33";"14";"49";"22";"7";"13";"0";"1020";"0";"0";""
Arco;16/8/2017;"27";"20";"34";"15";"51";"21";"6";"11";"0";"1018";"0";"0";""
Arco;17/8/2017;"27";"20";"34";"16";"52";"19";"5";"9";"0";"1018";"0";"0";""
Arco;18/8/2017;"28";"21";"34";"16";"50";"20";"7";"11";"0";"1016";"0";"0";""
Arco;19/8/2017;"26";"18";"31";"17";"57";"20";"9";"33";"0";"1012";"0";"0";"pioggia temporale "
Arco;20/8/2017;"22";"16";"28";"13";"58";"17";"8";"15";"0";"1017";"0";"0";"pioggia temporale "
Arco;21/8/2017;"22";"17";"28";"10";"48";"20";"9";"15";"0";"1020";"0";"0";""
Arco;22/8/2017;"22";"16";"27";"11";"50";"20";"7";"15";"0";"1019";"0";"0";""
Arco;23/8/2017;"23";"17";"29";"12";"53";"20";"7";"11";"0";"1017";"0";"0";""
Arco;24/8/2017;"25";"18";"32";"15";"56";"20";"7";"11";"0";"1018";"0";"0";""
Arco;25/8/2017;"26";"19";"32";"17";"59";"20";"5";"9";"0";"1019";"0";"0";""
Arco;26/8/2017;"27";"21";"34";"17";"57";"20";"7";"13";"0";"1017";"0";"0";""
Arco;27/8/2017;"28";"21";"35";"16";"50";"19";"10";"18";"0";"1015";"0";"0";""
Arco;28/8/2017;"27";"23";"32";"18";"58";"20";"6";"15";"0";"1014";"0";"0";"pioggia temporale "
Arco;29/8/2017;"25";"18";"30";"15";"55";"20";"8";"18";"0";"1016";"0";"0";""
Arco;30/8/2017;"26";"18";"32";"15";"54";"20";"6";"13";"0";"1015";"0";"0";""
Arco;31/8/2017;"25";"19";"31";"16";"59";"18";"5";"13";"0";"1014";"0";"0";"pioggia "
