LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/7/2022;"28";"21";"34";"17";"57";"20";"10";"18";"0";"1012";"0";"0";""
Arco;2/7/2022;"29";"20";"35";"15";"47";"19";"6";"9";"0";"1017";"0";"0";""
Arco;3/7/2022;"30";"22";"36";"17";"48";"20";"7";"11";"0";"1016";"0";"0";""
Arco;4/7/2022;"29";"21";"36";"17";"51";"19";"8";"52";"0";"1015";"0";"0";"pioggia temporale "
Arco;5/7/2022;"27";"18";"34";"17";"58";"19";"7";"15";"0";"1014";"0";"0";""
Arco;6/7/2022;"28";"20";"32";"15";"48";"20";"10";"21";"0";"1017";"0";"0";"pioggia temporale "
Arco;7/7/2022;"26";"21";"32";"15";"54";"19";"11";"31";"0";"1016";"0";"0";"pioggia temporale "
Arco;8/7/2022;"25";"17";"31";"13";"50";"19";"9";"15";"0";"1019";"0";"0";""
Arco;9/7/2022;"24";"17";"29";"13";"51";"20";"8";"15";"0";"1021";"0";"0";""
Arco;10/7/2022;"26";"18";"32";"11";"44";"21";"9";"17";"0";"1016";"0";"0";""
Arco;11/7/2022;"26";"22";"31";"15";"50";"19";"12";"18";"0";"1017";"0";"0";""
Arco;12/7/2022;"26";"23";"31";"15";"51";"20";"10";"17";"0";"1019";"0";"0";""
Arco;13/7/2022;"26";"19";"32";"15";"51";"20";"7";"13";"0";"1022";"0";"0";""
Arco;14/7/2022;"27";"20";"34";"14";"47";"20";"6";"11";"0";"1019";"0";"0";""
Arco;15/7/2022;"28";"20";"35";"17";"51";"20";"7";"15";"0";"1013";"0";"0";""
Arco;16/7/2022;"29";"24";"34";"17";"48";"20";"10";"17";"0";"1015";"0";"0";""
Arco;17/7/2022;"29";"25";"33";"16";"46";"19";"13";"22";"0";"1019";"0";"0";""
Arco;18/7/2022;"27";"22";"33";"15";"48";"20";"10";"21";"0";"1021";"0";"0";""
Arco;19/7/2022;"28";"21";"34";"15";"46";"20";"7";"15";"0";"1019";"0";"0";""
Arco;20/7/2022;"29";"22";"36";"14";"43";"21";"6";"11";"0";"1018";"0";"0";""
Arco;21/7/2022;"30";"22";"37";"15";"41";"19";"7";"11";"0";"1016";"0";"0";""
Arco;22/7/2022;"30";"21";"37";"15";"42";"20";"7";"11";"0";"1015";"0";"0";""
Arco;23/7/2022;"30";"22";"37";"16";"46";"19";"7";"15";"0";"1014";"0";"0";""
Arco;24/7/2022;"31";"23";"36";"17";"46";"20";"7";"11";"0";"1015";"0";"0";""
Arco;25/7/2022;"33";"25";"37";"17";"40";"19";"6";"13";"0";"1012";"0";"0";"pioggia temporale "
Arco;26/7/2022;"31";"23";"35";"17";"42";"21";"12";"22";"0";"1009";"0";"0";""
Arco;27/7/2022;"26";"20";"31";"18";"65";"20";"10";"18";"0";"1011";"0";"0";"pioggia temporale "
Arco;28/7/2022;"27";"21";"31";"17";"54";"21";"9";"21";"0";"1013";"0";"0";""
Arco;29/7/2022;"27";"22";"32";"19";"61";"20";"8";"18";"0";"1013";"0";"0";"pioggia "
Arco;30/7/2022;"27";"21";"33";"16";"53";"21";"7";"17";"0";"1014";"0";"0";""
Arco;31/7/2022;"27";"19";"34";"14";"48";"19";"10";"21";"0";"1015";"0";"0";""
