LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/1/2023;"10";"9";"11";"9";"93";"4";"5";"11";"0";"1031";"0";"0";""
Arco;2/1/2023;"10";"9";"10";"9";"97";"1";"3";"5";"0";"1030";"0";"0";"nebbia "
Arco;3/1/2023;"10";"9";"12";"9";"94";"2";"4";"9";"0";"1029";"0";"0";"pioggia nebbia "
Arco;4/1/2023;"10";"7";"13";"8";"90";"10";"7";"15";"0";"1029";"0";"0";"nebbia "
Arco;5/1/2023;"9";"7";"12";"7";"90";"6";"7";"13";"0";"1023";"0";"0";"nebbia "
Arco;6/1/2023;"8";"6";"10";"5";"81";"8";"5";"8";"0";"1025";"0";"0";""
Arco;7/1/2023;"8";"7";"9";"6";"86";"5";"3";"8";"0";"1024";"0";"0";"pioggia "
Arco;8/1/2023;"7";"7";"9";"7";"97";"3";"5";"11";"0";"1015";"0";"0";"pioggia nebbia "
Arco;9/1/2023;"8";"3";"10";"6";"88";"18";"13";"26";"0";"1003";"0";"0";"pioggia nebbia "
Arco;10/1/2023;"6";"2";"14";"2";"65";"19";"12";"21";"0";"1013";"0";"0";"nebbia "
Arco;11/1/2023;"5";"0";"10";"1";"61";"20";"6";"9";"0";"1020";"0";"0";""
Arco;12/1/2023;"6";"2";"11";"3";"75";"22";"6";"13";"0";"1022";"0";"0";"pioggia "
Arco;13/1/2023;"5";"2";"10";"2";"87";"19";"5";"11";"0";"1019";"0";"0";""
Arco;14/1/2023;"4";"-2";"12";"3";"84";"22";"6";"13";"0";"1022";"0";"0";""
Arco;15/1/2023;"6";"5";"7";"4";"90";"11";"5";"13";"0";"1014";"0";"0";"pioggia "
Arco;16/1/2023;"6";"3";"7";"4";"91";"8";"9";"18";"0";"999";"0";"0";"pioggia nebbia "
Arco;17/1/2023;"5";"4";"6";"3";"93";"9";"10";"18";"0";"990";"0";"0";"pioggia "
Arco;18/1/2023;"4";"3";"5";"3";"93";"5";"6";"13";"0";"993";"0";"0";"nebbia "
Arco;19/1/2023;"3";"0";"4";"2";"93";"11";"8";"22";"0";"1002";"0";"0";"pioggia neve "
Arco;20/1/2023;"3";"-1";"8";"1";"75";"19";"7";"18";"0";"1009";"0";"0";""
Arco;21/1/2023;"5";"-1";"10";"1";"52";"21";"14";"26";"0";"1010";"0";"0";""
Arco;22/1/2023;"5";"2";"9";"0";"63";"20";"8";"22";"0";"1017";"0";"0";""
Arco;23/1/2023;"7";"3";"10";"3";"73";"18";"17";"37";"0";"1019";"0";"0";"pioggia "
Arco;24/1/2023;"8";"4";"12";"3";"74";"18";"5";"13";"0";"1028";"0";"0";"pioggia "
Arco;25/1/2023;"7";"4";"10";"3";"78";"20";"7";"13";"0";"1025";"0";"0";"pioggia "
Arco;26/1/2023;"6";"4";"8";"1";"65";"21";"7";"13";"0";"1015";"0";"0";""
Arco;27/1/2023;"4";"0";"7";"0";"61";"20";"6";"13";"0";"1014";"0";"0";""
Arco;28/1/2023;"3";"-1";"8";"0";"69";"21";"6";"11";"0";"1019";"0";"0";""
Arco;29/1/2023;"3";"-2";"8";"0";"72";"20";"9";"17";"0";"1024";"0";"0";""
Arco;30/1/2023;"2";"-4";"8";"1";"82";"16";"6";"21";"0";"1018";"0";"0";""
Arco;31/1/2023;"4";"-2";"11";"2";"78";"11";"9";"18";"0";"1021";"0";"0";""
