LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/10/2000;"9,9";"7,9";"11,7";"8,9";"93";"0";"2";"0";"36";"0";"1006";"35,5";"pioggia "
Cavalese;2/10/2000;"9,3";"7,4";"11,4";"7,6";"89";"0";"2";"0";"31";"0";"1008";"5,5";"pioggia "
Cavalese;3/10/2000;"8,3";"6,4";"9,5";"5";"79";"0";"6";"0";"58";"0";"1015";"5,6";"pioggia "
Cavalese;4/10/2000;"10,1";"6";"14,7";"6,8";"80";"0";"4";"0";"28";"0";"1019";"0";""
Cavalese;5/10/2000;"10,6";"7,2";"13,9";"8,1";"85";"0";"2";"0";"20";"0";"1015";"1,3";"pioggia "
Cavalese;6/10/2000;"8";"4,4";"10";"6,4";"89";"0";"4";"0";"50";"0";"1015";"12,4";"pioggia "
Cavalese;7/10/2000;"1,9";"1";"4";"0,5";"90";"0";"6";"0";"55";"0";"1018";"41,6";"pioggia neve "
Cavalese;8/10/2000;"4,3";"0,8";"7,1";"0,4";"76";"0";"5";"0";"56";"0";"1016";"2,6";"pioggia neve "
Cavalese;9/10/2000;"7,6";"5,1";"11,2";"3,1";"74";"0";"3";"0";"22";"0";"1011";"3,5";"pioggia "
Cavalese;10/10/2000;"5,8";"5,1";"6,8";"4,6";"92";"0";"2";"0";"29";"0";"1004";"5,9";"pioggia "
Cavalese;11/10/2000;"6,5";"5,1";"7,6";"5,7";"94";"0";"4";"0";"47";"0";"1000";"30,5";"pioggia "
Cavalese;12/10/2000;"9";"6,6";"10,6";"8,8";"97";"0";"5";"0";"70";"0";"1005";"49,1";"pioggia "
Cavalese;13/10/2000;"12,5";"10,4";"14,4";"10,8";"89";"0";"4";"0";"55";"0";"1013";"9,1";"pioggia "
Cavalese;14/10/2000;"13,5";"10,6";"17,7";"11,2";"86";"0";"3";"0";"44";"0";"1017";"3,3";"pioggia "
Cavalese;15/10/2000;"11,8";"9,1";"16,3";"9";"83";"0";"4";"0";"66";"0";"1013";"17,7";"pioggia "
Cavalese;16/10/2000;"9,6";"7,7";"13,1";"6,3";"80";"0";"3";"0";"43";"0";"1018";"1,5";"pioggia "
Cavalese;17/10/2000;"8";"6";"10,4";"6";"87";"0";"2";"0";"19";"0";"1022";"3,7";"pioggia "
Cavalese;18/10/2000;"7,8";"3,9";"11,1";"5,2";"84";"0";"2";"0";"16";"0";"1022";"0";""
Cavalese;19/10/2000;"8,6";"6,8";"10,1";"6,5";"87";"0";"2";"0";"16";"0";"1021";"0";""
Cavalese;20/10/2000;"9,2";"7,9";"11";"7";"86";"0";"3";"0";"21";"0";"1024";"0";""
Cavalese;21/10/2000;"8,3";"6,2";"10,5";"6";"85";"0";"3";"0";"19";"0";"1028";"0";""
Cavalese;22/10/2000;"7,9";"3,4";"13,5";"5,1";"83";"0";"1";"0";"16";"0";"1030";"0";""
Cavalese;23/10/2000;"7,6";"3";"14";"4,3";"81";"0";"2";"0";"20";"0";"1028";"0";""
Cavalese;24/10/2000;"7,5";"1,3";"14,5";"3,3";"76";"0";"2";"0";"19";"0";"1024";"0";""
Cavalese;25/10/2000;"8,5";"3,4";"14";"4,9";"79";"0";"2";"0";"26";"0";"1021";"0";""
Cavalese;26/10/2000;"8,3";"5,1";"12,1";"5,4";"83";"0";"2";"0";"24";"0";"1017";"0";""
Cavalese;27/10/2000;"8,6";"5,1";"13,2";"3,5";"72";"0";"2";"0";"15";"0";"1017";"0";""
Cavalese;28/10/2000;"8,4";"4,6";"14";"4,5";"77";"0";"2";"0";"25";"0";"1022";"0";""
Cavalese;29/10/2000;"7,4";"3,1";"11,9";"4,6";"83";"0";"3";"0";"36";"0";"1020";"0";""
Cavalese;30/10/2000;"8";"6,5";"10,1";"6,1";"88";"0";"4";"0";"43";"0";"1015";"2,5";"pioggia "
Cavalese;31/10/2000;"8,3";"6,5";"10,8";"7,4";"94";"0";"5";"0";"70";"0";"1005";"39";"pioggia "
