LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/12/2006;"2,3";"-1,1";"7,3";"-2,5";"71";"0";"2";"0";"13";"0";"1032";"0";""
Cavalese;2/12/2006;"2,3";"-0,7";"6,3";"-3,8";"64";"0";"2";"0";"20";"0";"1027";"0";""
Cavalese;3/12/2006;"2,9";"0,6";"5,1";"-0,1";"80";"0";"2";"0";"31";"0";"1021";"0";""
Cavalese;4/12/2006;"4,6";"2,9";"6,6";"2,7";"87";"0";"2";"0";"29";"0";"1015";"0";""
Cavalese;5/12/2006;"5,1";"2,4";"9,2";"1,3";"77";"0";"3";"0";"28";"0";"1016";"0";""
Cavalese;6/12/2006;"5,1";"3,8";"6,4";"4";"92";"0";"3";"0";"33";"0";"1013";"6,9";"pioggia "
Cavalese;7/12/2006;"6,4";"5,5";"7,9";"5,2";"92";"0";"3";"0";"30";"0";"1013";"5";"pioggia "
Cavalese;8/12/2006;"5,1";"3,9";"7,3";"4";"92";"0";"4";"0";"58";"0";"1011";"8,2";"pioggia "
Cavalese;9/12/2006;"2,2";"1,6";"3,5";"1,2";"93";"0";"3";"0";"59";"0";"1007";"41";"pioggia neve "
Cavalese;10/12/2006;"1";"-3,1";"4,1";"-3,7";"71";"0";"3";"0";"32";"0";"1025";"0";""
Cavalese;11/12/2006;"-2,9";"-5,9";"0,7";"-8,6";"65";"0";"3";"0";"20";"0";"1031";"0";""
Cavalese;12/12/2006;"-1,5";"-5,3";"3,4";"-9,7";"54";"0";"1";"0";"15";"0";"1025";"0";""
Cavalese;13/12/2006;"-0,3";"-4,2";"5,3";"-5,9";"66";"0";"2";"0";"21";"0";"1029";"0";""
Cavalese;14/12/2006;"0";"-4,6";"6";"-7,1";"59";"0";"2";"0";"15";"0";"1032";"0";""
Cavalese;15/12/2006;"0,4";"-3,8";"6,2";"-7,6";"55";"0";"2";"0";"16";"0";"1032";"0";""
Cavalese;16/12/2006;"1,1";"-3,7";"5,9";"-5";"63";"0";"2";"0";"24";"0";"1029";"0";""
Cavalese;17/12/2006;"3,3";"1,5";"5,4";"0,8";"83";"0";"2";"0";"20";"0";"1024";"0";""
Cavalese;18/12/2006;"0,8";"-0,9";"3,3";"-2,8";"77";"0";"4";"0";"37";"0";"1019";"5,3";"pioggia neve "
Cavalese;19/12/2006;"-1,8";"-4,1";"0,9";"-8,5";"60";"0";"4";"0";"29";"0";"1023";"0";""
Cavalese;20/12/2006;"-2,7";"-5,7";"2,2";"-13";"46";"0";"2";"0";"20";"0";"1030";"0";""
Cavalese;21/12/2006;"-3";"-6,6";"2,4";"-10,7";"55";"0";"2";"0";"22";"0";"1032";"0";""
Cavalese;22/12/2006;"-3";"-7,7";"3,2";"-12,9";"48";"0";"3";"0";"25";"0";"1035";"0";""
Cavalese;23/12/2006;"-1,3";"-7";"6";"-12,2";"43";"0";"4";"0";"30";"0";"1035";"0";""
Cavalese;24/12/2006;"-0,7";"-5,5";"5,9";"-9,2";"53";"0";"4";"0";"26";"0";"1030";"0";""
Cavalese;25/12/2006;"-0,4";"-4,9";"6,1";"-7,5";"59";"0";"3";"0";"23";"0";"1027";"0";""
Cavalese;26/12/2006;"-1,1";"-6";"5,1";"-8,6";"57";"0";"2";"0";"14";"0";"1031";"0";""
Cavalese;27/12/2006;"-1,7";"-6,4";"4,8";"-8,1";"62";"0";"1";"0";"11";"0";"1032";"0";""
Cavalese;28/12/2006;"-2,8";"-8,3";"4";"-8,8";"64";"0";"2";"0";"10";"0";"1028";"0";""
Cavalese;29/12/2006;"-1,9";"-7,9";"4,9";"-8,6";"60";"0";"3";"0";"17";"0";"1029";"0";""
Cavalese;30/12/2006;"-1,9";"-7";"3,5";"-7,6";"65";"0";"2";"0";"18";"0";"1034";"0";""
Cavalese;31/12/2006;"0";"-4,8";"6";"-5,7";"65";"0";"2";"0";"29";"0";"1034";"0";""
