LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/11/2007;"5,2";"0,4";"11,4";"-3,1";"56";"0";"2";"0";"20";"0";"1025";"0";""
Cavalese;2/11/2007;"6,5";"0,3";"13,9";"-0,2";"63";"0";"2";"0";"22";"0";"1026";"0";""
Cavalese;3/11/2007;"6,8";"1,9";"13,1";"2,2";"73";"0";"2";"0";"16";"0";"1023";"0";""
Cavalese;4/11/2007;"6,9";"3,2";"12,3";"2,1";"73";"0";"2";"0";"22";"0";"1018";"0";""
Cavalese;5/11/2007;"4,4";"2,4";"7,4";"0,2";"74";"0";"3";"0";"23";"0";"1024";"1,3";"pioggia "
Cavalese;6/11/2007;"3,9";"1,7";"7,7";"-2,2";"65";"0";"2";"0";"25";"0";"1021";"0";""
Cavalese;7/11/2007;"3,8";"0,4";"7,8";"-4,7";"54";"0";"3";"0";"32";"0";"1020";"0";""
Cavalese;8/11/2007;"4,8";"2,1";"9,8";"-1,2";"65";"0";"4";"0";"32";"0";"1015";"0";""
Cavalese;9/11/2007;"2,8";"-0,7";"6,8";"-5,9";"56";"0";"6";"0";"74";"0";"1010";"0";""
Cavalese;10/11/2007;"2,3";"-0,9";"6,4";"-4,9";"60";"0";"4";"0";"47";"0";"1013";"0";"neve "
Cavalese;11/11/2007;"4,7";"0,9";"9,3";"-1,8";"65";"0";"3";"0";"36";"0";"1006";"0";""
Cavalese;12/11/2007;"2,4";"-1,2";"6,1";"-7,5";"50";"0";"6";"0";"55";"0";"1011";"0";"neve "
Cavalese;13/11/2007;"-1,5";"-4,9";"3";"-11,6";"46";"0";"3";"0";"32";"0";"1014";"0";""
Cavalese;14/11/2007;"-1,3";"-3,5";"3,3";"-7,7";"61";"0";"3";"0";"48";"0";"1002";"0";"neve "
Cavalese;15/11/2007;"-2,8";"-6,1";"2";"-12,2";"49";"0";"7";"0";"54";"0";"1012";"0";""
Cavalese;16/11/2007;"-5,5";"-10,9";"0,5";"-14,7";"49";"0";"5";"0";"38";"0";"1021";"0";""
Cavalese;17/11/2007;"-5,4";"-10,7";"-0,3";"-12,7";"57";"0";"3";"0";"37";"0";"1019";"0";""
Cavalese;18/11/2007;"-3,4";"-8,8";"1,5";"-11,2";"55";"0";"3";"0";"28";"0";"1013";"0";""
Cavalese;19/11/2007;"-2,2";"-7,1";"3";"-7,7";"66";"0";"2";"0";"15";"0";"1019";"0";""
Cavalese;20/11/2007;"-1,4";"-6,2";"3,7";"-6,8";"67";"0";"3";"0";"23";"0";"1022";"0";""
Cavalese;21/11/2007;"0,7";"-3,8";"4,3";"-2,9";"77";"0";"3";"0";"30";"0";"1022";"0";""
Cavalese;22/11/2007;"2,6";"1";"4,3";"1,2";"90";"0";"3";"0";"25";"0";"1019";"8,9";"pioggia "
Cavalese;23/11/2007;"3,6";"2,4";"5,3";"3,1";"96";"0";"3";"0";"52";"0";"1016";"27,9";"pioggia "
Cavalese;24/11/2007;"3,4";"2,7";"4,2";"2,4";"93";"0";"4";"0";"36";"0";"1019";"41,2";"pioggia "
Cavalese;25/11/2007;"4,3";"3,1";"6,4";"2,5";"88";"0";"2";"0";"21";"0";"1016";"0";""
Cavalese;26/11/2007;"2,8";"0,1";"6";"-6,6";"52";"0";"4";"0";"42";"0";"1015";"0";""
Cavalese;27/11/2007;"-1";"-3,6";"3,1";"-9,3";"53";"0";"2";"0";"23";"0";"1023";"0";""
Cavalese;28/11/2007;"-1,7";"-5,7";"2,6";"-6,2";"71";"0";"2";"0";"20";"0";"1023";"0";""
Cavalese;29/11/2007;"-0,9";"-4";"3,4";"-4,8";"75";"0";"1";"0";"15";"0";"1015";"0";""
Cavalese;30/11/2007;"0,5";"-4,7";"5,4";"-5,4";"65";"0";"2";"0";"25";"0";"1011";"0";""
