LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/5/2008;"8,1";"4,3";"12,2";"4,7";"79";"0";"3";"0";"38";"0";"1013";"1,2";"pioggia "
Cavalese;2/5/2008;"9,3";"1,9";"15,1";"1";"59";"0";"3";"0";"33";"0";"1020";"0";""
Cavalese;3/5/2008;"10,8";"3,6";"16,5";"2,4";"59";"0";"3";"0";"26";"0";"1022";"0";""
Cavalese;4/5/2008;"9,6";"5,9";"13,6";"6,1";"79";"0";"4";"0";"28";"0";"1020";"0";""
Cavalese;5/5/2008;"9,4";"6,1";"13,7";"1";"60";"0";"3";"0";"31";"0";"1021";"4,3";"pioggia "
Cavalese;6/5/2008;"10,3";"3,3";"16,2";"-0,1";"49";"0";"3";"0";"23";"0";"1020";"0";""
Cavalese;7/5/2008;"10,1";"5";"14,6";"3,7";"65";"0";"3";"0";"27";"0";"1020";"1,8";"pioggia "
Cavalese;8/5/2008;"10,6";"5,6";"15,2";"5,8";"74";"0";"2";"0";"26";"0";"1017";"0";""
Cavalese;9/5/2008;"11";"5,1";"16";"6,2";"73";"0";"2";"0";"24";"0";"1016";"0";""
Cavalese;10/5/2008;"11";"5,8";"16,4";"5,9";"72";"0";"2";"0";"28";"0";"1017";"4,5";"pioggia "
Cavalese;11/5/2008;"10,1";"6,5";"14,6";"6,3";"78";"0";"3";"0";"31";"0";"1018";"4,6";"pioggia "
Cavalese;12/5/2008;"10,2";"4,9";"15";"4,1";"68";"0";"3";"0";"32";"0";"1017";"0,9";"pioggia "
Cavalese;13/5/2008;"10,9";"4,8";"16,1";"2,9";"59";"0";"3";"0";"25";"0";"1015";"0";""
Cavalese;14/5/2008;"11,4";"5,3";"16,7";"3,6";"59";"0";"2";"0";"27";"0";"1014";"0";""
Cavalese;15/5/2008;"11,2";"5,9";"15,4";"5,6";"69";"0";"3";"0";"38";"0";"1013";"3,6";"pioggia "
Cavalese;16/5/2008;"12";"6,8";"16,6";"7";"72";"0";"4";"0";"46";"0";"1011";"8,8";"pioggia "
Cavalese;17/5/2008;"11";"9,5";"12,2";"9,7";"91";"0";"4";"0";"39";"0";"1010";"14,7";"pioggia "
Cavalese;18/5/2008;"9,8";"6,8";"12";"8,4";"91";"0";"3";"0";"38";"0";"1005";"34,1";"pioggia "
Cavalese;19/5/2008;"10,3";"5,6";"15,1";"6";"75";"0";"3";"0";"32";"0";"1005";"8,5";"pioggia "
Cavalese;20/5/2008;"10";"7,4";"13";"6,9";"81";"0";"4";"0";"42";"0";"1004";"19,4";"pioggia "
Cavalese;21/5/2008;"10,7";"7,4";"14,6";"6,6";"76";"0";"3";"0";"26";"0";"1009";"3,1";"pioggia "
Cavalese;22/5/2008;"10,6";"8,4";"13,6";"8,3";"85";"0";"3";"0";"29";"0";"1011";"11";"pioggia "
Cavalese;23/5/2008;"11";"7,3";"15";"8,6";"85";"0";"2";"0";"32";"0";"1012";"8,6";"pioggia "
Cavalese;24/5/2008;"12,4";"8,6";"16,5";"8,3";"76";"0";"4";"0";"43";"0";"1013";"0,5";"pioggia "
Cavalese;25/5/2008;"13,9";"10";"17,9";"9,1";"74";"0";"3";"0";"36";"0";"1015";"0";""
Cavalese;26/5/2008;"15,3";"10,4";"19,9";"9,7";"71";"0";"3";"0";"37";"0";"1017";"0";""
Cavalese;27/5/2008;"17,8";"10,4";"23,7";"10,2";"63";"0";"3";"0";"44";"0";"1015";"0,6";"pioggia "
Cavalese;28/5/2008;"18,8";"12,6";"24";"11,7";"65";"0";"3";"0";"42";"0";"1015";"0";""
Cavalese;29/5/2008;"17,7";"13,5";"22";"11,1";"66";"0";"4";"0";"47";"0";"1013";"2,6";"pioggia "
Cavalese;30/5/2008;"14,1";"11";"17,6";"10,6";"79";"0";"2";"0";"41";"0";"1013";"33,2";"pioggia "
Cavalese;31/5/2008;"14";"9,7";"17,8";"9,1";"73";"0";"2";"0";"34";"0";"1015";"0,9";"pioggia "
