LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/1/2009;"-5,8";"-9,2";"-0,8";"-8,9";"79";"0";"4";"0";"31";"0";"1024";"2,1";"pioggia neve "
Cavalese;2/1/2009;"-6,8";"-10,7";"-1,4";"-10,5";"75";"0";"3";"0";"17";"0";"1020";"0";""
Cavalese;3/1/2009;"-9,1";"-12,6";"-3,8";"-13,1";"73";"0";"2";"0";"21";"0";"1022";"0";""
Cavalese;4/1/2009;"-10,1";"-15,1";"-3,9";"-15,7";"65";"0";"3";"0";"28";"0";"1017";"0";""
Cavalese;5/1/2009;"-9,3";"-14,1";"-4,5";"-14,5";"66";"0";"3";"0";"17";"0";"1013";"0";""
Cavalese;6/1/2009;"-7,9";"-10,6";"-5";"-11,1";"77";"0";"3";"0";"17";"0";"1017";"1";"pioggia neve "
Cavalese;7/1/2009;"-6,6";"-9,7";"-3,3";"-9,8";"78";"0";"4";"0";"24";"0";"1017";"0";"neve "
Cavalese;8/1/2009;"-6";"-9,3";"-1,2";"-9,4";"77";"0";"3";"0";"23";"0";"1023";"0";""
Cavalese;9/1/2009;"-7,2";"-11";"-2,1";"-12,1";"69";"0";"3";"0";"21";"0";"1028";"0";""
Cavalese;10/1/2009;"-7";"-11,5";"-1";"-12,8";"63";"0";"4";"0";"21";"0";"1027";"0";""
Cavalese;11/1/2009;"-6,3";"-10,8";"-0,5";"-12,3";"62";"0";"5";"0";"24";"0";"1030";"0";""
Cavalese;12/1/2009;"-6,1";"-10,2";"0,1";"-11,2";"67";"0";"4";"0";"19";"0";"1029";"0";""
Cavalese;13/1/2009;"-7,3";"-12,5";"-2";"-12";"69";"0";"4";"0";"22";"0";"1021";"0";""
Cavalese;14/1/2009;"-4";"-7,6";"-1,1";"-6,8";"80";"0";"5";"0";"38";"0";"1011";"3,6";"pioggia neve "
Cavalese;15/1/2009;"-1,3";"-2,8";"0,8";"-4,2";"80";"0";"2";"0";"29";"0";"1018";"3,5";"pioggia neve "
Cavalese;16/1/2009;"-2,5";"-5,7";"2,1";"-5,8";"78";"0";"2";"0";"18";"0";"1023";"0";""
Cavalese;17/1/2009;"-3,5";"-7,1";"1,1";"-7,6";"73";"0";"2";"0";"18";"0";"1023";"0";""
Cavalese;18/1/2009;"-4,1";"-8,7";"-0,9";"-6,5";"83";"0";"2";"0";"38";"0";"1017";"1,3";"pioggia neve "
Cavalese;19/1/2009;"-2,6";"-6,7";"0,2";"-5";"83";"0";"3";"0";"31";"0";"1010";"4,5";"pioggia neve "
Cavalese;20/1/2009;"0,1";"-1,4";"1,2";"-0,4";"96";"0";"3";"0";"57";"0";"1001";"36,7";"pioggia neve "
Cavalese;21/1/2009;"2,1";"1,1";"3,8";"-0,4";"83";"0";"2";"0";"20";"0";"1002";"0,6";"pioggia "
Cavalese;22/1/2009;"0";"-1,5";"1,5";"-3,9";"75";"0";"2";"0";"27";"0";"1005";"1,2";"pioggia neve "
Cavalese;23/1/2009;"-2,1";"-4,1";"-0,9";"-4,1";"86";"0";"3";"0";"54";"0";"994";"1,6";"pioggia neve "
Cavalese;24/1/2009;"-1,6";"-4,8";"1,1";"-5";"78";"0";"2";"0";"26";"0";"989";"0";"neve "
Cavalese;25/1/2009;"-1";"-2,4";"2";"-6,5";"67";"0";"5";"0";"39";"0";"997";"0";""
Cavalese;26/1/2009;"-1,9";"-4,2";"0,9";"-5";"80";"0";"2";"0";"26";"0";"1002";"0,9";"pioggia neve "
Cavalese;27/1/2009;"-2";"-3,8";"-0,1";"-5,7";"76";"0";"4";"0";"38";"0";"1003";"5,1";"pioggia neve "
Cavalese;28/1/2009;"-2";"-3,5";"0";"-7,8";"64";"0";"5";"0";"41";"0";"1008";"0";"neve "
Cavalese;29/1/2009;"-2,3";"-6";"2,4";"-7,3";"69";"0";"3";"0";"31";"0";"1012";"0";""
Cavalese;30/1/2009;"-3";"-6,7";"1,5";"-6";"80";"0";"1";"0";"14";"0";"1017";"0";""
Cavalese;31/1/2009;"-3,5";"-6,3";"-1,5";"-5,8";"84";"0";"3";"0";"25";"0";"1014";"0";"neve "
