LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/6/2013;"9,8";"6,2";"13,8";"5";"73";"0";"3";"0";"41";"0";"1005";"1,4";"pioggia "
Cavalese;2/6/2013;"10,2";"7,5";"13,1";"5,9";"75";"0";"4";"0";"50";"0";"1009";"0";""
Cavalese;3/6/2013;"11,2";"6,7";"15,6";"3,4";"60";"0";"3";"0";"33";"0";"1014";"0";""
Cavalese;4/6/2013;"12,5";"6";"18,7";"5";"61";"0";"4";"0";"29";"0";"1014";"0";""
Cavalese;5/6/2013;"12,2";"8";"15,7";"7,3";"72";"0";"2";"0";"27";"0";"1016";"10,1";"pioggia "
Cavalese;6/6/2013;"12,5";"7,6";"17,4";"9";"79";"0";"2";"0";"27";"0";"1018";"6,4";"pioggia "
Cavalese;7/6/2013;"13,2";"7,6";"18,2";"8,3";"73";"0";"2";"0";"28";"0";"1017";"2,5";"pioggia "
Cavalese;8/6/2013;"14,3";"9,2";"19,7";"9";"72";"0";"3";"0";"38";"0";"1015";"2,4";"pioggia "
Cavalese;9/6/2013;"12,5";"9,8";"16,3";"9,9";"84";"0";"3";"0";"38";"0";"1011";"30,4";"pioggia "
Cavalese;10/6/2013;"11,3";"8,9";"13,9";"7,7";"78";"0";"2";"0";"28";"0";"1009";"5";"pioggia "
Cavalese;11/6/2013;"13,9";"8,6";"18,9";"6,5";"62";"0";"3";"0";"36";"0";"1012";"1,5";"pioggia "
Cavalese;12/6/2013;"15,1";"8,3";"20,5";"5";"53";"0";"3";"0";"29";"0";"1017";"0";""
Cavalese;13/6/2013;"15,6";"9,8";"20,3";"8,1";"61";"0";"3";"0";"31";"0";"1019";"0";""
Cavalese;14/6/2013;"16,9";"12,2";"21,2";"11,8";"73";"0";"3";"0";"37";"0";"1016";"0";""
Cavalese;15/6/2013;"17,5";"12,4";"21,7";"12,8";"75";"0";"3";"0";"35";"0";"1015";"0,8";"pioggia "
Cavalese;16/6/2013;"17,8";"13,3";"21,5";"13,9";"78";"0";"3";"0";"32";"0";"1017";"1,7";"pioggia "
Cavalese;17/6/2013;"19,1";"13,6";"23,9";"14,7";"77";"0";"2";"0";"35";"0";"1017";"0";""
Cavalese;18/6/2013;"19,9";"14,4";"25,6";"14,9";"74";"0";"2";"0";"27";"0";"1017";"6,2";"pioggia "
Cavalese;19/6/2013;"20,3";"15,3";"25,8";"14,2";"69";"0";"3";"0";"39";"0";"1017";"1,2";"pioggia "
Cavalese;20/6/2013;"18,9";"13,2";"24,9";"13,3";"72";"0";"3";"0";"39";"0";"1015";"7,5";"pioggia "
Cavalese;21/6/2013;"18";"13,2";"23,1";"11,8";"69";"0";"4";"0";"35";"0";"1014";"0,7";"pioggia "
Cavalese;22/6/2013;"16,2";"12,2";"20,7";"11,3";"73";"0";"2";"0";"32";"0";"1015";"2";"pioggia "
Cavalese;23/6/2013;"15,1";"10,6";"19,8";"11,8";"82";"0";"4";"0";"37";"0";"1012";"9";"pioggia "
Cavalese;24/6/2013;"9,5";"7,6";"11,2";"5,3";"75";"0";"8";"0";"66";"0";"1014";"3,4";"pioggia "
Cavalese;25/6/2013;"12,1";"7";"16,7";"3,4";"57";"0";"4";"0";"40";"0";"1016";"0";""
Cavalese;26/6/2013;"11,5";"6,6";"16,2";"3";"56";"0";"3";"0";"33";"0";"1020";"0,7";"pioggia "
Cavalese;27/6/2013;"9,8";"6";"14,2";"3,7";"66";"0";"3";"0";"32";"0";"1021";"15";"pioggia "
Cavalese;28/6/2013;"9,5";"5,7";"14";"5,5";"76";"0";"3";"0";"28";"0";"1019";"10,1";"pioggia "
Cavalese;29/6/2013;"10,9";"4,8";"15";"4,3";"65";"0";"3";"0";"31";"0";"1018";"0";""
Cavalese;30/6/2013;"14,5";"7,9";"19,2";"6,5";"60";"0";"4";"0";"34";"0";"1018";"0";""
