LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/9/2013;"14,7";"11,3";"19,3";"10,4";"76";"0";"2";"0";"23";"0";"1020";"3";"pioggia "
Cavalese;2/9/2013;"14,7";"10,2";"19,7";"6,4";"59";"0";"2";"0";"19";"0";"1022";"0";""
Cavalese;3/9/2013;"17";"9,1";"24,4";"6,7";"52";"0";"3";"0";"25";"0";"1023";"0";""
Cavalese;4/9/2013;"17,4";"11,8";"23";"11,2";"68";"0";"3";"0";"29";"0";"1023";"0";""
Cavalese;5/9/2013;"18";"13,7";"23,1";"13,9";"78";"0";"2";"0";"30";"0";"1017";"0";""
Cavalese;6/9/2013;"17,2";"14,1";"21,4";"14,5";"84";"0";"3";"0";"29";"0";"1015";"0,6";"pioggia "
Cavalese;7/9/2013;"16,9";"12";"22,4";"12,1";"75";"0";"2";"0";"32";"0";"1017";"0";""
Cavalese;8/9/2013;"16,2";"14,1";"19,2";"14";"87";"0";"4";"0";"46";"0";"1019";"7,4";"pioggia "
Cavalese;9/9/2013;"15,1";"12,4";"19,1";"9,7";"72";"0";"2";"0";"41";"0";"1015";"1,9";"pioggia "
Cavalese;10/9/2013;"13,2";"9,8";"16,4";"10,4";"83";"0";"4";"0";"39";"0";"1014";"9,3";"pioggia "
Cavalese;11/9/2013;"10,5";"7,1";"14,6";"4,2";"66";"0";"4";"0";"36";"0";"1013";"0";""
Cavalese;12/9/2013;"10,4";"6,4";"15";"4,3";"67";"0";"2";"0";"23";"0";"1014";"0";""
Cavalese;13/9/2013;"10,9";"5,9";"15,8";"2,7";"58";"0";"2";"0";"24";"0";"1017";"0";""
Cavalese;14/9/2013;"11,7";"3,9";"18,4";"4,9";"65";"0";"3";"0";"25";"0";"1017";"0";""
Cavalese;15/9/2013;"12,2";"9,9";"15,4";"9,3";"82";"0";"3";"0";"33";"0";"1012";"4,8";"pioggia "
Cavalese;16/9/2013;"12,2";"7,5";"17,3";"8,8";"81";"0";"4";"0";"44";"0";"1005";"0,8";"pioggia "
Cavalese;17/9/2013;"10,5";"6,4";"14,5";"1,2";"57";"0";"5";"0";"49";"0";"1002";"3,8";"pioggia "
Cavalese;18/9/2013;"9,4";"6,2";"11,8";"5,6";"77";"0";"3";"0";"25";"0";"1004";"0";""
Cavalese;19/9/2013;"11,6";"7,8";"15,6";"4,3";"64";"0";"3";"0";"32";"0";"1007";"0,6";"pioggia "
Cavalese;20/9/2013;"12,4";"7,9";"17,1";"5,8";"64";"0";"4";"0";"29";"0";"1015";"1,6";"pioggia "
Cavalese;21/9/2013;"12,8";"7,1";"18";"5";"61";"0";"3";"0";"23";"0";"1021";"0";""
Cavalese;22/9/2013;"11,9";"5,9";"16,6";"4,6";"62";"0";"2";"0";"18";"0";"1024";"0";""
Cavalese;23/9/2013;"13,6";"6,6";"20,9";"4,6";"57";"0";"2";"0";"18";"0";"1020";"0";""
Cavalese;24/9/2013;"14";"5,3";"22,5";"6,2";"63";"0";"3";"0";"30";"0";"1015";"0";""
Cavalese;25/9/2013;"14,5";"11";"18,8";"10,3";"77";"0";"3";"0";"29";"0";"1013";"0";""
Cavalese;26/9/2013;"15,7";"10,9";"21,3";"9,9";"70";"0";"2";"0";"30";"0";"1013";"0";""
Cavalese;27/9/2013;"15,5";"10,9";"20,5";"10,2";"72";"0";"2";"0";"31";"0";"1014";"0";""
Cavalese;28/9/2013;"14,7";"10,9";"19";"11,2";"80";"0";"3";"0";"33";"0";"1012";"0";""
Cavalese;29/9/2013;"12,8";"11";"14,5";"11,9";"94";"0";"2";"0";"23";"0";"1007";"8,9";"pioggia "
Cavalese;30/9/2013;"10,5";"9,9";"11,5";"10";"96";"0";"3";"0";"20";"0";"1004";"4,1";"pioggia "
