LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/8/2015;"16,3";"12,2";"21,2";"11,4";"74";"0";"3";"0";"35";"0";"1015";"6,4";"pioggia "
Cavalese;2/8/2015;"17,1";"13,5";"21,4";"11,8";"72";"0";"2";"0";"24";"0";"1017";"2,1";"pioggia "
Cavalese;3/8/2015;"19,2";"13,2";"25,3";"12,7";"68";"0";"2";"0";"29";"0";"1017";"0";""
Cavalese;4/8/2015;"19,9";"15";"25,7";"15";"75";"0";"2";"0";"32";"0";"1016";"0";""
Cavalese;5/8/2015;"20,4";"15,1";"25,9";"13,7";"67";"0";"3";"0";"27";"0";"1017";"0";""
Cavalese;6/8/2015;"21,2";"15,2";"27";"14,3";"66";"0";"2";"0";"17";"0";"1017";"0";""
Cavalese;7/8/2015;"21,5";"16,5";"26,6";"15,1";"68";"0";"2";"0";"20";"0";"1017";"1,4";"pioggia "
Cavalese;8/8/2015;"19,7";"16,6";"24,4";"15,6";"77";"0";"3";"0";"24";"0";"1018";"1";"pioggia "
Cavalese;9/8/2015;"19,6";"15";"25,7";"14,3";"72";"0";"4";"0";"26";"0";"1017";"0";""
Cavalese;10/8/2015;"19,2";"14,6";"24,6";"12,4";"66";"0";"4";"0";"24";"0";"1014";"0";""
Cavalese;11/8/2015;"19,1";"13";"24,9";"10,7";"60";"0";"3";"0";"25";"0";"1015";"0";""
Cavalese;12/8/2015;"19,9";"13,8";"25,3";"11";"58";"0";"3";"0";"22";"0";"1018";"0";""
Cavalese;13/8/2015;"20,9";"15,2";"26,6";"11,1";"54";"0";"4";"0";"33";"0";"1015";"0";""
Cavalese;14/8/2015;"18,9";"15,1";"24,5";"13";"69";"0";"3";"0";"43";"0";"1012";"2,1";"pioggia "
Cavalese;15/8/2015;"16,4";"12,5";"21,7";"13";"81";"0";"3";"0";"30";"0";"1010";"22,8";"pioggia "
Cavalese;16/8/2015;"14,7";"12";"17,2";"11,6";"82";"0";"2";"0";"23";"0";"1008";"15,5";"pioggia "
Cavalese;17/8/2015;"14,2";"12,8";"16,4";"11,7";"84";"0";"2";"0";"27";"0";"1009";"5,1";"pioggia "
Cavalese;18/8/2015;"14,5";"11,3";"18,2";"10,4";"76";"0";"2";"0";"35";"0";"1012";"10,8";"pioggia "
Cavalese;19/8/2015;"12,6";"11,2";"14,1";"10,9";"89";"0";"3";"0";"36";"0";"1015";"9,8";"pioggia "
Cavalese;20/8/2015;"14,6";"10,2";"19,9";"8,4";"68";"0";"3";"0";"33";"0";"1019";"0";""
Cavalese;21/8/2015;"14,1";"9,7";"19,2";"8,3";"69";"0";"1";"0";"23";"0";"1022";"1,4";"pioggia "
Cavalese;22/8/2015;"14";"8,3";"19,5";"8,7";"72";"0";"3";"0";"32";"0";"1019";"0";""
Cavalese;23/8/2015;"14,2";"11,9";"16,3";"10,9";"80";"0";"3";"0";"37";"0";"1014";"0";""
Cavalese;24/8/2015;"13,9";"12,6";"15,4";"12,6";"91";"0";"3";"0";"43";"0";"1013";"11,4";"pioggia "
Cavalese;25/8/2015;"15,2";"12,9";"17,7";"12,7";"86";"0";"3";"0";"38";"0";"1015";"2,5";"pioggia "
Cavalese;26/8/2015;"16";"10,6";"21";"11,1";"74";"0";"3";"0";"29";"0";"1019";"0";""
Cavalese;27/8/2015;"17,1";"11,4";"23";"11,9";"73";"0";"3";"0";"33";"0";"1018";"0";""
Cavalese;28/8/2015;"18,5";"11,9";"24,2";"13,1";"72";"0";"2";"0";"26";"0";"1020";"0";""
Cavalese;29/8/2015;"20,1";"13,1";"26,7";"13,6";"69";"0";"2";"0";"24";"0";"1022";"0";""
Cavalese;30/8/2015;"19,5";"12,7";"26,1";"11,8";"64";"0";"2";"0";"26";"0";"1021";"0";""
Cavalese;31/8/2015;"18,7";"13,1";"24,2";"11,7";"65";"0";"3";"0";"34";"0";"1018";"0";""
