LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/2/2015;"-6,4";"-12,7";"0,6";"-13,2";"59";"0";"2";"0";"26";"0";"990";"0";""
Cavalese;2/2/2015;"-4,5";"-8,8";"1,5";"-13,1";"52";"0";"1";"0";"19";"0";"999";"0";""
Cavalese;3/2/2015;"-5,4";"-10";"-1,7";"-10,8";"65";"0";"3";"0";"18";"0";"1002";"1,1";"pioggia neve "
Cavalese;4/2/2015;"-2,8";"-6,3";"0,7";"-8,5";"65";"0";"3";"0";"29";"0";"1004";"0";"neve "
Cavalese;5/2/2015;"-2,3";"-3,6";"-0,8";"-5,1";"81";"0";"5";"0";"64";"0";"1005";"23,4";"pioggia neve "
Cavalese;6/2/2015;"-0,9";"-2,9";"1";"-4,3";"77";"0";"4";"0";"64";"0";"1007";"16,1";"pioggia neve "
Cavalese;7/2/2015;"-0,1";"-4,4";"5";"-6,5";"63";"0";"2";"0";"22";"0";"1018";"1,6";"pioggia neve "
Cavalese;8/2/2015;"-3,3";"-5,7";"1,9";"-12,4";"50";"0";"8";"0";"69";"0";"1014";"0";""
Cavalese;9/2/2015;"-3,4";"-9,1";"2,4";"-11,8";"52";"0";"6";"0";"54";"0";"1021";"0";""
Cavalese;10/2/2015;"-0";"-6,2";"7,2";"-7";"60";"0";"5";"0";"55";"0";"1022";"0";""
Cavalese;11/2/2015;"1,1";"-5,2";"8,8";"-4,9";"66";"0";"2";"0";"13";"0";"1023";"0";""
Cavalese;12/2/2015;"0,6";"-5,3";"7";"-3,8";"73";"0";"3";"0";"22";"0";"1024";"0";""
Cavalese;13/2/2015;"-0,1";"-4,8";"4,5";"-3,8";"76";"0";"3";"0";"29";"0";"1023";"0";""
Cavalese;14/2/2015;"0,4";"-2";"2,2";"-1,1";"89";"0";"2";"0";"29";"0";"1017";"5,9";"pioggia neve "
Cavalese;15/2/2015;"1,1";"-0,1";"2,1";"-0,3";"90";"0";"2";"0";"38";"0";"1015";"10,1";"pioggia neve "
Cavalese;16/2/2015;"1,2";"-1,5";"4,6";"-2,9";"75";"0";"2";"0";"23";"0";"1021";"0";"neve "
Cavalese;17/2/2015;"0,8";"-3,7";"6,3";"-4,4";"69";"0";"2";"0";"18";"0";"1028";"0";""
Cavalese;18/2/2015;"0,3";"-4,5";"6,5";"-6,5";"63";"0";"2";"0";"19";"0";"1034";"0";""
Cavalese;19/2/2015;"-0,1";"-6,6";"7,4";"-6,5";"63";"0";"2";"0";"17";"0";"1030";"0";""
Cavalese;20/2/2015;"0,3";"-5,3";"6,7";"-5,2";"67";"0";"3";"0";"30";"0";"1022";"0";""
Cavalese;21/2/2015;"-0,2";"-2,8";"1,7";"-2,2";"86";"0";"4";"0";"36";"0";"1009";"7,1";"pioggia neve "
Cavalese;22/2/2015;"0,8";"-1";"3,4";"-3,5";"74";"0";"4";"0";"37";"0";"1002";"12,8";"pioggia neve "
Cavalese;23/2/2015;"0,8";"-4,4";"5,5";"-4,3";"69";"0";"2";"0";"31";"0";"1004";"1,5";"pioggia "
Cavalese;24/2/2015;"0,4";"-1,8";"2,4";"-2,8";"79";"0";"4";"0";"62";"0";"1004";"6,7";"pioggia neve "
Cavalese;25/2/2015;"0,3";"-2,7";"4,3";"-7,8";"54";"0";"7";"0";"59";"0";"1013";"0";"neve "
Cavalese;26/2/2015;"-0,2";"-3,9";"4,1";"-7,2";"59";"0";"3";"0";"36";"0";"1017";"0";"neve "
Cavalese;27/2/2015;"0,5";"-2,3";"3,1";"-3";"77";"0";"2";"0";"25";"0";"1012";"0";""
Cavalese;28/2/2015;"1,5";"-1,4";"5,1";"-4,2";"66";"0";"3";"0";"27";"0";"1016";"0";""
