LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/4/2016;"10,6";"5,9";"15";"5,6";"72";"0";"4";"0";"36";"0";"1015";"0";""
Cavalese;2/4/2016;"11,3";"6,1";"16,9";"5,5";"69";"0";"3";"0";"28";"0";"1019";"0";""
Cavalese;3/4/2016;"10,7";"4,3";"17,1";"4,4";"67";"0";"4";"0";"35";"0";"1016";"0";""
Cavalese;4/4/2016;"10,3";"6,4";"14";"5,4";"73";"0";"4";"0";"40";"0";"1013";"0";""
Cavalese;5/4/2016;"11,3";"6,1";"17,2";"5,9";"71";"0";"3";"0";"44";"0";"1011";"0";""
Cavalese;6/4/2016;"10,9";"6,4";"16,8";"5,5";"70";"0";"4";"0";"42";"0";"1010";"0";""
Cavalese;7/4/2016;"9,6";"5,3";"14,8";"5,7";"77";"0";"4";"0";"37";"0";"1007";"1,6";"pioggia "
Cavalese;8/4/2016;"5,3";"2,9";"7,8";"3,5";"88";"0";"4";"0";"34";"0";"1003";"17,7";"pioggia neve "
Cavalese;9/4/2016;"3,9";"1,3";"6,2";"2,1";"88";"0";"3";"0";"35";"0";"1003";"14,7";"pioggia neve "
Cavalese;10/4/2016;"7,2";"0,6";"12,8";"1";"67";"0";"3";"0";"25";"0";"1007";"0";""
Cavalese;11/4/2016;"9,4";"3,6";"14,8";"3,1";"66";"0";"4";"0";"40";"0";"1011";"0";""
Cavalese;12/4/2016;"10";"4,3";"15,5";"3";"65";"0";"5";"0";"42";"0";"1011";"0";""
Cavalese;13/4/2016;"9,6";"5,3";"13,6";"4,1";"69";"0";"5";"0";"47";"0";"1007";"0,7";"pioggia "
Cavalese;14/4/2016;"8,8";"4,3";"14,1";"1,7";"63";"0";"2";"0";"40";"0";"1008";"2,1";"pioggia "
Cavalese;15/4/2016;"8,8";"4,3";"12,9";"3,2";"68";"0";"6";"0";"47";"0";"1011";"0,5";"pioggia "
Cavalese;16/4/2016;"10,6";"6,5";"15,5";"4,3";"67";"0";"6";"0";"56";"0";"1011";"1,3";"pioggia "
Cavalese;17/4/2016;"10,1";"6,6";"13,3";"7,1";"82";"0";"6";"0";"70";"0";"1010";"8,2";"pioggia "
Cavalese;18/4/2016;"9,7";"5,9";"14,4";"5,2";"75";"0";"4";"0";"48";"0";"1012";"5,1";"pioggia "
Cavalese;19/4/2016;"9,5";"2,9";"15,6";"-1";"51";"0";"5";"0";"43";"0";"1017";"0";""
Cavalese;20/4/2016;"10,1";"1,7";"16,5";"0,4";"52";"0";"3";"0";"31";"0";"1023";"0";""
Cavalese;21/4/2016;"11,3";"4,7";"17,7";"4,2";"64";"0";"4";"0";"32";"0";"1022";"0";""
Cavalese;22/4/2016;"10,3";"5,6";"14,9";"5,5";"72";"0";"3";"0";"35";"0";"1014";"0";""
Cavalese;23/4/2016;"8,2";"5,5";"10,9";"6,2";"87";"0";"2";"0";"29";"0";"1005";"10,3";"pioggia "
Cavalese;24/4/2016;"4,5";"1,8";"7,1";"-3,7";"57";"0";"4";"0";"45";"0";"1002";"3,3";"pioggia neve "
Cavalese;25/4/2016;"4,8";"-0,4";"9,7";"-9,2";"37";"0";"4";"0";"42";"0";"1007";"0";""
Cavalese;26/4/2016;"5,2";"1,4";"9,5";"-2,1";"60";"0";"6";"0";"50";"0";"1006";"0";""
Cavalese;27/4/2016;"4,2";"1,1";"7,9";"-4,2";"58";"0";"3";"0";"51";"0";"1005";"6,5";"pioggia neve "
Cavalese;28/4/2016;"3,9";"0,2";"7,9";"-3,8";"57";"0";"4";"0";"28";"0";"1013";"1,4";"pioggia neve "
Cavalese;29/4/2016;"6,2";"1,5";"10";"0,3";"67";"0";"4";"0";"31";"0";"1017";"0";""
Cavalese;30/4/2016;"7,8";"2,4";"12,4";"0,7";"62";"0";"4";"0";"40";"0";"1015";"0";""
