LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/7/2021;"15,7";"8,5";"22";"6,6";"57";"0";"4";"0";"40";"0";"1013";"0";""
Cavalese;2/7/2021;"17,7";"9,6";"25";"8,1";"57";"0";"4";"0";"42";"0";"1015";"0";""
Cavalese;3/7/2021;"18,4";"11,5";"24,5";"11,1";"65";"0";"4";"0";"48";"0";"1015";"1,6";"pioggia "
Cavalese;4/7/2021;"16,1";"12";"21,2";"14";"88";"0";"3";"0";"45";"0";"1011";"13,9";"pioggia "
Cavalese;5/7/2021;"17,5";"10,3";"23,5";"10,3";"65";"0";"5";"0";"40";"0";"1012";"0";""
Cavalese;6/7/2021;"20,6";"13";"27,4";"14";"68";"0";"5";"0";"56";"0";"1014";"0,5";"pioggia "
Cavalese;7/7/2021;"21,6";"15,8";"28,2";"14,3";"66";"0";"6";"0";"65";"0";"1015";"1,1";"pioggia "
Cavalese;8/7/2021;"17,6";"14";"22,1";"14,9";"85";"0";"3";"0";"58";"0";"1017";"44,2";"pioggia "
Cavalese;9/7/2021;"17,9";"11,5";"24,2";"9,7";"63";"0";"5";"0";"41";"0";"1017";"0,5";"pioggia "
Cavalese;10/7/2021;"18,7";"11,8";"25,1";"11,8";"66";"0";"4";"0";"42";"0";"1017";"0";""
Cavalese;11/7/2021;"18,2";"12,4";"24,2";"10,8";"66";"0";"4";"0";"36";"0";"1014";"2,8";"pioggia "
Cavalese;12/7/2021;"20,2";"12,1";"27,4";"13,5";"68";"0";"5";"0";"52";"0";"1013";"0";""
Cavalese;13/7/2021;"17,5";"13,3";"22,2";"14,7";"84";"0";"3";"0";"56";"0";"1009";"17,5";"pioggia "
Cavalese;14/7/2021;"13,4";"9,7";"16,3";"9,6";"79";"0";"2";"0";"27";"0";"1011";"2,5";"pioggia "
Cavalese;15/7/2021;"14";"9,9";"18,7";"11,1";"83";"0";"2";"0";"34";"0";"1014";"4,8";"pioggia "
Cavalese;16/7/2021;"15";"10,9";"18,6";"11";"78";"0";"3";"0";"34";"0";"1015";"1,3";"pioggia "
Cavalese;17/7/2021;"17,8";"12,3";"23";"11,3";"67";"0";"8";"0";"60";"0";"1014";"0";""
Cavalese;18/7/2021;"19,1";"15";"23,7";"13,2";"69";"0";"7";"0";"54";"0";"1014";"2,7";"pioggia "
Cavalese;19/7/2021;"20,6";"14,8";"26,8";"11,1";"57";"0";"6";"0";"45";"0";"1014";"0";""
Cavalese;20/7/2021;"20";"13";"26";"11,6";"61";"0";"3";"0";"37";"0";"1015";"0";""
Cavalese;21/7/2021;"20,3";"14,4";"26";"14,1";"70";"0";"3";"0";"39";"0";"1019";"0,6";"pioggia "
Cavalese;22/7/2021;"18,3";"14";"23,8";"15,1";"83";"0";"3";"0";"43";"0";"1020";"7,1";"pioggia "
Cavalese;23/7/2021;"18,9";"11,9";"26";"13,9";"76";"0";"3";"0";"36";"0";"1016";"0,8";"pioggia "
Cavalese;24/7/2021;"19,4";"15,6";"25,2";"15,3";"78";"0";"4";"0";"55";"0";"1013";"1,3";"pioggia "
Cavalese;25/7/2021;"17,5";"14,7";"20,5";"15";"85";"0";"2";"0";"56";"0";"1012";"3,6";"pioggia "
Cavalese;26/7/2021;"17,7";"13,9";"23,8";"13,1";"77";"0";"3";"0";"43";"0";"1014";"6,3";"pioggia "
Cavalese;27/7/2021;"18";"14,6";"23,1";"14,8";"83";"0";"4";"0";"60";"0";"1017";"8,9";"pioggia "
Cavalese;28/7/2021;"18,7";"14,3";"23,8";"13,4";"73";"0";"5";"0";"65";"0";"1015";"0,8";"pioggia "
Cavalese;29/7/2021;"19,5";"12,7";"26,2";"13";"69";"0";"4";"0";"38";"0";"1015";"0";""
Cavalese;30/7/2021;"20,2";"13,9";"26,7";"14,2";"71";"0";"5";"0";"52";"0";"1012";"0,6";"pioggia "
Cavalese;31/7/2021;"18,9";"13,3";"25,3";"13,4";"74";"0";"4";"0";"60";"0";"1010";"2,6";"pioggia "
