LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/3/2025;"2,4";"-1,5";"7,3";"-1";"78";"34946";"2";"0";"5";"1025";"0";"1,8";"pioggia neve "
Cavalese;2/3/2025;"2,3";"-3,2";"10,7";"-2,9";"68";"80001";"2";"0";"5";"1029";"0";"0";""
Cavalese;3/3/2025;"3,2";"-3,3";"11,9";"-3,5";"61";"66051";"1";"0";"5";"1027";"0";"0";""
Cavalese;4/3/2025;"4,9";"-1,9";"13,5";"-3,1";"56";"66051";"1";"0";"3";"1025";"0";"0";""
Cavalese;5/3/2025;"5,6";"-1,4";"14,8";"-3,1";"53";"66051";"2";"0";"4";"1027";"0";"0";""
Cavalese;6/3/2025;"5,4";"-1,3";"14,1";"-1,9";"59";"66051";"1";"0";"5";"1026";"0";"0";""
Cavalese;7/3/2025;"4,9";"-1,5";"13,5";"-1,8";"61";"80001";"1";"0";"3";"1021";"0";"0";""
Cavalese;8/3/2025;"5,1";"-2,5";"14";"-1,6";"62";"80001";"1";"0";"3";"1016";"0";"0";""
Cavalese;9/3/2025;"6,1";"-0,7";"12,3";"0";"65";"32011";"2";"0";"6";"1010";"0";"4,3";"pioggia "
Cavalese;10/3/2025;"4,5";"2";"9,7";"3,7";"94";"11113";"2";"0";"6";"1007";"0";"22,4";"pioggia "
Cavalese;11/3/2025;"5,5";"1,3";"10,9";"4,3";"92";"11306";"3";"0";"5";"1004";"0";"4,9";"pioggia "
Cavalese;12/3/2025;"5,3";"3,4";"8";"4,9";"97";"832";"3";"0";"6";"998";"0";"21,8";"pioggia "
Cavalese;13/3/2025;"4,8";"2,5";"9,9";"3,7";"93";"14533";"3";"0";"8";"997";"0";"11,6";"pioggia "
Cavalese;14/3/2025;"4,4";"2,5";"7,5";"3,6";"94";"6781";"2";"0";"5";"1001";"0";"15,4";"pioggia "
Cavalese;15/3/2025;"5,5";"3,9";"8";"5,1";"97";"472";"2";"0";"4";"1007";"0";"15,9";"pioggia "
Cavalese;16/3/2025;"4,4";"3";"6,5";"3,6";"94";"11740";"2";"0";"4";"1012";"0";"9,4";"pioggia "
Cavalese;17/3/2025;"3,8";"-0,9";"9,3";"-1,6";"67";"40790";"2";"0";"8";"1019";"0";"0,2";"pioggia neve "
Cavalese;18/3/2025;"1,6";"-3,7";"8,2";"-0,2";"87";"43329";"1";"0";"2";"1029";"0";"0,4";"pioggia neve "
Cavalese;19/3/2025;"2,9";"-3,6";"10,7";"-0,5";"78";"76635";"1";"0";"3";"1030";"0";"0";""
Cavalese;20/3/2025;"4,3";"-2,1";"11,8";"0,5";"76";"72104";"2";"0";"4";"1028";"0";"0";""
Cavalese;21/3/2025;"4,5";"-1,5";"10,9";"1,7";"82";"42442";"3";"0";"5";"1022";"0";"0,1";"pioggia "
Cavalese;22/3/2025;"5,3";"3";"8,1";"4,7";"96";"100";"2";"0";"6";"1013";"0";"30,8";"pioggia "
Cavalese;23/3/2025;"6,6";"4,3";"9,7";"5,4";"92";"13601";"3";"0";"8";"1010";"0";"7,6";"pioggia "
Cavalese;24/3/2025;"7";"2,8";"11,5";"2,3";"72";"33662";"1";"0";"5";"1012";"0";"1,4";"pioggia "
Cavalese;25/3/2025;"6,1";"1,8";"11,2";"2";"74";"46681";"1";"0";"4";"1017";"0";"7,5";"pioggia temporale "
Cavalese;26/3/2025;"7,2";"2,5";"13,8";"1,5";"67";"77423";"3";"0";"8";"1015";"0";"5";"pioggia temporale "
Cavalese;27/3/2025;"7,2";"-0,4";"14,5";"0,7";"63";"75521";"4";"0";"9";"1012";"0";"0";"pioggia "
Cavalese;28/3/2025;"7";"0,3";"14,1";"3,3";"76";"40986";"3";"0";"6";"1006";"0";"6,6";"pioggia "
Cavalese;29/3/2025;"8,6";"5,7";"11,5";"6";"83";"11774";"5";"0";"11";"1007";"0";"6,8";"pioggia "
Cavalese;30/3/2025;"10,9";"5,2";"16,4";"4";"62";"78310";"3";"0";"11";"1011";"0";"0,1";"pioggia "
Cavalese;31/3/2025;"6,8";"1,5";"10";"-2,1";"52";"79344";"6";"0";"11";"1016";"0";"0";""
