LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/3/2002;"2,8";"2,1";"3,7";"1,1";"88";"0";"2";"0";"34";"0";"1011";"8,7";"pioggia neve "
Lavarone;2/3/2002;"2,9";"2,2";"3,7";"2,1";"94";"0";"3";"0";"52";"0";"1009";"10,6";"pioggia neve "
Lavarone;3/3/2002;"4,1";"3,3";"6";"0,9";"79";"0";"2";"0";"50";"0";"1012";"13";"pioggia neve "
Lavarone;4/3/2002;"4,8";"2,4";"9";"-1,7";"63";"0";"1";"0";"15";"0";"1018";"0";""
Lavarone;5/3/2002;"4";"1,4";"7,8";"-1,3";"68";"0";"1";"0";"23";"0";"1014";"1,2";"pioggia "
Lavarone;6/3/2002;"4,4";"2,3";"6,1";"0,8";"77";"0";"3";"0";"50";"0";"1012";"10,2";"pioggia "
Lavarone;7/3/2002;"7,2";"3,9";"11,8";"2,1";"70";"0";"1";"0";"23";"0";"1016";"0";""
Lavarone;8/3/2002;"6,7";"3";"11,6";"0,6";"65";"0";"2";"0";"34";"0";"1021";"0";""
Lavarone;9/3/2002;"5,4";"2";"9,6";"0,7";"72";"0";"2";"0";"19";"0";"1016";"0";""
Lavarone;10/3/2002;"6,5";"2";"12,2";"-1,3";"58";"0";"2";"0";"32";"0";"1016";"0";""
Lavarone;11/3/2002;"6,5";"3,3";"11,3";"0,1";"64";"0";"0";"0";"18";"0";"1022";"0";""
Lavarone;12/3/2002;"5,8";"0,6";"11";"-2,4";"56";"0";"2";"0";"28";"0";"1019";"0";""
Lavarone;13/3/2002;"6,4";"2";"11,6";"-1,5";"57";"0";"1";"0";"23";"0";"1016";"0";""
Lavarone;14/3/2002;"6,1";"1,8";"10,9";"0,4";"67";"0";"2";"0";"33";"0";"1013";"2,2";"pioggia "
Lavarone;15/3/2002;"6,1";"2,9";"9,8";"1,7";"74";"0";"2";"0";"27";"0";"1014";"0";""
Lavarone;16/3/2002;"6,5";"2,1";"11,2";"0,4";"65";"0";"2";"0";"27";"0";"1016";"0";""
Lavarone;17/3/2002;"6,3";"2,9";"9,9";"1,6";"72";"0";"1";"0";"24";"0";"1016";"0";""
Lavarone;18/3/2002;"6,4";"2,3";"10,9";"1,5";"71";"0";"3";"0";"33";"0";"1013";"0";""
Lavarone;19/3/2002;"6,3";"2,7";"10,2";"2,7";"78";"0";"3";"0";"36";"0";"1008";"0";""
Lavarone;20/3/2002;"9,7";"3,8";"15,2";"3,8";"67";"0";"2";"0";"36";"0";"1011";"0";""
Lavarone;21/3/2002;"11";"5,6";"16,6";"1,1";"51";"0";"2";"0";"31";"0";"1013";"0";""
Lavarone;22/3/2002;"6,9";"1,5";"11,4";"-2,9";"51";"0";"4";"0";"43";"0";"1013";"1";"pioggia neve "
Lavarone;23/3/2002;"2,2";"-1,2";"6,5";"-9,6";"45";"0";"8";"0";"61";"0";"1016";"0";""
Lavarone;24/3/2002;"-0,2";"-4,7";"4";"-14";"35";"0";"7";"0";"60";"0";"1020";"0";""
Lavarone;25/3/2002;"-0,7";"-5,5";"4,9";"-12,8";"40";"0";"6";"0";"43";"0";"1021";"0";""
Lavarone;26/3/2002;"0,9";"-6,3";"7";"-10,8";"42";"0";"2";"0";"23";"0";"1020";"0";""
Lavarone;27/3/2002;"0,8";"-2";"4,2";"-5";"65";"0";"2";"0";"16";"0";"1024";"0,8";"pioggia neve "
Lavarone;28/3/2002;"2,5";"-2,7";"7,7";"-6,5";"52";"0";"2";"0";"20";"0";"1026";"0";""
Lavarone;29/3/2002;"3,3";"-3,3";"9,4";"-6,6";"49";"0";"1";"0";"19";"0";"1026";"0";""
Lavarone;30/3/2002;"5,8";"-1,4";"12,3";"-4,5";"49";"0";"2";"0";"20";"0";"1022";"0";""
Lavarone;31/3/2002;"7,6";"0,9";"13,1";"-2,8";"48";"0";"2";"0";"28";"0";"1018";"0";""
