LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/6/2004;"10,3";"8,8";"12";"7,9";"85";"0";"3";"0";"23";"0";"1015";"7,7";"pioggia "
Lavarone;2/6/2004;"12,4";"7,7";"16,5";"6,7";"69";"0";"2";"0";"28";"0";"1013";"1,7";"pioggia "
Lavarone;3/6/2004;"12,5";"8,4";"16,2";"5,6";"63";"0";"3";"0";"40";"0";"1013";"0,8";"pioggia "
Lavarone;4/6/2004;"14,2";"9,8";"18,6";"6,2";"59";"0";"4";"0";"45";"0";"1014";"0,8";"pioggia "
Lavarone;5/6/2004;"12,6";"8,6";"16,7";"7,7";"73";"0";"2";"0";"27";"0";"1012";"10";"pioggia "
Lavarone;6/6/2004;"12,7";"7,4";"16,3";"5,8";"64";"0";"2";"0";"31";"0";"1015";"0";""
Lavarone;7/6/2004;"15,2";"11,4";"18,4";"7,9";"62";"0";"3";"0";"29";"0";"1021";"0";""
Lavarone;8/6/2004;"17,7";"12,8";"22";"10,9";"65";"0";"2";"0";"24";"0";"1022";"0,5";"pioggia "
Lavarone;9/6/2004;"20";"14,3";"25,1";"11,5";"59";"0";"2";"0";"28";"0";"1022";"0";""
Lavarone;10/6/2004;"21,1";"15,5";"25,8";"12,1";"57";"0";"3";"0";"42";"0";"1020";"0";""
Lavarone;11/6/2004;"20,2";"15,4";"23,9";"10,4";"54";"0";"3";"0";"41";"0";"1017";"0";""
Lavarone;12/6/2004;"15,9";"11,2";"19,2";"11,7";"76";"0";"4";"0";"43";"0";"1014";"15";"pioggia "
Lavarone;13/6/2004;"11,4";"9,9";"13,1";"7,5";"77";"0";"3";"0";"39";"0";"1018";"1";"pioggia "
Lavarone;14/6/2004;"14,1";"9,7";"18,3";"4,9";"54";"0";"4";"0";"44";"0";"1022";"0";""
Lavarone;15/6/2004;"15,7";"11,4";"19,1";"8,1";"61";"0";"2";"0";"26";"0";"1017";"0";""
Lavarone;16/6/2004;"16,4";"13,6";"19,7";"10,6";"68";"0";"2";"0";"25";"0";"1012";"1,1";"pioggia "
Lavarone;17/6/2004;"15,9";"12,7";"19,3";"10,2";"69";"0";"3";"0";"34";"0";"1012";"0";""
Lavarone;18/6/2004;"16,7";"12,6";"20,8";"11,1";"70";"0";"3";"0";"41";"0";"1006";"3";"pioggia "
Lavarone;19/6/2004;"14,9";"12,2";"17,9";"11";"78";"0";"3";"0";"54";"0";"1004";"12";"pioggia "
Lavarone;20/6/2004;"11,8";"9";"13,2";"9,5";"86";"0";"2";"0";"33";"0";"1004";"31,9";"pioggia "
Lavarone;21/6/2004;"12,4";"7,3";"16,1";"6,8";"69";"0";"4";"0";"38";"0";"1012";"0";""
Lavarone;22/6/2004;"14,6";"11,7";"17,6";"9,7";"72";"0";"3";"0";"46";"0";"1018";"2,3";"pioggia "
Lavarone;23/6/2004;"16,1";"12,8";"19,4";"10,4";"69";"0";"4";"0";"39";"0";"1015";"0";""
Lavarone;24/6/2004;"16,5";"13,9";"19,3";"12,6";"77";"0";"3";"0";"38";"0";"1012";"1,3";"pioggia "
Lavarone;25/6/2004;"15,3";"11,7";"18,9";"12,1";"81";"0";"1";"0";"28";"0";"1014";"22";"pioggia "
Lavarone;26/6/2004;"15,8";"10,5";"19,8";"9,8";"69";"0";"3";"0";"32";"0";"1020";"4";"pioggia "
Lavarone;27/6/2004;"19,6";"15";"24,2";"13,2";"67";"0";"3";"0";"32";"0";"1020";"0";""
Lavarone;28/6/2004;"19,7";"15,7";"24";"15,3";"76";"0";"2";"0";"34";"0";"1020";"8,5";"pioggia "
Lavarone;29/6/2004;"17,5";"14";"21,3";"13,7";"79";"0";"2";"0";"26";"0";"1019";"8,3";"pioggia "
Lavarone;30/6/2004;"17,3";"13,5";"21,2";"11,1";"68";"0";"3";"0";"35";"0";"1018";"2,1";"pioggia "
