LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/10/2005;"9,6";"8,2";"11,2";"5,1";"74";"0";"3";"0";"23";"0";"1017";"1,4";"pioggia "
Lavarone;2/10/2005;"7,5";"5,2";"8,9";"7,2";"95";"0";"2";"0";"44";"0";"1014";"26,3";"pioggia "
Lavarone;3/10/2005;"6,7";"5,3";"7,9";"6";"94";"0";"6";"0";"57";"0";"1018";"48,3";"pioggia "
Lavarone;4/10/2005;"8,6";"6,2";"11,7";"6,1";"84";"0";"4";"0";"37";"0";"1020";"3,1";"pioggia "
Lavarone;5/10/2005;"8,7";"5,5";"11";"6,3";"84";"0";"4";"0";"39";"0";"1020";"6,8";"pioggia "
Lavarone;6/10/2005;"9,5";"8,5";"10,7";"8,4";"92";"0";"3";"0";"42";"0";"1021";"21,1";"pioggia "
Lavarone;7/10/2005;"9,9";"9,3";"10,8";"8";"88";"0";"3";"0";"37";"0";"1022";"10,9";"pioggia "
Lavarone;8/10/2005;"10,2";"8,5";"12";"7,8";"85";"0";"3";"0";"30";"0";"1020";"1,7";"pioggia "
Lavarone;9/10/2005;"11";"8,3";"13,8";"7,2";"77";"0";"2";"0";"24";"0";"1023";"0";""
Lavarone;10/10/2005;"10";"8,4";"11,9";"5,5";"74";"0";"2";"0";"21";"0";"1025";"0";""
Lavarone;11/10/2005;"9,4";"6,7";"12,8";"2,6";"63";"0";"2";"0";"20";"0";"1024";"0";""
Lavarone;12/10/2005;"9";"7,7";"11,4";"2,6";"64";"0";"2";"0";"23";"0";"1022";"0";""
Lavarone;13/10/2005;"9,8";"7,5";"13,6";"3,9";"67";"0";"2";"0";"23";"0";"1020";"0";""
Lavarone;14/10/2005;"10,7";"7,7";"15,5";"5,9";"72";"0";"2";"0";"20";"0";"1024";"0";""
Lavarone;15/10/2005;"10,9";"8,1";"15,8";"7";"77";"0";"1";"0";"22";"0";"1027";"0";""
Lavarone;16/10/2005;"11,2";"7,8";"16,5";"7,3";"77";"0";"2";"0";"17";"0";"1021";"0";""
Lavarone;17/10/2005;"8,2";"6,5";"9,7";"4,8";"79";"0";"2";"0";"23";"0";"1021";"0";""
Lavarone;18/10/2005;"6,5";"5,5";"8,2";"3,4";"80";"0";"2";"0";"18";"0";"1023";"0";""
Lavarone;19/10/2005;"6,9";"4,5";"8,6";"4,5";"84";"0";"2";"0";"39";"0";"1023";"0,7";"pioggia "
Lavarone;20/10/2005;"7,5";"6,7";"8,4";"6,2";"92";"0";"1";"0";"19";"0";"1019";"10,2";"pioggia "
Lavarone;21/10/2005;"9,1";"7,6";"10,3";"6,9";"86";"0";"2";"0";"32";"0";"1015";"0";""
Lavarone;22/10/2005;"9,1";"6,3";"11,7";"6,4";"83";"0";"3";"0";"35";"0";"1014";"0";""
Lavarone;23/10/2005;"10,5";"8,7";"12,7";"7,6";"82";"0";"2";"0";"39";"0";"1017";"0";""
Lavarone;24/10/2005;"10";"7";"12,9";"7,2";"83";"0";"2";"0";"24";"0";"1021";"0";""
Lavarone;25/10/2005;"10,4";"8,7";"13,6";"7,8";"84";"0";"2";"0";"29";"0";"1022";"0";""
Lavarone;26/10/2005;"10,6";"7";"15,2";"7,3";"80";"0";"1";"0";"17";"0";"1023";"0";""
Lavarone;27/10/2005;"11,8";"9,1";"16,5";"8,3";"80";"0";"1";"0";"18";"0";"1024";"0";""
Lavarone;28/10/2005;"11,5";"8,8";"16,4";"7,9";"78";"0";"1";"0";"21";"0";"1023";"0";""
Lavarone;29/10/2005;"10,8";"7,8";"15,8";"6,2";"73";"0";"1";"0";"18";"0";"1023";"0";""
Lavarone;30/10/2005;"9,9";"7";"14,5";"5,8";"76";"0";"1";"0";"22";"0";"1022";"0";""
Lavarone;31/10/2005;"8,9";"6,9";"12,7";"6,8";"87";"0";"2";"0";"28";"0";"1020";"0";""
