LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/8/2006;"18,1";"14,5";"20,6";"16";"87";"0";"2";"0";"39";"0";"1010";"10,7";"pioggia "
Lavarone;2/8/2006;"16,3";"13,8";"19,4";"12,2";"77";"0";"4";"0";"32";"0";"1007";"2,5";"pioggia "
Lavarone;3/8/2006;"12,9";"11";"13,8";"9,7";"81";"0";"4";"0";"46";"0";"1002";"26,8";"pioggia "
Lavarone;4/8/2006;"13,4";"10,4";"15,9";"6,2";"62";"0";"3";"0";"45";"0";"1006";"0";""
Lavarone;5/8/2006;"15,2";"10,7";"19,3";"6,8";"58";"0";"2";"0";"28";"0";"1011";"0";""
Lavarone;6/8/2006;"15,4";"11,9";"19,5";"7,2";"58";"0";"3";"0";"28";"0";"1011";"1,8";"pioggia "
Lavarone;7/8/2006;"16,9";"12,5";"21,1";"6,6";"51";"0";"5";"0";"32";"0";"1009";"0";""
Lavarone;8/8/2006;"17,4";"13,2";"21,1";"6,8";"50";"0";"3";"0";"35";"0";"1009";"0";""
Lavarone;9/8/2006;"15,6";"13,1";"18,9";"9,1";"65";"0";"2";"0";"26";"0";"1011";"2,9";"pioggia "
Lavarone;10/8/2006;"13,9";"10,2";"17,5";"9,4";"74";"0";"3";"0";"29";"0";"1011";"4,7";"pioggia "
Lavarone;11/8/2006;"11,9";"9,5";"15,1";"8,8";"81";"0";"3";"0";"29";"0";"1009";"9,8";"pioggia "
Lavarone;12/8/2006;"10,6";"8,7";"13,4";"8,5";"87";"0";"2";"0";"23";"0";"1005";"11,5";"pioggia "
Lavarone;13/8/2006;"11,6";"7,5";"14,4";"5,6";"67";"0";"4";"0";"42";"0";"1007";"1,4";"pioggia "
Lavarone;14/8/2006;"12,6";"9,2";"15,3";"9";"78";"0";"3";"0";"42";"0";"1010";"1,3";"pioggia "
Lavarone;15/8/2006;"13,5";"9,9";"17,3";"7,8";"70";"0";"3";"0";"38";"0";"1013";"0";""
Lavarone;16/8/2006;"12,9";"11,2";"14,9";"11,3";"90";"0";"1";"0";"50";"0";"1012";"9,5";"pioggia "
Lavarone;17/8/2006;"14,7";"11,1";"18";"12";"84";"0";"3";"0";"54";"0";"1012";"8,3";"pioggia "
Lavarone;18/8/2006;"18,2";"15,7";"21,9";"11,5";"66";"0";"5";"0";"65";"0";"1012";"11,6";"pioggia "
Lavarone;19/8/2006;"18,6";"16,6";"21,4";"11,7";"64";"0";"2";"0";"43";"0";"1018";"1,7";"pioggia "
Lavarone;20/8/2006;"17,6";"14,3";"20,7";"12,9";"74";"0";"3";"0";"58";"0";"1018";"4,4";"pioggia "
Lavarone;21/8/2006;"16,1";"13";"19,7";"9";"63";"0";"3";"0";"31";"0";"1018";"0";""
Lavarone;22/8/2006;"16,7";"14";"20,3";"11,1";"70";"0";"2";"0";"25";"0";"1015";"4,1";"pioggia "
Lavarone;23/8/2006;"15,8";"13";"18,7";"11,8";"77";"0";"3";"0";"33";"0";"1014";"7,8";"pioggia "
Lavarone;24/8/2006;"14,8";"12,6";"16,4";"12,4";"85";"0";"3";"0";"37";"0";"1011";"12,3";"pioggia "
Lavarone;25/8/2006;"14,3";"11,4";"17,6";"9,2";"72";"0";"3";"0";"31";"0";"1008";"0,7";"pioggia "
Lavarone;26/8/2006;"13,4";"10,6";"16,6";"9,4";"77";"0";"3";"0";"29";"0";"1009";"5";"pioggia "
Lavarone;27/8/2006;"13,2";"10,2";"16,7";"10,1";"82";"0";"2";"0";"27";"0";"1011";"2,8";"pioggia "
Lavarone;28/8/2006;"13";"10,4";"15,7";"10,1";"83";"0";"3";"0";"51";"0";"1009";"4";"pioggia "
Lavarone;29/8/2006;"12,4";"9,5";"16,8";"7,6";"74";"0";"3";"0";"30";"0";"1005";"3,5";"pioggia "
Lavarone;30/8/2006;"11,6";"7,8";"15,7";"3,9";"61";"0";"3";"0";"37";"0";"1011";"0";""
Lavarone;31/8/2006;"13,5";"7,3";"18,7";"2,9";"50";"0";"3";"0";"28";"0";"1021";"0";""
