LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/11/2008;"8,1";"6,6";"10,6";"6";"86";"0";"3";"0";"30";"0";"1011";"4,3";"pioggia "
Lavarone;2/11/2008;"8,4";"6,3";"11,3";"6,1";"86";"0";"2";"0";"23";"0";"1018";"0";""
Lavarone;3/11/2008;"8,3";"7,2";"9";"7,8";"96";"0";"2";"0";"54";"0";"1018";"31";"pioggia "
Lavarone;4/11/2008;"8,3";"7,1";"9,4";"7,9";"96";"0";"4";"0";"78";"0";"1018";"41,2";"pioggia "
Lavarone;5/11/2008;"9";"7";"11,4";"7,1";"87";"0";"1";"0";"67";"0";"1018";"15,5";"pioggia "
Lavarone;6/11/2008;"7,5";"4,6";"11,1";"4,4";"81";"0";"2";"0";"24";"0";"1016";"0,6";"pioggia "
Lavarone;7/11/2008;"5,7";"4,2";"8,6";"3,9";"88";"0";"2";"0";"18";"0";"1016";"0";""
Lavarone;8/11/2008;"5,7";"2,7";"9,1";"2,9";"82";"0";"2";"0";"16";"0";"1021";"0";""
Lavarone;9/11/2008;"6,3";"4,3";"8,8";"3,8";"84";"0";"1";"0";"19";"0";"1028";"0";""
Lavarone;10/11/2008;"6,7";"4,1";"9,9";"3,8";"82";"0";"2";"0";"23";"0";"1028";"0";""
Lavarone;11/11/2008;"6,1";"4,4";"8,5";"4,1";"87";"0";"3";"0";"27";"0";"1022";"0";""
Lavarone;12/11/2008;"4,8";"3,9";"5,9";"4,2";"95";"0";"1";"0";"38";"0";"1019";"20,3";"pioggia "
Lavarone;13/11/2008;"3,1";"2,5";"4,1";"2,7";"96";"0";"5";"0";"45";"0";"1019";"28,2";"pioggia neve "
Lavarone;14/11/2008;"3,7";"1,4";"6,1";"1,8";"87";"0";"4";"0";"39";"0";"1023";"2";"pioggia neve "
Lavarone;15/11/2008;"2";"-1";"6,4";"-1,5";"78";"0";"3";"0";"28";"0";"1026";"0";""
Lavarone;16/11/2008;"2,6";"-1,4";"7,8";"-1,9";"73";"0";"3";"0";"24";"0";"1022";"0";""
Lavarone;17/11/2008;"3,4";"0,4";"7,8";"-0,9";"73";"0";"3";"0";"31";"0";"1022";"0";""
Lavarone;18/11/2008;"2";"1";"3,6";"-0,4";"84";"0";"2";"0";"23";"0";"1018";"2,1";"pioggia neve "
Lavarone;19/11/2008;"3";"-0,5";"6,9";"-1,8";"71";"0";"2";"0";"25";"0";"1017";"0";""
Lavarone;20/11/2008;"3,2";"1,6";"5,9";"0,4";"82";"0";"2";"0";"27";"0";"1015";"0";""
Lavarone;21/11/2008;"3,1";"1";"7";"-1,8";"72";"0";"4";"0";"69";"0";"1000";"0";""
Lavarone;22/11/2008;"-0,9";"-2,4";"0,8";"-15,8";"31";"0";"3";"0";"47";"0";"1000";"1,2";"pioggia neve "
Lavarone;23/11/2008;"-2,1";"-4";"0,6";"-14,8";"37";"0";"4";"0";"43";"0";"1006";"0";"neve "
Lavarone;24/11/2008;"-2,3";"-3,2";"-0,6";"-7,8";"66";"0";"3";"0";"44";"0";"998";"6,7";"pioggia neve "
Lavarone;25/11/2008;"0,4";"-2,3";"3,4";"-7,8";"54";"0";"4";"0";"32";"0";"1006";"0";""
Lavarone;26/11/2008;"0,1";"-1,7";"2,8";"-9,2";"49";"0";"2";"0";"26";"0";"1022";"0";""
Lavarone;27/11/2008;"0,2";"-0,8";"3";"-4,6";"70";"0";"1";"0";"19";"0";"1025";"0";""
Lavarone;28/11/2008;"0";"-0,7";"0,6";"-2,8";"81";"0";"3";"0";"36";"0";"1010";"30,7";"pioggia neve "
Lavarone;29/11/2008;"0,6";"-0,2";"1,7";"-0,8";"90";"0";"3";"0";"36";"0";"1000";"10,9";"pioggia neve "
Lavarone;30/11/2008;"0,2";"-1,2";"1,5";"-0,9";"92";"0";"2";"0";"53";"0";"1004";"29,4";"pioggia neve "
