LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/5/2013;"14,9";"10,6";"19,5";"8,8";"68";"0";"2";"0";"51";"0";"1018";"15,3";"pioggia "
Lavarone;2/5/2013;"12,3";"9,9";"15";"9,6";"84";"0";"2";"0";"22";"0";"1015";"5";"pioggia "
Lavarone;3/5/2013;"11,6";"8,1";"15,9";"8,6";"82";"0";"3";"0";"51";"0";"1012";"6,4";"pioggia "
Lavarone;4/5/2013;"12";"8";"15,7";"7,5";"74";"0";"3";"0";"36";"0";"1015";"1,6";"pioggia "
Lavarone;5/5/2013;"11,1";"8";"15,1";"6,4";"73";"0";"4";"0";"36";"0";"1017";"2,6";"pioggia "
Lavarone;6/5/2013;"9,7";"7,8";"11";"8,6";"92";"0";"2";"0";"29";"0";"1015";"9,8";"pioggia "
Lavarone;7/5/2013;"10,6";"7,6";"13,5";"8,1";"84";"0";"2";"0";"24";"0";"1013";"5,5";"pioggia "
Lavarone;8/5/2013;"12";"7,5";"15,6";"7";"72";"0";"2";"0";"25";"0";"1014";"0";""
Lavarone;9/5/2013;"13,7";"8,2";"18";"6,9";"65";"0";"3";"0";"33";"0";"1015";"0";""
Lavarone;10/5/2013;"11,4";"8,9";"12,6";"9,6";"89";"0";"2";"0";"32";"0";"1011";"16,7";"pioggia "
Lavarone;11/5/2013;"9,6";"8,2";"11";"5,8";"77";"0";"4";"0";"34";"0";"1011";"9,8";"pioggia "
Lavarone;12/5/2013;"9,2";"5,6";"13,4";"2,9";"65";"0";"3";"0";"36";"0";"1012";"3,8";"pioggia "
Lavarone;13/5/2013;"10";"4";"14,1";"1,3";"56";"0";"3";"0";"34";"0";"1015";"0";""
Lavarone;14/5/2013;"11,5";"8,3";"14,2";"5,7";"68";"0";"4";"0";"42";"0";"1012";"0";""
Lavarone;15/5/2013;"11,1";"7,9";"14,6";"5,4";"69";"0";"3";"0";"41";"0";"1008";"1,3";"pioggia "
Lavarone;16/5/2013;"8,4";"7,4";"9,2";"7,7";"94";"0";"3";"0";"59";"0";"1002";"56,1";"pioggia "
Lavarone;17/5/2013;"8,6";"6,7";"9,6";"7,5";"92";"0";"2";"0";"48";"0";"1003";"27,2";"pioggia "
Lavarone;18/5/2013;"9,7";"5,4";"13,3";"4,1";"69";"0";"3";"0";"48";"0";"1013";"1,2";"pioggia "
Lavarone;19/5/2013;"9,6";"8,2";"11,4";"5,3";"75";"0";"4";"0";"49";"0";"1011";"19,6";"pioggia "
Lavarone;20/5/2013;"9,2";"6,8";"11,5";"4,2";"71";"0";"4";"0";"47";"0";"1014";"1";"pioggia "
Lavarone;21/5/2013;"9,3";"6,2";"12,1";"3";"65";"0";"4";"0";"45";"0";"1012";"0";""
Lavarone;22/5/2013;"10,5";"6,6";"14,1";"3,6";"63";"0";"2";"0";"38";"0";"1006";"2,2";"pioggia "
Lavarone;23/5/2013;"9,1";"3,7";"13,2";"3,7";"70";"0";"4";"0";"39";"0";"1001";"18,5";"pioggia neve "
Lavarone;24/5/2013;"3,1";"1,5";"4,8";"2,1";"92";"0";"6";"0";"57";"0";"1005";"27,8";"pioggia neve "
Lavarone;25/5/2013;"3,7";"1,1";"5,9";"1,2";"84";"0";"3";"0";"35";"0";"1007";"3,9";"pioggia neve "
Lavarone;26/5/2013;"8";"1,7";"12,7";"-0,5";"56";"0";"4";"0";"38";"0";"1008";"0";""
Lavarone;27/5/2013;"11";"6,3";"14,7";"3";"58";"0";"3";"0";"44";"0";"1009";"0";""
Lavarone;28/5/2013;"10,1";"7,3";"13,3";"5,4";"73";"0";"4";"0";"45";"0";"1006";"1,7";"pioggia "
Lavarone;29/5/2013;"7,6";"3,6";"9,6";"6,2";"90";"0";"3";"0";"43";"0";"1002";"20,6";"pioggia "
Lavarone;30/5/2013;"5,8";"2,6";"8,2";"3,9";"87";"0";"2";"0";"28";"0";"1003";"4,7";"pioggia "
Lavarone;31/5/2013;"7";"4,7";"8,4";"5,1";"88";"0";"2";"0";"33";"0";"1000";"1,7";"pioggia "
