LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/1/2017;"2,5";"0,7";"6,6";"-10,3";"38";"0";"2";"0";"14";"0";"1023";"0";""
Lavarone;2/1/2017;"1,3";"-0,1";"3,9";"-9,2";"45";"0";"3";"0";"29";"0";"1019";"0";""
Lavarone;3/1/2017;"0,1";"-1,8";"2,1";"-11,3";"42";"0";"4";"0";"33";"0";"1021";"0";""
Lavarone;4/1/2017;"0,2";"-2";"3,6";"-10,4";"45";"0";"4";"0";"56";"0";"1012";"0";""
Lavarone;5/1/2017;"-3";"-5,8";"-1";"-17,9";"32";"0";"10";"0";"74";"0";"1018";"0";""
Lavarone;6/1/2017;"-6,7";"-8,2";"-4,6";"-22,7";"26";"0";"6";"0";"69";"0";"1030";"0";""
Lavarone;7/1/2017;"-6";"-8,3";"-2,7";"-21,7";"28";"0";"2";"0";"37";"0";"1030";"0";""
Lavarone;8/1/2017;"-1,8";"-5,2";"2,2";"-11,8";"46";"0";"4";"0";"48";"0";"1023";"0";""
Lavarone;9/1/2017;"-1";"-3,1";"3";"-12,4";"42";"0";"3";"0";"37";"0";"1021";"0";""
Lavarone;10/1/2017;"-3";"-4,8";"-0,9";"-9,4";"61";"0";"4";"0";"30";"0";"1015";"0";"neve "
Lavarone;11/1/2017;"-4,2";"-5,5";"-2,1";"-10,4";"62";"0";"4";"0";"26";"0";"1018";"0";""
Lavarone;12/1/2017;"-2,1";"-4,9";"1,1";"-7,8";"65";"0";"4";"0";"39";"0";"1015";"1,3";"pioggia neve "
Lavarone;13/1/2017;"-0,9";"-2,9";"0,3";"-6,9";"67";"0";"7";"0";"81";"0";"1001";"8,2";"pioggia neve "
Lavarone;14/1/2017;"-1,1";"-2,6";"1,2";"-13,7";"37";"0";"5";"0";"50";"0";"1009";"0";""
Lavarone;15/1/2017;"-1,8";"-4";"0,8";"-15,3";"35";"0";"4";"0";"34";"0";"1017";"0";""
Lavarone;16/1/2017;"-3,8";"-5,2";"-1";"-16,7";"35";"0";"6";"0";"44";"0";"1018";"0";""
Lavarone;17/1/2017;"-3,5";"-5,1";"-0,8";"-15,6";"38";"0";"7";"0";"47";"0";"1021";"0";""
Lavarone;18/1/2017;"-0,8";"-3,5";"3,1";"-12,2";"42";"0";"3";"0";"33";"0";"1025";"0";""
Lavarone;19/1/2017;"-0";"-2,2";"3,5";"-8,5";"53";"0";"2";"0";"22";"0";"1029";"0";""
Lavarone;20/1/2017;"-0,7";"-2,8";"3,4";"-8,3";"57";"0";"2";"0";"16";"0";"1031";"0";""
Lavarone;21/1/2017;"0,1";"-2,2";"4,6";"-8,2";"54";"0";"1";"0";"15";"0";"1029";"0";""
Lavarone;22/1/2017;"0,2";"-2,5";"5,1";"-11,1";"43";"0";"2";"0";"18";"0";"1027";"0";""
Lavarone;23/1/2017;"0,7";"-1,5";"4,9";"-11,4";"40";"0";"2";"0";"19";"0";"1023";"0";""
Lavarone;24/1/2017;"0,4";"-2,3";"5,1";"-11,8";"42";"0";"2";"0";"18";"0";"1019";"0";""
Lavarone;25/1/2017;"0,3";"-2,6";"5,9";"-9,9";"48";"0";"2";"0";"18";"0";"1022";"0";""
Lavarone;26/1/2017;"-1";"-3,1";"3,6";"-9,1";"54";"0";"3";"0";"29";"0";"1027";"0";""
Lavarone;27/1/2017;"0,6";"-2,8";"4,8";"-7,4";"55";"0";"2";"0";"23";"0";"1027";"0";""
Lavarone;28/1/2017;"1,8";"-1";"5,6";"-4,4";"63";"0";"3";"0";"22";"0";"1024";"0";""
Lavarone;29/1/2017;"2";"-1,1";"6,7";"-6";"57";"0";"3";"0";"24";"0";"1023";"0";""
Lavarone;30/1/2017;"0,5";"-1,9";"4,3";"-3,3";"76";"0";"2";"0";"29";"0";"1021";"0";"neve "
Lavarone;31/1/2017;"1";"-0,3";"2,3";"0,2";"94";"0";"1";"0";"30";"0";"1019";"3,2";"pioggia neve "
