LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/9/2019;"17,7";"14,5";"22,7";"13,1";"75";"0";"2";"0";"21";"0";"1014";"4,3";"pioggia "
Lavarone;2/9/2019;"15,1";"13,7";"16,4";"13,4";"89";"0";"3";"0";"25";"0";"1016";"3,4";"pioggia "
Lavarone;3/9/2019;"15,5";"12";"20,4";"8,3";"65";"0";"4";"0";"26";"0";"1021";"0";""
Lavarone;4/9/2019;"15,3";"11,5";"20,3";"11,4";"78";"0";"2";"0";"23";"0";"1018";"0";""
Lavarone;5/9/2019;"15,1";"11,5";"18,9";"10,7";"76";"0";"3";"0";"40";"0";"1014";"2,1";"pioggia "
Lavarone;6/9/2019;"10,7";"9,5";"11,5";"9,4";"91";"0";"3";"0";"43";"0";"1017";"25";"pioggia "
Lavarone;7/9/2019;"11,3";"8,6";"15,2";"8,4";"84";"0";"3";"0";"33";"0";"1015";"0";""
Lavarone;8/9/2019;"7,8";"6,3";"9,1";"7";"94";"0";"4";"0";"42";"0";"1013";"16,4";"pioggia "
Lavarone;9/9/2019;"10,4";"6,6";"15,1";"5,3";"73";"0";"5";"0";"34";"0";"1013";"0";""
Lavarone;10/9/2019;"11,8";"8,7";"16,2";"7,5";"76";"0";"4";"0";"32";"0";"1017";"0";""
Lavarone;11/9/2019;"13,4";"9,6";"18,4";"7,6";"69";"0";"2";"0";"21";"0";"1022";"0";""
Lavarone;12/9/2019;"15,1";"10,6";"20,7";"9,5";"71";"0";"2";"0";"21";"0";"1029";"0";""
Lavarone;13/9/2019;"16,3";"12";"22";"11,4";"73";"0";"2";"0";"25";"0";"1030";"0";""
Lavarone;14/9/2019;"16,5";"13";"20,8";"12,6";"78";"0";"3";"0";"29";"0";"1028";"0";""
Lavarone;15/9/2019;"16,9";"13,7";"21,4";"13,4";"80";"0";"3";"0";"24";"0";"1025";"0";""
Lavarone;16/9/2019;"17,5";"14,8";"22,4";"14,4";"83";"0";"2";"0";"23";"0";"1019";"0";""
Lavarone;17/9/2019;"17,7";"15";"23";"14,4";"82";"0";"2";"0";"26";"0";"1015";"0,6";"pioggia "
Lavarone;18/9/2019;"15,1";"12,1";"18,2";"13,6";"90";"0";"3";"0";"32";"0";"1016";"16,3";"pioggia "
Lavarone;19/9/2019;"12,1";"9,1";"15";"8,7";"80";"0";"4";"0";"33";"0";"1020";"1";"pioggia "
Lavarone;20/9/2019;"9,5";"6,5";"13,8";"5,1";"74";"0";"3";"0";"28";"0";"1025";"0";""
Lavarone;21/9/2019;"10,4";"6";"16";"5,8";"74";"0";"3";"0";"29";"0";"1023";"0";""
Lavarone;22/9/2019;"10,8";"9";"12,9";"7,2";"78";"0";"2";"0";"24";"0";"1017";"1";"pioggia "
Lavarone;23/9/2019;"11,1";"10,1";"12";"8,5";"84";"0";"4";"0";"50";"0";"1013";"11,2";"pioggia "
Lavarone;24/9/2019;"12,1";"9,4";"15,6";"6,5";"69";"0";"3";"0";"32";"0";"1013";"0";""
Lavarone;25/9/2019;"11,5";"9,1";"15,2";"8,1";"80";"0";"2";"0";"30";"0";"1010";"2,9";"pioggia "
Lavarone;26/9/2019;"11,4";"7,6";"16,2";"8,1";"80";"0";"2";"0";"24";"0";"1015";"0";""
Lavarone;27/9/2019;"12,8";"10,6";"15,6";"10,8";"88";"0";"3";"0";"30";"0";"1017";"1,6";"pioggia "
Lavarone;28/9/2019;"13,8";"12";"17,6";"11,4";"86";"0";"4";"0";"30";"0";"1016";"2";"pioggia "
Lavarone;29/9/2019;"13,2";"11,3";"16,7";"10,9";"86";"0";"3";"0";"33";"0";"1014";"0,7";"pioggia "
Lavarone;30/9/2019;"14,3";"11";"19,4";"10,6";"79";"0";"3";"0";"24";"0";"1011";"0";""
