LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/2/2020;"4,2";"2,1";"7,2";"1,2";"80";"0";"2";"0";"32";"0";"1017";"0";""
Lavarone;2/2/2020;"5,3";"2,8";"8,8";"-1";"64";"0";"3";"0";"32";"0";"1017";"0";""
Lavarone;3/2/2020;"6,4";"3,1";"11,3";"-0,4";"62";"0";"4";"0";"30";"0";"1014";"0";""
Lavarone;4/2/2020;"2,5";"-1,3";"5,7";"-6,3";"56";"0";"9";"0";"80";"0";"1008";"2,3";"pioggia neve "
Lavarone;5/2/2020;"0,1";"-1,6";"3";"-12,4";"39";"0";"10";"0";"95";"0";"1021";"0";""
Lavarone;6/2/2020;"0,6";"-2";"4,1";"-13,6";"34";"0";"4";"0";"47";"0";"1029";"0";""
Lavarone;7/2/2020;"3";"0,1";"9";"-9,8";"40";"0";"3";"0";"25";"0";"1025";"0";""
Lavarone;8/2/2020;"1,2";"-1,7";"6,6";"-8,5";"50";"0";"2";"0";"21";"0";"1027";"0";""
Lavarone;9/2/2020;"0,6";"-2,2";"4,8";"-4,6";"69";"0";"3";"0";"39";"0";"1027";"0";""
Lavarone;10/2/2020;"2,5";"0,7";"6,2";"0,9";"89";"0";"5";"0";"53";"0";"1013";"0";""
Lavarone;11/2/2020;"4,6";"1";"9";"-5,1";"53";"0";"3";"0";"47";"0";"1007";"0";""
Lavarone;12/2/2020;"2,5";"-2";"7,3";"-11";"37";"0";"3";"0";"33";"0";"1017";"0";""
Lavarone;13/2/2020;"0,9";"-2,4";"5";"-7,5";"56";"0";"3";"0";"34";"0";"1018";"0";"neve "
Lavarone;14/2/2020;"4";"0,2";"8,5";"-4,5";"55";"0";"5";"0";"47";"0";"1019";"0";"neve "
Lavarone;15/2/2020;"4";"0,8";"8,7";"-4,3";"55";"0";"2";"0";"18";"0";"1027";"0";""
Lavarone;16/2/2020;"3,5";"1";"7,4";"-0,6";"76";"0";"2";"0";"23";"0";"1027";"0";""
Lavarone;17/2/2020;"4,7";"2,1";"7,7";"2,2";"84";"0";"2";"0";"34";"0";"1023";"0,6";"pioggia "
Lavarone;18/2/2020;"4,9";"2,1";"8,5";"1,6";"81";"0";"3";"0";"24";"0";"1023";"1,4";"pioggia "
Lavarone;19/2/2020;"2,7";"0,2";"5,4";"-3,3";"67";"0";"4";"0";"50";"0";"1021";"1,5";"pioggia neve "
Lavarone;20/2/2020;"1";"-1,6";"5,7";"-8,1";"53";"0";"2";"0";"34";"0";"1025";"0";""
Lavarone;21/2/2020;"3,7";"-1";"10,4";"-4,6";"56";"0";"4";"0";"47";"0";"1024";"0";""
Lavarone;22/2/2020;"4";"0,1";"9,5";"-3,3";"60";"0";"2";"0";"20";"0";"1030";"0";""
Lavarone;23/2/2020;"7,6";"2,7";"13,3";"-1,2";"54";"0";"4";"0";"34";"0";"1023";"0";""
Lavarone;24/2/2020;"8,6";"3,2";"14,3";"2";"65";"0";"5";"0";"34";"0";"1017";"0";""
Lavarone;25/2/2020;"3,6";"1,9";"6";"1,4";"86";"0";"3";"0";"39";"0";"1008";"0";""
Lavarone;26/2/2020;"1,8";"-0,2";"4,1";"-6,3";"61";"0";"5";"0";"55";"0";"1000";"1,3";"pioggia neve "
Lavarone;27/2/2020;"0,4";"-2";"3,3";"-13,8";"34";"0";"4";"0";"42";"0";"1007";"0";""
Lavarone;28/2/2020;"1,7";"-1,4";"6,3";"-11,6";"37";"0";"7";"0";"63";"0";"1015";"0";""
Lavarone;29/2/2020;"1,5";"-1,2";"5,2";"-7,1";"54";"0";"4";"0";"41";"0";"1015";"2,2";"pioggia neve "
