LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/7/2021;"16";"11,3";"20,8";"7,3";"58";"0";"4";"0";"35";"0";"1013";"0";""
Lavarone;2/7/2021;"16,4";"12,1";"20,9";"10,2";"69";"0";"3";"0";"29";"0";"1015";"1,2";"pioggia "
Lavarone;3/7/2021;"16,5";"12,5";"20,6";"12,6";"78";"0";"3";"0";"32";"0";"1015";"7,7";"pioggia "
Lavarone;4/7/2021;"14,7";"11,9";"17,8";"13,2";"90";"0";"3";"0";"37";"0";"1011";"11,4";"pioggia "
Lavarone;5/7/2021;"16,4";"11,7";"21,5";"10,7";"70";"0";"4";"0";"35";"0";"1013";"0";""
Lavarone;6/7/2021;"18,8";"12,5";"23,5";"13,1";"70";"0";"4";"0";"47";"0";"1014";"0,8";"pioggia "
Lavarone;7/7/2021;"19,2";"14,9";"23,8";"14,6";"76";"0";"5";"0";"51";"0";"1016";"6,3";"pioggia "
Lavarone;8/7/2021;"16,7";"13,4";"20,5";"14";"85";"0";"4";"0";"73";"0";"1017";"19,7";"pioggia "
Lavarone;9/7/2021;"17,4";"12,1";"22,5";"9,9";"64";"0";"4";"0";"39";"0";"1017";"0,7";"pioggia "
Lavarone;10/7/2021;"17,3";"13";"21,5";"11,3";"68";"0";"4";"0";"34";"0";"1017";"0,7";"pioggia "
Lavarone;11/7/2021;"17,1";"13";"21,4";"10,7";"68";"0";"4";"0";"33";"0";"1014";"1,7";"pioggia "
Lavarone;12/7/2021;"18,5";"12,9";"22,9";"13,4";"73";"0";"5";"0";"43";"0";"1014";"1,2";"pioggia "
Lavarone;13/7/2021;"16,1";"11,8";"19,2";"13,1";"82";"0";"6";"0";"58";"0";"1009";"28,2";"pioggia "
Lavarone;14/7/2021;"13,1";"10,3";"16";"8,9";"77";"0";"3";"0";"30";"0";"1011";"2,3";"pioggia "
Lavarone;15/7/2021;"13,7";"10,9";"17,2";"10,6";"81";"0";"2";"0";"29";"0";"1014";"1,7";"pioggia "
Lavarone;16/7/2021;"15,6";"11,8";"18,3";"11,3";"76";"0";"2";"0";"34";"0";"1015";"2,2";"pioggia "
Lavarone;17/7/2021;"18,4";"15,4";"20,8";"10,8";"61";"0";"6";"0";"49";"0";"1014";"0";""
Lavarone;18/7/2021;"19";"17,3";"21,2";"13";"68";"0";"4";"0";"38";"0";"1013";"6,2";"pioggia "
Lavarone;19/7/2021;"19,2";"14,8";"23,5";"10,6";"58";"0";"4";"0";"36";"0";"1014";"0";""
Lavarone;20/7/2021;"18,6";"14,4";"22,8";"12,5";"68";"0";"2";"0";"26";"0";"1016";"1,8";"pioggia "
Lavarone;21/7/2021;"18";"14,7";"21,7";"14,4";"80";"0";"3";"0";"30";"0";"1019";"4,7";"pioggia "
Lavarone;22/7/2021;"16,9";"13,9";"20,8";"14,4";"85";"0";"2";"0";"32";"0";"1020";"5,3";"pioggia "
Lavarone;23/7/2021;"18,1";"13,6";"22,2";"14,4";"80";"0";"3";"0";"31";"0";"1016";"1,9";"pioggia "
Lavarone;24/7/2021;"18,6";"16";"22,1";"15,7";"83";"0";"4";"0";"39";"0";"1014";"2,6";"pioggia "
Lavarone;25/7/2021;"18";"15,2";"21,3";"14,8";"82";"0";"4";"0";"44";"0";"1012";"5,4";"pioggia "
Lavarone;26/7/2021;"16,8";"13,7";"20,9";"13,3";"81";"0";"3";"0";"45";"0";"1014";"6,5";"pioggia "
Lavarone;27/7/2021;"16,4";"14,4";"19";"14,3";"87";"0";"4";"0";"48";"0";"1017";"14,7";"pioggia "
Lavarone;28/7/2021;"17,3";"13,4";"21,8";"13,7";"80";"0";"3";"0";"48";"0";"1015";"3,1";"pioggia "
Lavarone;29/7/2021;"18,5";"13,8";"23,7";"13,1";"72";"0";"2";"0";"31";"0";"1015";"0";""
Lavarone;30/7/2021;"18,7";"13,9";"23,6";"14,1";"75";"0";"4";"0";"37";"0";"1012";"0,9";"pioggia "
Lavarone;31/7/2021;"17,2";"13,2";"21,8";"13,4";"79";"0";"3";"0";"40";"0";"1011";"13,5";"pioggia "
