LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/12/2023;"4,1";"1,2";"6,8";"3,3";"94";"0";"7";"0";"71";"0";"997";"29,1";"pioggia "
Lavarone;2/12/2023;"3,4";"-1,3";"6,9";"-1,9";"71";"0";"9";"0";"65";"0";"997";"19";"pioggia neve "
Lavarone;3/12/2023;"-3";"-6,7";"-0,3";"-13,9";"43";"0";"5";"0";"39";"0";"1021";"0";""
Lavarone;4/12/2023;"-3,3";"-6";"-1";"-8,4";"68";"0";"2";"0";"21";"0";"1021";"1,8";"pioggia neve "
Lavarone;5/12/2023;"-1,3";"-3,5";"1,2";"-5,3";"74";"0";"3";"0";"15";"0";"1013";"0";"neve "
Lavarone;6/12/2023;"0,9";"-1,1";"3,8";"-6,5";"58";"0";"2";"0";"18";"0";"1014";"0";""
Lavarone;7/12/2023;"0,4";"-2,2";"3,6";"-11";"42";"0";"2";"0";"20";"0";"1020";"0";""
Lavarone;8/12/2023;"-1,2";"-2,3";"-0";"-7,6";"63";"0";"2";"0";"16";"0";"1017";"1,5";"pioggia neve "
Lavarone;9/12/2023;"0";"-2,1";"3,4";"-4,2";"73";"0";"2";"0";"23";"0";"1016";"0,9";"pioggia neve "
Lavarone;10/12/2023;"1,7";"0,2";"5,3";"-4,7";"64";"0";"4";"0";"45";"0";"1015";"0";"neve "
Lavarone;11/12/2023;"1,5";"0,1";"4,4";"-4,6";"64";"0";"2";"0";"25";"0";"1013";"0";""
Lavarone;12/12/2023;"2,6";"0,4";"5,9";"-1,2";"76";"0";"3";"0";"24";"0";"1011";"0";""
Lavarone;13/12/2023;"1,2";"0,2";"2,2";"0,7";"96";"0";"2";"0";"24";"0";"1003";"10,4";"pioggia neve "
Lavarone;14/12/2023;"1,8";"-0,5";"4,3";"-2,6";"73";"0";"3";"0";"26";"0";"1013";"0";""
Lavarone;15/12/2023;"3,2";"1,8";"5,7";"-6,3";"50";"0";"4";"0";"38";"0";"1030";"0";""
Lavarone;16/12/2023;"1,8";"0,1";"5,1";"-7,7";"49";"0";"2";"0";"31";"0";"1038";"0";""
Lavarone;17/12/2023;"3,5";"0,8";"8,6";"-8,1";"42";"0";"4";"0";"19";"0";"1038";"0";""
Lavarone;18/12/2023;"4,5";"2,6";"8,6";"-5,6";"48";"0";"4";"0";"17";"0";"1034";"0";""
Lavarone;19/12/2023;"4,1";"2";"8,6";"-7,1";"44";"0";"4";"0";"16";"0";"1025";"0";""
Lavarone;20/12/2023;"3,5";"1,7";"6,4";"-7,6";"44";"0";"3";"0";"18";"0";"1014";"0";""
Lavarone;21/12/2023;"2,8";"0,4";"5,4";"-6,3";"51";"0";"2";"0";"30";"0";"1008";"0";""
Lavarone;22/12/2023;"3,8";"2,8";"6";"-2,4";"64";"0";"5";"0";"56";"0";"1002";"0,7";"pioggia "
Lavarone;23/12/2023;"5,7";"3,1";"9";"-2,6";"55";"0";"3";"0";"41";"0";"1008";"0";""
Lavarone;24/12/2023;"7,4";"4,5";"10,6";"-7,1";"35";"0";"4";"0";"29";"0";"1013";"0";""
Lavarone;25/12/2023;"5";"1,2";"9";"-1,8";"62";"0";"2";"0";"19";"0";"1016";"0";""
Lavarone;26/12/2023;"1,8";"0,2";"4,7";"-1,2";"80";"0";"1";"0";"17";"0";"1019";"0";""
Lavarone;27/12/2023;"2,4";"0,2";"6,4";"-3,1";"67";"0";"2";"0";"15";"0";"1025";"0";""
Lavarone;28/12/2023;"1,8";"-0,2";"4,4";"-0,2";"87";"0";"2";"0";"22";"0";"1026";"0";""
Lavarone;29/12/2023;"2,3";"0,1";"4,2";"0,2";"86";"0";"2";"0";"19";"0";"1022";"0";""
Lavarone;30/12/2023;"1,7";"-0,4";"4,7";"-1,5";"79";"0";"2";"0";"16";"0";"1021";"0";""
Lavarone;31/12/2023;"2,1";"1";"3,5";"1,5";"96";"0";"3";"0";"35";"0";"1015";"16";"pioggia neve "
