LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/4/2025;"4,7";"1,9";"7,4";"-3,1";"57";"70502";"4";"0";"8";"1016";"0";"1,3";"pioggia "
Lavarone;2/4/2025;"6,4";"2";"10,7";"1,7";"72";"74357";"2";"0";"6";"1019";"0";"0,6";"pioggia "
Lavarone;3/4/2025;"7,5";"1,5";"14,6";"4";"78";"73026";"1";"0";"3";"1021";"0";"0";""
Lavarone;4/4/2025;"6,9";"2";"14,7";"3,1";"77";"57738";"2";"0";"6";"1018";"0";"0,1";""
Lavarone;5/4/2025;"10,1";"2,8";"17,2";"5,2";"71";"66051";"2";"0";"8";"1009";"0";"0";""
Lavarone;6/4/2025;"7,1";"-1,2";"13,4";"2,5";"72";"73765";"2";"0";"3";"1014";"0";"0";""
Lavarone;7/4/2025;"1,3";"-1,9";"5,6";"-1,9";"79";"41251";"2";"0";"5";"1022";"0";"0";""
Lavarone;8/4/2025;"2,7";"-3,3";"9,2";"-0,5";"79";"59778";"2";"0";"5";"1024";"0";"0";"pioggia "
Lavarone;9/4/2025;"4,6";"-0,9";"10,3";"1,2";"78";"58100";"2";"0";"6";"1020";"0";"0,1";"pioggia "
Lavarone;10/4/2025;"7,2";"1,4";"14,5";"2,5";"71";"59817";"1";"0";"3";"1021";"0";"0,1";"pioggia "
Lavarone;11/4/2025;"10,7";"5,6";"18";"3,3";"60";"52101";"2";"0";"4";"1016";"0";"0";""
Lavarone;12/4/2025;"10,4";"4,7";"15,5";"6,3";"75";"72323";"2";"0";"4";"1015";"0";"1,4";"pioggia "
Lavarone;13/4/2025;"7";"5,8";"8";"6,4";"96";"2910";"1";"0";"3";"1014";"0";"4";"pioggia "
Lavarone;14/4/2025;"7,1";"4,8";"9,9";"6,3";"94";"9130";"1";"0";"5";"1010";"0";"13,2";"pioggia "
Lavarone;15/4/2025;"8,2";"6,7";"10,7";"7,8";"97";"1371";"2";"0";"5";"1008";"0";"16,9";"pioggia "
Lavarone;16/4/2025;"8,2";"5,2";"9,7";"7,6";"95";"5239";"4";"0";"12";"1010";"0";"16,4";"pioggia "
Lavarone;17/4/2025;"6,9";"4,3";"9,3";"6,3";"96";"8504";"4";"0";"15";"1007";"0";"54,5";"pioggia "
Lavarone;18/4/2025;"7,1";"3,7";"11,8";"5,3";"88";"25898";"2";"0";"5";"1012";"0";"2,2";"pioggia "
Lavarone;19/4/2025;"6,9";"5,2";"9,3";"6,1";"94";"21178";"2";"0";"3";"1013";"0";"1";"pioggia "
Lavarone;20/4/2025;"8,3";"4,2";"12,6";"6,9";"90";"29721";"2";"0";"5";"1012";"0";"8,2";"pioggia "
Lavarone;21/4/2025;"8,5";"5,7";"13,6";"5,7";"82";"24183";"1";"0";"6";"1013";"0";"1,4";"pioggia "
Lavarone;22/4/2025;"10,4";"4,5";"15,8";"5,8";"72";"58602";"2";"0";"5";"1015";"0";"4,6";"pioggia temporale "
Lavarone;23/4/2025;"9,7";"7,9";"13,4";"7,8";"87";"33703";"2";"0";"4";"1012";"0";"13,2";"pioggia temporale "
Lavarone;24/4/2025;"8,4";"6,2";"11,5";"6,6";"88";"10542";"2";"0";"5";"1011";"0";"28,1";"pioggia temporale "
Lavarone;25/4/2025;"8,4";"5,1";"12,1";"4,4";"75";"61114";"2";"0";"5";"1013";"0";"1,7";"pioggia "
Lavarone;26/4/2025;"9,6";"6,1";"13,2";"6";"77";"40117";"1";"0";"5";"1016";"0";"1,9";"pioggia nebbia "
Lavarone;27/4/2025;"8,9";"6,3";"12,9";"6,9";"87";"22204";"1";"0";"5";"1022";"0";"5,5";"pioggia "
Lavarone;28/4/2025;"10,1";"4,6";"15,7";"6,2";"76";"47013";"1";"0";"3";"1024";"0";"3,6";"pioggia temporale "
Lavarone;29/4/2025;"11,5";"5,8";"17,9";"7,4";"75";"73615";"1";"0";"3";"1023";"0";"11,2";"pioggia temporale "
Lavarone;30/4/2025;"12,8";"6,9";"19,4";"8,5";"75";"69548";"1";"0";"3";"1021";"0";"4,7";"pioggia "
