LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/9/2000;"14,3";"10";"19,9";"11";"81";"0";"4";"0";"39";"0";"1007";"0";""
Mezzana;2/9/2000;"13";"9,3";"18,2";"11,5";"90";"0";"3";"0";"43";"0";"1006";"1,5";"pioggia "
Mezzana;3/9/2000;"11,9";"7,8";"16,1";"7,9";"77";"0";"2";"0";"27";"0";"1009";"4";"pioggia "
Mezzana;4/9/2000;"11,1";"7,4";"15";"7,1";"77";"0";"3";"0";"31";"0";"1013";"1,8";"pioggia "
Mezzana;5/9/2000;"11,3";"6";"16,3";"4,7";"64";"0";"3";"0";"28";"0";"1018";"0";""
Mezzana;6/9/2000;"12";"8,3";"16";"7,2";"73";"0";"3";"0";"35";"0";"1016";"1,4";"pioggia "
Mezzana;7/9/2000;"12,7";"8,7";"17,5";"6,1";"67";"0";"2";"0";"34";"0";"1010";"5,3";"pioggia "
Mezzana;8/9/2000;"13,4";"7,4";"19,6";"6,3";"63";"0";"3";"0";"33";"0";"1020";"0";""
Mezzana;9/9/2000;"15,5";"9,7";"22,3";"10,4";"73";"0";"2";"0";"23";"0";"1024";"0";""
Mezzana;10/9/2000;"16,8";"11,4";"23,6";"12,5";"77";"0";"2";"0";"28";"0";"1021";"0";""
Mezzana;11/9/2000;"16,5";"11,7";"23,5";"12,9";"81";"0";"2";"0";"29";"0";"1016";"0";""
Mezzana;12/9/2000;"15,4";"10,6";"22,2";"12,7";"84";"0";"2";"0";"31";"0";"1015";"0";""
Mezzana;13/9/2000;"14,4";"10,3";"20,7";"12,6";"89";"0";"2";"0";"39";"0";"1014";"0";""
Mezzana;14/9/2000;"14,5";"9,4";"21,2";"11,9";"86";"0";"2";"0";"29";"0";"1016";"0";""
Mezzana;15/9/2000;"15,5";"11,4";"21,4";"12,8";"85";"0";"2";"0";"30";"0";"1016";"0";""
Mezzana;16/9/2000;"14,3";"11,6";"17,7";"12,9";"91";"0";"3";"0";"54";"0";"1012";"6,2";"pioggia "
Mezzana;17/9/2000;"13,2";"8,9";"18,3";"8,8";"75";"0";"2";"0";"30";"0";"1008";"1,2";"pioggia "
Mezzana;18/9/2000;"12,7";"9,9";"16";"10,8";"88";"0";"2";"0";"32";"0";"1009";"2,8";"pioggia "
Mezzana;19/9/2000;"12,5";"9,9";"15,2";"11";"90";"0";"3";"0";"44";"0";"1009";"3";"pioggia "
Mezzana;20/9/2000;"12,4";"10,2";"14,6";"12,6";"97";"0";"2";"0";"34";"0";"1008";"34,2";"pioggia "
Mezzana;21/9/2000;"10,4";"8,6";"12,1";"8,8";"86";"0";"3";"0";"48";"0";"1009";"24,5";"pioggia "
Mezzana;22/9/2000;"10,9";"7,8";"15";"5,8";"70";"0";"3";"0";"32";"0";"1019";"0";""
Mezzana;23/9/2000;"11,5";"7,1";"15,4";"8,3";"81";"0";"3";"0";"29";"0";"1021";"0";""
Mezzana;24/9/2000;"12,4";"10,2";"15,6";"11";"91";"0";"4";"0";"24";"0";"1021";"1,5";"pioggia "
Mezzana;25/9/2000;"12,8";"8,9";"17,6";"10,3";"85";"0";"2";"0";"24";"0";"1022";"0";""
Mezzana;26/9/2000;"13,4";"9,4";"18,8";"10,9";"84";"0";"2";"0";"28";"0";"1023";"0";""
Mezzana;27/9/2000;"13,9";"9,9";"19,4";"11,6";"85";"0";"3";"0";"30";"0";"1020";"0";""
Mezzana;28/9/2000;"13,6";"10,8";"17,8";"12";"88";"0";"3";"0";"35";"0";"1016";"0";""
Mezzana;29/9/2000;"12,1";"9,9";"15";"11,7";"94";"0";"1";"0";"40";"0";"1011";"9,3";"pioggia "
Mezzana;30/9/2000;"10,6";"9,2";"12,3";"11,6";"100";"0";"1";"0";"56";"0";"1008";"40,7";"pioggia "
