LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/12/2007;"-1,7";"-6";"2,3";"-3,3";"89";"0";"2";"0";"26";"0";"1015";"0";""
Mezzana;2/12/2007;"-0,8";"-3,7";"2,6";"-1,6";"92";"0";"3";"0";"59";"0";"1016";"0,6";"pioggia "
Mezzana;3/12/2007;"-0,5";"-4,3";"3,4";"-3,4";"81";"0";"2";"0";"48";"0";"1002";"2,6";"pioggia neve "
Mezzana;4/12/2007;"-3,5";"-5,5";"0,2";"-8,4";"69";"0";"3";"0";"44";"0";"1013";"0";""
Mezzana;5/12/2007;"-4";"-6,3";"-0,3";"-5";"88";"0";"2";"0";"23";"0";"1023";"0";""
Mezzana;6/12/2007;"-3";"-6,5";"0,9";"-5,5";"83";"0";"1";"0";"24";"0";"1020";"0";""
Mezzana;7/12/2007;"-0,3";"-2,3";"2";"-0,6";"95";"0";"2";"0";"31";"0";"1010";"1,3";"pioggia neve "
Mezzana;8/12/2007;"-0,7";"-3,7";"2,1";"-4,3";"76";"0";"3";"0";"44";"0";"1007";"2,4";"pioggia neve "
Mezzana;9/12/2007;"-2,1";"-3,7";"0,4";"-4,5";"82";"0";"2";"0";"36";"0";"1003";"0,8";"pioggia neve "
Mezzana;10/12/2007;"-2,4";"-4,7";"0,8";"-6,4";"74";"0";"1";"0";"15";"0";"1003";"0";""
Mezzana;11/12/2007;"-0,9";"-2,7";"1,9";"-6,6";"65";"0";"3";"0";"36";"0";"1013";"0";""
Mezzana;12/12/2007;"-0,7";"-2,9";"1,4";"-7,4";"60";"0";"6";"0";"48";"0";"1022";"0";""
Mezzana;13/12/2007;"-1,8";"-4";"1";"-7,2";"67";"0";"5";"0";"44";"0";"1028";"0";""
Mezzana;14/12/2007;"-3,9";"-6,1";"-0,5";"-11,2";"57";"0";"3";"0";"34";"0";"1026";"0";""
Mezzana;15/12/2007;"-5,7";"-8,2";"-2,4";"-16,9";"42";"0";"2";"0";"32";"0";"1027";"0";""
Mezzana;16/12/2007;"-5,5";"-7,9";"-2";"-14,1";"51";"0";"3";"0";"29";"0";"1028";"0";""
Mezzana;17/12/2007;"-6,3";"-8,5";"-2,4";"-10,2";"73";"0";"2";"0";"33";"0";"1030";"0";"neve "
Mezzana;18/12/2007;"-6,7";"-10,4";"-2,5";"-16,6";"46";"0";"2";"0";"26";"0";"1031";"0";""
Mezzana;19/12/2007;"-4,7";"-8,6";"0";"-14,4";"48";"0";"3";"0";"32";"0";"1034";"0";""
Mezzana;20/12/2007;"-4,4";"-7,9";"0";"-14";"47";"0";"3";"0";"21";"0";"1033";"0";""
Mezzana;21/12/2007;"-3,2";"-6,7";"1,5";"-10";"60";"0";"2";"0";"17";"0";"1030";"0";""
Mezzana;22/12/2007;"-3,9";"-7";"-0,1";"-7,7";"74";"0";"1";"0";"14";"0";"1030";"0";""
Mezzana;23/12/2007;"-2,9";"-5,8";"0,6";"-6,3";"78";"0";"1";"0";"14";"0";"1028";"0";""
Mezzana;24/12/2007;"-3,8";"-7,1";"0,2";"-5,6";"86";"0";"1";"0";"14";"0";"1026";"0";""
Mezzana;25/12/2007;"-4,4";"-7,5";"-1,1";"-9";"71";"0";"2";"0";"20";"0";"1025";"1,1";"pioggia neve "
Mezzana;26/12/2007;"-3,5";"-5,8";"-0,9";"-10,5";"59";"0";"1";"0";"18";"0";"1027";"0";"neve "
Mezzana;27/12/2007;"-4,6";"-6,7";"-1,1";"-12,5";"54";"0";"2";"0";"23";"0";"1032";"0";""
Mezzana;28/12/2007;"-5,8";"-7,9";"-1,7";"-13,8";"53";"0";"1";"0";"21";"0";"1032";"0";""
Mezzana;29/12/2007;"-6,6";"-9,3";"-2,4";"-13,1";"60";"0";"1";"0";"17";"0";"1027";"0";""
Mezzana;30/12/2007;"-5,4";"-7,9";"-2,4";"-8,7";"79";"0";"3";"0";"33";"0";"1022";"0";"neve "
Mezzana;31/12/2007;"-6,9";"-9,8";"-3,7";"-10,5";"75";"0";"2";"0";"32";"0";"1024";"0";""
