LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/4/2008;"6,2";"1,4";"12,2";"-0,2";"65";"0";"2";"0";"25";"0";"1017";"0";""
Mezzana;2/4/2008;"4,9";"0,9";"10,7";"-2,1";"61";"0";"5";"0";"56";"0";"1015";"0";""
Mezzana;3/4/2008;"4,1";"-0,7";"9,9";"-4,3";"56";"0";"5";"0";"49";"0";"1015";"0";""
Mezzana;4/4/2008;"3,6";"-1,3";"9";"-5,2";"53";"0";"5";"0";"47";"0";"1019";"0";""
Mezzana;5/4/2008;"2,7";"-1,9";"7,4";"-2,7";"68";"0";"1";"0";"23";"0";"1011";"0";""
Mezzana;6/4/2008;"3,7";"0,3";"8";"1,8";"88";"0";"5";"0";"56";"0";"1000";"6";"pioggia neve "
Mezzana;7/4/2008;"2,4";"-2,9";"7,9";"-3,8";"66";"0";"3";"0";"59";"0";"998";"11,2";"pioggia neve "
Mezzana;8/4/2008;"0,5";"-3,9";"4,5";"-3,3";"76";"0";"1";"0";"31";"0";"1005";"0,9";"pioggia neve "
Mezzana;9/4/2008;"3,8";"1,1";"6,7";"2,7";"92";"0";"3";"0";"47";"0";"1004";"7,4";"pioggia "
Mezzana;10/4/2008;"5,1";"2,8";"6,8";"5,1";"97";"0";"2";"0";"39";"0";"1002";"4,6";"pioggia "
Mezzana;11/4/2008;"5,8";"4,6";"7,7";"6,6";"99";"0";"3";"0";"59";"0";"1001";"31,7";"pioggia "
Mezzana;12/4/2008;"4,5";"2,7";"6,6";"2,7";"87";"0";"2";"0";"30";"0";"1006";"3,4";"pioggia "
Mezzana;13/4/2008;"3,5";"1,1";"6,6";"2";"89";"0";"2";"0";"29";"0";"1016";"4,2";"pioggia "
Mezzana;14/4/2008;"2,9";"0,1";"6,4";"1,9";"91";"0";"2";"0";"33";"0";"1015";"12,2";"pioggia neve "
Mezzana;15/4/2008;"2,9";"0,6";"5,1";"-1,3";"75";"0";"5";"0";"63";"0";"1012";"7,9";"pioggia neve "
Mezzana;16/4/2008;"2,8";"-2,3";"8,3";"-2,4";"70";"0";"4";"0";"45";"0";"1013";"0";""
Mezzana;17/4/2008;"3,8";"-0,6";"8,3";"1,2";"82";"0";"4";"0";"44";"0";"1007";"3";"pioggia "
Mezzana;18/4/2008;"4,3";"1,8";"7,7";"3,8";"94";"0";"3";"0";"44";"0";"1002";"16";"pioggia neve "
Mezzana;19/4/2008;"5,3";"1,8";"10,3";"2,7";"84";"0";"4";"0";"55";"0";"1001";"8,8";"pioggia neve "
Mezzana;20/4/2008;"5,1";"-1";"10,3";"1";"75";"0";"3";"0";"40";"0";"1006";"0,9";"pioggia "
Mezzana;21/4/2008;"4,9";"3,6";"6,4";"4,5";"95";"0";"2";"0";"33";"0";"1001";"19,6";"pioggia "
Mezzana;22/4/2008;"6,5";"3,1";"11,5";"3,4";"82";"0";"1";"0";"27";"0";"1001";"3,9";"pioggia "
Mezzana;23/4/2008;"8,2";"3,4";"14,1";"3,7";"75";"0";"1";"0";"24";"0";"1012";"4";"pioggia "
Mezzana;24/4/2008;"6,4";"2,8";"10,7";"3,4";"81";"0";"2";"0";"28";"0";"1022";"2,8";"pioggia "
Mezzana;25/4/2008;"7,4";"1,5";"13,6";"-0";"61";"0";"2";"0";"28";"0";"1023";"0,5";"pioggia "
Mezzana;26/4/2008;"8,2";"2";"14,6";"0,1";"59";"0";"3";"0";"29";"0";"1024";"0";""
Mezzana;27/4/2008;"7,3";"3,7";"11,2";"4,6";"83";"0";"3";"0";"24";"0";"1023";"0";""
Mezzana;28/4/2008;"7,9";"2,9";"11,2";"5,6";"86";"0";"4";"0";"35";"0";"1013";"0";""
Mezzana;29/4/2008;"7";"5,3";"9,3";"6,2";"93";"0";"3";"0";"25";"0";"1006";"10";"pioggia "
Mezzana;30/4/2008;"7,5";"4,6";"11,6";"5,2";"85";"0";"5";"0";"50";"0";"1008";"4,8";"pioggia "
