LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/6/2009;"11,6";"5,3";"17,1";"5,9";"70";"0";"3";"0";"29";"0";"1014";"0";""
Mezzana;2/6/2009;"13,5";"8,1";"18,8";"5,6";"59";"0";"3";"0";"44";"0";"1011";"0";""
Mezzana;3/6/2009;"14,8";"8,6";"21,3";"7";"61";"0";"3";"0";"27";"0";"1009";"2,1";"pioggia "
Mezzana;4/6/2009;"14,8";"9,1";"20,9";"8,3";"67";"0";"2";"0";"35";"0";"1008";"8,2";"pioggia "
Mezzana;5/6/2009;"14";"11,5";"17";"10,9";"82";"0";"4";"0";"50";"0";"1007";"10,9";"pioggia "
Mezzana;6/6/2009;"12,6";"10,3";"15,5";"11,3";"92";"0";"5";"0";"75";"0";"1003";"35,9";"pioggia "
Mezzana;7/6/2009;"12,8";"8,6";"17,1";"10";"84";"0";"4";"0";"47";"0";"1006";"2,9";"pioggia "
Mezzana;8/6/2009;"12,8";"8,7";"17,2";"10";"83";"0";"4";"0";"44";"0";"1012";"1,9";"pioggia "
Mezzana;9/6/2009;"14,3";"9,4";"20,2";"10,2";"78";"0";"5";"0";"54";"0";"1014";"1,4";"pioggia "
Mezzana;10/6/2009;"13,5";"8,9";"18";"11,2";"86";"0";"4";"0";"38";"0";"1016";"0,6";"pioggia "
Mezzana;11/6/2009;"14,6";"8,8";"20,8";"10,3";"76";"0";"3";"0";"46";"0";"1015";"2,2";"pioggia "
Mezzana;12/6/2009;"15,6";"8,3";"22,4";"6,3";"56";"0";"3";"0";"38";"0";"1016";"2";"pioggia "
Mezzana;13/6/2009;"17,8";"11,2";"24,9";"10,3";"64";"0";"3";"0";"37";"0";"1018";"0,7";"pioggia "
Mezzana;14/6/2009;"19,5";"12,3";"26,7";"13,1";"68";"0";"3";"0";"36";"0";"1021";"0";""
Mezzana;15/6/2009;"18,6";"15,4";"22,1";"15,8";"83";"0";"4";"0";"45";"0";"1019";"2,1";"pioggia "
Mezzana;16/6/2009;"18,3";"14,4";"23";"15,8";"85";"0";"3";"0";"44";"0";"1017";"3,4";"pioggia "
Mezzana;17/6/2009;"15,9";"13,1";"19,5";"14";"88";"0";"3";"0";"24";"0";"1022";"0,7";"pioggia "
Mezzana;18/6/2009;"18,5";"12,6";"25,2";"14,4";"78";"0";"3";"0";"32";"0";"1020";"0";""
Mezzana;19/6/2009;"17,5";"13,4";"21,9";"15,9";"90";"0";"3";"0";"41";"0";"1015";"15,5";"pioggia "
Mezzana;20/6/2009;"14,1";"10,2";"18,5";"8,9";"72";"0";"3";"0";"52";"0";"1014";"14,7";"pioggia "
Mezzana;21/6/2009;"12,3";"8,4";"16,4";"5,1";"62";"0";"3";"0";"37";"0";"1014";"0";""
Mezzana;22/6/2009;"11,9";"7,3";"16,5";"4,6";"61";"0";"5";"0";"50";"0";"1013";"0";""
Mezzana;23/6/2009;"11,8";"8,8";"15";"6,5";"70";"0";"4";"0";"51";"0";"1011";"1,6";"pioggia "
Mezzana;24/6/2009;"13,7";"9,4";"18";"9,6";"76";"0";"3";"0";"39";"0";"1009";"0";""
Mezzana;25/6/2009;"14,5";"10,7";"19,1";"12,2";"86";"0";"2";"0";"31";"0";"1009";"9,8";"pioggia "
Mezzana;26/6/2009;"14,6";"11,1";"18,4";"13,1";"90";"0";"1";"0";"23";"0";"1009";"4";"pioggia "
Mezzana;27/6/2009;"14,8";"12,1";"17,8";"13,2";"90";"0";"1";"0";"22";"0";"1010";"2,7";"pioggia "
Mezzana;28/6/2009;"16,5";"12,4";"20,9";"13";"81";"0";"2";"0";"21";"0";"1012";"0";""
Mezzana;29/6/2009;"17,4";"14";"21,9";"14,5";"83";"0";"2";"0";"24";"0";"1015";"1,6";"pioggia "
Mezzana;30/6/2009;"17,3";"14";"21,6";"14,6";"84";"0";"1";"0";"20";"0";"1018";"0";""
