LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/3/2010;"0,5";"-4,5";"5,2";"-5,4";"66";"0";"2";"0";"28";"0";"1009";"0";""
Mezzana;2/3/2010;"-0,1";"-3,1";"4,3";"-5";"70";"0";"2";"0";"33";"0";"1017";"2,6";"pioggia "
Mezzana;3/3/2010;"-1,6";"-5,8";"1,6";"-3,8";"82";"0";"2";"0";"27";"0";"1017";"5,3";"pioggia neve "
Mezzana;4/3/2010;"0,7";"-1,6";"3,9";"-1,5";"83";"0";"2";"0";"29";"0";"1007";"5,1";"pioggia neve "
Mezzana;5/3/2010;"-3,9";"-8,8";"-1,6";"-11,7";"55";"0";"5";"0";"42";"0";"1014";"0,9";"pioggia neve "
Mezzana;6/3/2010;"-5,8";"-10,2";"-0,5";"-14";"52";"0";"3";"0";"39";"0";"1016";"1,8";"pioggia neve "
Mezzana;7/3/2010;"-6,6";"-9,2";"-3";"-13,3";"59";"0";"4";"0";"36";"0";"1021";"0";"neve "
Mezzana;8/3/2010;"-7,5";"-12,8";"-0,7";"-20,1";"39";"0";"2";"0";"27";"0";"1016";"0";""
Mezzana;9/3/2010;"-7,3";"-11,8";"-3,5";"-14,9";"56";"0";"6";"0";"53";"0";"1013";"4,3";"pioggia neve "
Mezzana;10/3/2010;"-4,4";"-6,8";"-2,2";"-3,9";"96";"0";"3";"0";"45";"0";"1011";"18,6";"pioggia neve "
Mezzana;11/3/2010;"-1,9";"-5,7";"2,2";"-3,2";"87";"0";"3";"0";"28";"0";"1010";"1,8";"pioggia neve "
Mezzana;12/3/2010;"-1,6";"-3,9";"1,8";"-5,7";"75";"0";"2";"0";"22";"0";"1014";"0";"neve "
Mezzana;13/3/2010;"-1,6";"-6,1";"4,1";"-10,4";"53";"0";"1";"0";"19";"0";"1018";"0";""
Mezzana;14/3/2010;"-1,6";"-7,1";"4,6";"-10,9";"51";"0";"2";"0";"26";"0";"1018";"0";""
Mezzana;15/3/2010;"-2,2";"-6,4";"4,6";"-10,3";"54";"0";"4";"0";"35";"0";"1019";"0";""
Mezzana;16/3/2010;"-2,9";"-8,7";"4,2";"-10,2";"58";"0";"2";"0";"24";"0";"1021";"0";""
Mezzana;17/3/2010;"-2,2";"-9,3";"5,1";"-9,8";"57";"0";"2";"0";"36";"0";"1027";"0";""
Mezzana;18/3/2010;"1,6";"-5,3";"8,2";"-4,6";"65";"0";"3";"0";"36";"0";"1028";"0";""
Mezzana;19/3/2010;"3,4";"0,2";"7,3";"1,2";"86";"0";"4";"0";"33";"0";"1028";"0";""
Mezzana;20/3/2010;"4,3";"0,8";"7,7";"2,7";"89";"0";"4";"0";"39";"0";"1024";"0";""
Mezzana;21/3/2010;"5,7";"3,4";"7,7";"4,8";"93";"0";"3";"0";"37";"0";"1022";"0";""
Mezzana;22/3/2010;"6";"4,2";"8,1";"6,4";"98";"0";"2";"0";"23";"0";"1021";"9,5";"pioggia "
Mezzana;23/3/2010;"6";"3,6";"8,4";"6,1";"95";"0";"1";"0";"19";"0";"1019";"1,6";"pioggia "
Mezzana;24/3/2010;"6,1";"2,8";"10";"3,8";"85";"0";"3";"0";"23";"0";"1017";"0";""
Mezzana;25/3/2010;"7,1";"3,7";"11,4";"5,3";"87";"0";"4";"0";"47";"0";"1017";"1,8";"pioggia "
Mezzana;26/3/2010;"4,9";"2,5";"7,4";"5";"98";"0";"4";"0";"66";"0";"1014";"16,7";"pioggia "
Mezzana;27/3/2010;"3,6";"-0,5";"7,3";"-0,7";"74";"0";"3";"0";"36";"0";"1009";"2,1";"pioggia "
Mezzana;28/3/2010;"4,2";"-1,8";"10";"-2";"65";"0";"2";"0";"33";"0";"1011";"0";""
Mezzana;29/3/2010;"5,5";"0,4";"10,4";"2,6";"82";"0";"4";"0";"46";"0";"1012";"0";""
Mezzana;30/3/2010;"5";"2,6";"7,4";"5,2";"98";"0";"3";"0";"48";"0";"1005";"13,1";"pioggia "
Mezzana;31/3/2010;"2,6";"-0,8";"5";"1,1";"88";"0";"1";"0";"21";"0";"1005";"8,1";"pioggia neve "
