LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/8/2013;"20,4";"14,5";"27,4";"15,9";"77";"0";"2";"0";"29";"0";"1019";"0";""
Mezzana;2/8/2013;"22,1";"14,8";"30,5";"15,3";"68";"0";"3";"0";"33";"0";"1019";"0";""
Mezzana;3/8/2013;"23,1";"15,8";"31,9";"15";"63";"0";"3";"0";"31";"0";"1018";"0";""
Mezzana;4/8/2013;"23,1";"17";"31,2";"17,2";"71";"0";"3";"0";"36";"0";"1019";"0";""
Mezzana;5/8/2013;"22,2";"16,2";"29,3";"16,6";"71";"0";"4";"0";"36";"0";"1018";"0";""
Mezzana;6/8/2013;"21,6";"16,1";"28,8";"17";"76";"0";"3";"0";"40";"0";"1016";"0";""
Mezzana;7/8/2013;"20,2";"15,9";"26,7";"15,8";"76";"0";"3";"0";"53";"0";"1014";"1";"pioggia "
Mezzana;8/8/2013;"18,8";"15,4";"23,5";"16,2";"85";"0";"3";"0";"59";"0";"1016";"3,4";"pioggia "
Mezzana;9/8/2013;"17,8";"14,7";"22,4";"14,5";"82";"0";"5";"0";"49";"0";"1015";"1,7";"pioggia "
Mezzana;10/8/2013;"17,5";"12,5";"23,6";"10,2";"64";"0";"5";"0";"48";"0";"1016";"0";""
Mezzana;11/8/2013;"17,5";"13,7";"23,5";"14,5";"83";"0";"2";"0";"32";"0";"1017";"1,3";"pioggia "
Mezzana;12/8/2013;"17,7";"13";"24,1";"14,7";"83";"0";"3";"0";"41";"0";"1016";"0";""
Mezzana;13/8/2013;"17,3";"12,5";"22,6";"14,5";"84";"0";"2";"0";"39";"0";"1014";"2,7";"pioggia "
Mezzana;14/8/2013;"15,3";"13";"17,9";"13";"86";"0";"3";"0";"29";"0";"1018";"10,8";"pioggia "
Mezzana;15/8/2013;"15,7";"11,7";"20,4";"12,5";"82";"0";"3";"0";"26";"0";"1021";"0";""
Mezzana;16/8/2013;"16,8";"12,5";"21,7";"13,5";"82";"0";"2";"0";"31";"0";"1019";"0";""
Mezzana;17/8/2013;"17,7";"12,6";"23,9";"13,9";"80";"0";"2";"0";"31";"0";"1017";"0";""
Mezzana;18/8/2013;"18,7";"12,7";"26,1";"13,4";"74";"0";"3";"0";"34";"0";"1017";"0";""
Mezzana;19/8/2013;"18,1";"13";"24,1";"14,2";"79";"0";"4";"0";"43";"0";"1016";"6";"pioggia "
Mezzana;20/8/2013;"16,2";"11,6";"21,8";"7,8";"58";"0";"5";"0";"46";"0";"1019";"0";""
Mezzana;21/8/2013;"15,8";"9,4";"22,7";"8,2";"62";"0";"2";"0";"28";"0";"1021";"0";""
Mezzana;22/8/2013;"16,1";"11,3";"21,6";"12,6";"81";"0";"3";"0";"32";"0";"1017";"0";""
Mezzana;23/8/2013;"15,2";"11,4";"19,4";"14,1";"93";"0";"2";"0";"27";"0";"1016";"3,5";"pioggia "
Mezzana;24/8/2013;"14,9";"10,2";"19,8";"12,6";"86";"0";"3";"0";"39";"0";"1013";"18,5";"pioggia "
Mezzana;25/8/2013;"13,2";"9,9";"17,5";"11,4";"87";"0";"2";"0";"39";"0";"1008";"35,2";"pioggia "
Mezzana;26/8/2013;"13,4";"10,5";"17,9";"10,6";"84";"0";"2";"0";"25";"0";"1010";"3,5";"pioggia "
Mezzana;27/8/2013;"13,8";"11,2";"18,1";"11,6";"86";"0";"1";"0";"30";"0";"1011";"10,9";"pioggia "
Mezzana;28/8/2013;"14,1";"10,6";"18,3";"10,3";"78";"0";"2";"0";"32";"0";"1013";"0";""
Mezzana;29/8/2013;"13,4";"9,4";"18,3";"9,9";"80";"0";"2";"0";"24";"0";"1019";"2,2";"pioggia "
Mezzana;30/8/2013;"14,1";"10,6";"18,6";"11,9";"87";"0";"2";"0";"28";"0";"1020";"0";""
Mezzana;31/8/2013;"15,1";"11,5";"20,2";"11,6";"81";"0";"2";"0";"28";"0";"1020";"0,7";"pioggia "
