LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/10/2016;"13,2";"10";"17,1";"10,8";"85";"0";"4";"0";"39";"0";"1015";"0";""
Mezzana;2/10/2016;"12,2";"9,4";"15,5";"11";"92";"0";"3";"0";"40";"0";"1013";"4,2";"pioggia "
Mezzana;3/10/2016;"10";"6,5";"14,7";"3,3";"65";"0";"3";"0";"34";"0";"1019";"0";""
Mezzana;4/10/2016;"9,4";"4,6";"15,8";"2,4";"63";"0";"4";"0";"37";"0";"1021";"0";""
Mezzana;5/10/2016;"8";"4,2";"13,3";"4,1";"77";"0";"4";"0";"29";"0";"1019";"13,7";"pioggia "
Mezzana;6/10/2016;"6,9";"3";"11,8";"2";"72";"0";"2";"0";"23";"0";"1015";"0";""
Mezzana;7/10/2016;"8,1";"4,3";"12,6";"5,1";"82";"0";"2";"0";"24";"0";"1013";"0";""
Mezzana;8/10/2016;"7,3";"4,6";"9,5";"7";"97";"0";"3";"0";"27";"0";"1016";"8,8";"pioggia "
Mezzana;9/10/2016;"5,3";"3,4";"7,5";"5";"96";"0";"2";"0";"24";"0";"1019";"6,1";"pioggia "
Mezzana;10/10/2016;"3,5";"1,1";"6,2";"2,7";"93";"0";"2";"0";"31";"0";"1018";"3,8";"pioggia "
Mezzana;11/10/2016;"2,3";"-0,6";"5,6";"-0,7";"81";"0";"1";"0";"25";"0";"1013";"0";""
Mezzana;12/10/2016;"2,4";"-1,3";"7,1";"-2,9";"69";"0";"3";"0";"27";"0";"1014";"0";""
Mezzana;13/10/2016;"3,3";"0,1";"6,1";"1,9";"90";"0";"2";"0";"30";"0";"1018";"2,2";"pioggia "
Mezzana;14/10/2016;"5,9";"3,1";"8";"6,7";"99";"0";"3";"0";"61";"0";"1015";"51,6";"pioggia "
Mezzana;15/10/2016;"7,7";"5,4";"10,8";"8,5";"98";"0";"1";"0";"34";"0";"1015";"14,5";"pioggia "
Mezzana;16/10/2016;"9,3";"5,7";"13,8";"7,2";"87";"0";"3";"0";"23";"0";"1022";"0";""
Mezzana;17/10/2016;"8,6";"6,3";"12";"7";"89";"0";"2";"0";"24";"0";"1023";"0";""
Mezzana;18/10/2016;"8,5";"5,7";"12,5";"7,2";"91";"0";"1";"0";"19";"0";"1020";"0,6";"pioggia "
Mezzana;19/10/2016;"7,1";"5,1";"9,9";"7";"97";"0";"3";"0";"38";"0";"1016";"6,4";"pioggia "
Mezzana;20/10/2016;"5,7";"2,7";"8,2";"4,2";"90";"0";"2";"0";"29";"0";"1012";"5,6";"pioggia "
Mezzana;21/10/2016;"5,1";"1,2";"9,4";"0,9";"75";"0";"2";"0";"27";"0";"1012";"2,2";"pioggia neve "
Mezzana;22/10/2016;"5,2";"2,8";"8,2";"2,7";"84";"0";"3";"0";"36";"0";"1016";"2,5";"pioggia "
Mezzana;23/10/2016;"6,2";"3,5";"8,2";"4,7";"89";"0";"1";"0";"28";"0";"1018";"2";"pioggia "
Mezzana;24/10/2016;"8,7";"6,3";"10,5";"9";"97";"0";"2";"0";"29";"0";"1021";"0,9";"pioggia "
Mezzana;25/10/2016;"10,4";"8,9";"11,9";"11,2";"99";"0";"2";"0";"37";"0";"1022";"6,9";"pioggia "
Mezzana;26/10/2016;"9";"7,9";"9,9";"9";"96";"0";"3";"0";"33";"0";"1022";"10";"pioggia "
Mezzana;27/10/2016;"7,8";"5,4";"11,1";"5";"83";"0";"2";"0";"25";"0";"1027";"0";""
Mezzana;28/10/2016;"7,3";"3,8";"12,3";"3,3";"76";"0";"1";"0";"20";"0";"1030";"0";""
Mezzana;29/10/2016;"8";"3,8";"14,3";"4,3";"78";"0";"2";"0";"20";"0";"1026";"0";""
Mezzana;30/10/2016;"7,7";"3,7";"13,7";"4,8";"82";"0";"2";"0";"21";"0";"1024";"0";""
Mezzana;31/10/2016;"6,3";"3,1";"10,7";"4,3";"87";"0";"1";"0";"20";"0";"1026";"0";""
