LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/11/2017;"4,5";"0,2";"10,2";"-0,6";"70";"0";"2";"0";"20";"0";"1023";"0";""
Mezzana;2/11/2017;"5,6";"2,5";"9,7";"3,8";"87";"0";"2";"0";"24";"0";"1019";"0";""
Mezzana;3/11/2017;"6,2";"2,6";"11,2";"2,2";"76";"0";"2";"0";"19";"0";"1016";"0";""
Mezzana;4/11/2017;"5,5";"3,1";"8,2";"3,8";"88";"0";"2";"0";"25";"0";"1018";"0";""
Mezzana;5/11/2017;"5,2";"2,2";"7,2";"6,3";"100";"0";"2";"0";"50";"0";"1011";"51,5";"pioggia neve "
Mezzana;6/11/2017;"2,3";"0,6";"4";"-0,5";"81";"0";"3";"0";"57";"0";"1012";"7,3";"pioggia neve "
Mezzana;7/11/2017;"3,5";"0,9";"5,5";"3,1";"93";"0";"1";"0";"23";"0";"1014";"4,5";"pioggia neve "
Mezzana;8/11/2017;"4,1";"2,9";"5,9";"3,2";"93";"0";"1";"0";"14";"0";"1016";"2,7";"pioggia neve "
Mezzana;9/11/2017;"2,8";"-0,8";"4,8";"2,3";"95";"0";"1";"0";"17";"0";"1021";"0,8";"pioggia "
Mezzana;10/11/2017;"0,9";"-2,1";"4";"-0,9";"87";"0";"2";"0";"21";"0";"1020";"0";""
Mezzana;11/11/2017;"2,6";"-0,1";"5,5";"-0,6";"80";"0";"2";"0";"21";"0";"1013";"0";""
Mezzana;12/11/2017;"2,9";"0,9";"5,6";"1,7";"88";"0";"2";"0";"50";"0";"1004";"4,2";"pioggia neve "
Mezzana;13/11/2017;"0,7";"-1,8";"2,5";"-4,8";"66";"0";"4";"0";"58";"0";"1006";"3,1";"pioggia neve "
Mezzana;14/11/2017;"-1";"-3,2";"2,3";"-7,1";"63";"0";"3";"0";"37";"0";"1019";"0";""
Mezzana;15/11/2017;"-0,1";"-2,8";"3,3";"-7,2";"60";"0";"2";"0";"21";"0";"1020";"0";""
Mezzana;16/11/2017;"1,8";"-0,3";"5,7";"-0,1";"86";"0";"3";"0";"19";"0";"1019";"0";""
Mezzana;17/11/2017;"0,6";"-1,6";"4,8";"-2,4";"80";"0";"1";"0";"16";"0";"1019";"0";""
Mezzana;18/11/2017;"-1";"-3,8";"2,8";"-5,8";"70";"0";"1";"0";"18";"0";"1019";"0";""
Mezzana;19/11/2017;"-0,4";"-3,5";"3,5";"-8,3";"55";"0";"4";"0";"56";"0";"1015";"0";"neve "
Mezzana;20/11/2017;"-1,3";"-3,8";"1,6";"-11";"48";"0";"4";"0";"22";"0";"1020";"0";""
Mezzana;21/11/2017;"1,2";"-1,5";"4,6";"-1,4";"83";"0";"1";"0";"20";"0";"1017";"0";""
Mezzana;22/11/2017;"0,7";"-2,4";"5";"-1";"88";"0";"1";"0";"16";"0";"1018";"0";""
Mezzana;23/11/2017;"0,8";"-1,3";"3,8";"-1,6";"84";"0";"1";"0";"15";"0";"1020";"0";""
Mezzana;24/11/2017;"1";"-2,4";"4,3";"-2,6";"78";"0";"1";"0";"15";"0";"1020";"0";""
Mezzana;25/11/2017;"2,1";"0,6";"3,6";"2,4";"95";"0";"1";"0";"29";"0";"1014";"8";"pioggia neve "
Mezzana;26/11/2017;"-0,8";"-5,5";"2,3";"-8,8";"55";"0";"3";"0";"41";"0";"1020";"0";""
Mezzana;27/11/2017;"-5,2";"-7,1";"-1";"-11";"64";"0";"2";"0";"22";"0";"1026";"0";""
Mezzana;28/11/2017;"-4";"-6,8";"-1,3";"-5,8";"87";"0";"1";"0";"18";"0";"1016";"0,6";"pioggia neve "
Mezzana;29/11/2017;"-2";"-3,2";"-0,3";"-0,9";"99";"0";"1";"0";"20";"0";"1006";"6,2";"pioggia neve "
Mezzana;30/11/2017;"-3,2";"-7,7";"-0,8";"-8,8";"67";"0";"3";"0";"30";"0";"1004";"2,2";"pioggia neve "
