LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/7/2020;"18,5";"14,8";"22,3";"17,3";"92";"0";"2";"0";"30";"0";"1014";"10";"pioggia "
Mezzana;2/7/2020;"17,5";"14,3";"22,5";"15,1";"86";"0";"2";"0";"23";"0";"1013";"16,9";"pioggia "
Mezzana;3/7/2020;"17";"13,4";"21,3";"13,6";"81";"0";"1";"0";"27";"0";"1015";"1,6";"pioggia "
Mezzana;4/7/2020;"18,3";"13,4";"23,6";"14,2";"78";"0";"1";"0";"21";"0";"1018";"0";""
Mezzana;5/7/2020;"20,4";"14,9";"27,1";"15,9";"77";"0";"2";"0";"28";"0";"1018";"0";""
Mezzana;6/7/2020;"20";"14,1";"26,9";"16,5";"81";"0";"4";"0";"34";"0";"1013";"17,6";"pioggia "
Mezzana;7/7/2020;"17,2";"10,4";"24,2";"9,4";"62";"0";"3";"0";"29";"0";"1017";"0";""
Mezzana;8/7/2020;"18,7";"12,1";"25,2";"13,7";"74";"0";"3";"0";"28";"0";"1018";"0";""
Mezzana;9/7/2020;"20,2";"13,8";"26,7";"15,7";"77";"0";"3";"0";"25";"0";"1018";"0";""
Mezzana;10/7/2020;"20,5";"14,5";"27,1";"16,7";"80";"0";"3";"0";"33";"0";"1016";"6,8";"pioggia "
Mezzana;11/7/2020;"16,8";"12";"20,3";"15,2";"90";"0";"2";"0";"32";"0";"1017";"21,1";"pioggia "
Mezzana;12/7/2020;"16,6";"10,5";"22,4";"11,3";"72";"0";"3";"0";"29";"0";"1022";"0";""
Mezzana;13/7/2020;"14,9";"12,6";"17,5";"12,9";"88";"0";"2";"0";"19";"0";"1021";"6";"pioggia "
Mezzana;14/7/2020;"14,6";"11,7";"18,2";"13,4";"91";"0";"1";"0";"17";"0";"1016";"10,5";"pioggia "
Mezzana;15/7/2020;"14,8";"11,7";"18,2";"13,1";"90";"0";"1";"0";"30";"0";"1015";"7";"pioggia "
Mezzana;16/7/2020;"15,7";"11,9";"19,8";"12,6";"82";"0";"3";"0";"25";"0";"1015";"2,5";"pioggia "
Mezzana;17/7/2020;"16,6";"12,5";"21,9";"11,8";"74";"0";"3";"0";"33";"0";"1015";"4,9";"pioggia "
Mezzana;18/7/2020;"16,4";"11";"22,3";"8,3";"60";"0";"4";"0";"34";"0";"1016";"0";""
Mezzana;19/7/2020;"17,5";"10,3";"24,7";"11,4";"69";"0";"2";"0";"23";"0";"1016";"0";""
Mezzana;20/7/2020;"19,2";"12,9";"26,2";"14,7";"76";"0";"2";"0";"25";"0";"1018";"3,5";"pioggia "
Mezzana;21/7/2020;"19,1";"14,5";"24,8";"15,9";"82";"0";"2";"0";"26";"0";"1021";"1,6";"pioggia "
Mezzana;22/7/2020;"18,8";"14,1";"24,3";"14,8";"78";"0";"2";"0";"27";"0";"1019";"5,6";"pioggia "
Mezzana;23/7/2020;"19";"13,8";"26,1";"14,2";"76";"0";"3";"0";"27";"0";"1015";"5,3";"pioggia "
Mezzana;24/7/2020;"16";"12,6";"19,9";"13,1";"84";"0";"2";"0";"23";"0";"1013";"4,2";"pioggia "
Mezzana;25/7/2020;"17,3";"10,7";"23,9";"10,7";"67";"0";"3";"0";"24";"0";"1014";"0";""
Mezzana;26/7/2020;"18,2";"14,7";"23,1";"15,1";"82";"0";"2";"0";"32";"0";"1016";"11,4";"pioggia "
Mezzana;27/7/2020;"19,7";"14,4";"25,9";"16";"81";"0";"3";"0";"27";"0";"1019";"0,9";"pioggia "
Mezzana;28/7/2020;"21,8";"14,9";"29,8";"17,7";"79";"0";"3";"0";"31";"0";"1017";"3,2";"pioggia "
Mezzana;29/7/2020;"21,8";"17";"27,6";"18,7";"83";"0";"2";"0";"33";"0";"1018";"4,3";"pioggia "
Mezzana;30/7/2020;"21,6";"17";"28,4";"18,5";"83";"0";"2";"0";"21";"0";"1020";"2";"pioggia "
Mezzana;31/7/2020;"22,2";"16,9";"29,6";"16,3";"72";"0";"3";"0";"23";"0";"1018";"0";""
