LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/2/2021;"-0,3";"-2";"2";"-1,7";"88";"0";"1";"0";"19";"0";"1000";"0,9";"pioggia neve "
Mezzana;2/2/2021;"0,2";"-1,1";"3,1";"-2,8";"80";"0";"1";"0";"16";"0";"1010";"0";""
Mezzana;3/2/2021;"1,2";"-1,4";"3,1";"-0,4";"89";"0";"2";"0";"32";"0";"1012";"0";""
Mezzana;4/2/2021;"3,1";"1,1";"5,6";"2,3";"92";"0";"1";"0";"23";"0";"1016";"0";""
Mezzana;5/2/2021;"1,9";"0,2";"3,9";"1,3";"94";"0";"1";"0";"22";"0";"1018";"0,5";"pioggia "
Mezzana;6/2/2021;"2,1";"0,6";"3,9";"2";"97";"0";"1";"0";"44";"0";"1013";"1,8";"pioggia neve "
Mezzana;7/2/2021;"1,7";"0,9";"2,6";"3,3";"100";"0";"1";"0";"44";"0";"999";"35,8";"pioggia neve "
Mezzana;8/2/2021;"1,5";"-0,2";"3,2";"0,6";"92";"0";"2";"0";"22";"0";"994";"6,7";"pioggia neve "
Mezzana;9/2/2021;"0,8";"-0,5";"2,5";"-0";"92";"0";"1";"0";"19";"0";"1000";"1,1";"pioggia neve "
Mezzana;10/2/2021;"0,7";"-0,8";"2,2";"0,7";"96";"0";"1";"0";"34";"0";"1000";"18,4";"pioggia neve "
Mezzana;11/2/2021;"-1,1";"-4,1";"2,6";"-7,4";"63";"0";"4";"0";"24";"0";"1014";"0";""
Mezzana;12/2/2021;"-4,8";"-5,9";"-3,5";"-8,3";"76";"0";"3";"0";"17";"0";"1025";"0";"neve "
Mezzana;13/2/2021;"-5,2";"-7,8";"-2";"-8,4";"79";"0";"2";"0";"23";"0";"1030";"0,9";"pioggia neve "
Mezzana;14/2/2021;"-6,4";"-10,8";"-1,4";"-19,2";"37";"0";"3";"0";"27";"0";"1037";"0";""
Mezzana;15/2/2021;"-6,1";"-11,5";"-1,3";"-18,4";"38";"0";"3";"0";"16";"0";"1037";"0";""
Mezzana;16/2/2021;"-1,8";"-6,1";"4,2";"-4,4";"82";"0";"1";"0";"17";"0";"1024";"0";""
Mezzana;17/2/2021;"-1,6";"-6,3";"5,1";"-4,9";"79";"0";"3";"0";"20";"0";"1020";"0";"neve "
Mezzana;18/2/2021;"-1,3";"-6,1";"4,6";"-6,2";"69";"0";"2";"0";"18";"0";"1022";"0";""
Mezzana;19/2/2021;"1,7";"-2,1";"6,5";"-0,8";"83";"0";"1";"0";"15";"0";"1024";"0";""
Mezzana;20/2/2021;"2,1";"-1";"6,5";"-0,2";"85";"0";"1";"0";"14";"0";"1026";"0";""
Mezzana;21/2/2021;"2,8";"0";"7,6";"2,1";"93";"0";"1";"0";"19";"0";"1027";"0";""
Mezzana;22/2/2021;"3";"-0,8";"8,5";"-1,3";"73";"0";"1";"0";"20";"0";"1030";"0";""
Mezzana;23/2/2021;"3,9";"-0,1";"9,8";"-1,8";"67";"0";"2";"0";"20";"0";"1035";"0";""
Mezzana;24/2/2021;"3,7";"-0,3";"9,9";"-2,2";"66";"0";"3";"0";"20";"0";"1036";"0";""
Mezzana;25/2/2021;"3,3";"-1";"9,3";"-3,3";"62";"0";"3";"0";"19";"0";"1032";"0";""
Mezzana;26/2/2021;"3";"-1,6";"8,7";"-5";"56";"0";"2";"0";"18";"0";"1027";"0";""
Mezzana;27/2/2021;"3,3";"-0,6";"8,6";"-1,9";"69";"0";"2";"0";"20";"0";"1027";"0";""
Mezzana;28/2/2021;"0,9";"-3,4";"6,6";"-5,2";"64";"0";"2";"0";"16";"0";"1031";"0";""
