LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/5/2021;"9,6";"6,2";"14";"7,9";"89";"0";"3";"0";"42";"0";"1007";"23,7";"pioggia "
Mezzana;2/5/2021;"7,8";"5,1";"10,7";"4,9";"82";"0";"3";"0";"41";"0";"1010";"6";"pioggia "
Mezzana;3/5/2021;"8,2";"1,9";"14,2";"1,7";"65";"0";"3";"0";"28";"0";"1019";"2,7";"pioggia neve "
Mezzana;4/5/2021;"9,1";"3,1";"15,5";"4,6";"76";"0";"4";"0";"34";"0";"1013";"1,9";"pioggia "
Mezzana;5/5/2021;"9,9";"4,3";"16,3";"4";"68";"0";"4";"0";"51";"0";"1006";"3,5";"pioggia "
Mezzana;6/5/2021;"9,4";"3,2";"14,6";"3,8";"69";"0";"4";"0";"49";"0";"1009";"2,5";"pioggia "
Mezzana;7/5/2021;"10,8";"4,9";"16,6";"5,4";"71";"0";"3";"0";"34";"0";"1010";"15,2";"pioggia "
Mezzana;8/5/2021;"11,1";"2,7";"19,3";"2,8";"58";"0";"5";"0";"41";"0";"1019";"0";""
Mezzana;9/5/2021;"13,6";"5,2";"21,4";"8,6";"74";"0";"4";"0";"37";"0";"1018";"0";""
Mezzana;10/5/2021;"14";"8,1";"19,2";"9,3";"74";"0";"4";"0";"53";"0";"1015";"0,8";"pioggia "
Mezzana;11/5/2021;"10,3";"7,5";"12,1";"9,5";"94";"0";"2";"0";"31";"0";"1011";"34,7";"pioggia "
Mezzana;12/5/2021;"8,6";"6,4";"11";"7,5";"92";"0";"1";"0";"33";"0";"1008";"10,3";"pioggia "
Mezzana;13/5/2021;"9,8";"6,9";"12,9";"6,3";"80";"0";"2";"0";"30";"0";"1005";"7,3";"pioggia "
Mezzana;14/5/2021;"9,4";"6,2";"13,4";"6,8";"84";"0";"2";"0";"23";"0";"1008";"8,6";"pioggia "
Mezzana;15/5/2021;"9,8";"6,2";"13,8";"6,9";"82";"0";"3";"0";"33";"0";"1009";"4,5";"pioggia "
Mezzana;16/5/2021;"10,8";"6,4";"13,8";"8,2";"84";"0";"4";"0";"49";"0";"1005";"2,6";"pioggia "
Mezzana;17/5/2021;"11,3";"5,6";"17,4";"1,9";"58";"0";"3";"0";"34";"0";"1006";"10,6";"pioggia "
Mezzana;18/5/2021;"10,2";"3,3";"16,4";"4,1";"67";"0";"4";"0";"36";"0";"1012";"11,4";"pioggia "
Mezzana;19/5/2021;"9,8";"4,8";"14,7";"4,2";"70";"0";"2";"0";"40";"0";"1014";"8,5";"pioggia "
Mezzana;20/5/2021;"10";"2,9";"16,7";"2";"59";"0";"4";"0";"32";"0";"1018";"2,5";"pioggia neve "
Mezzana;21/5/2021;"11";"5,3";"17,2";"5";"67";"0";"5";"0";"50";"0";"1015";"1,3";"pioggia "
Mezzana;22/5/2021;"11,3";"7";"16,3";"7,9";"81";"0";"4";"0";"42";"0";"1011";"7,2";"pioggia "
Mezzana;23/5/2021;"11";"8,1";"15,1";"8,6";"85";"0";"3";"0";"31";"0";"1015";"13,6";"pioggia "
Mezzana;24/5/2021;"8,3";"7";"10,3";"7,8";"93";"0";"2";"0";"34";"0";"1016";"22";"pioggia "
Mezzana;25/5/2021;"10,2";"4,7";"14,7";"4,9";"72";"0";"3";"0";"40";"0";"1016";"9,9";"pioggia "
Mezzana;26/5/2021;"11,2";"3,2";"18,2";"5,4";"68";"0";"4";"0";"33";"0";"1017";"1,4";"pioggia "
Mezzana;27/5/2021;"12,6";"7,8";"17";"9,5";"82";"0";"3";"0";"34";"0";"1016";"10,5";"pioggia "
Mezzana;28/5/2021;"13,8";"5,4";"21,6";"8,6";"73";"0";"4";"0";"37";"0";"1019";"0,7";"pioggia "
Mezzana;29/5/2021;"13";"8,2";"18";"8,9";"77";"0";"3";"0";"30";"0";"1018";"4,4";"pioggia "
Mezzana;30/5/2021;"12,8";"5,4";"19,8";"4,8";"60";"0";"3";"0";"33";"0";"1019";"0";""
Mezzana;31/5/2021;"13";"7,5";"18,2";"8,9";"78";"0";"2";"0";"34";"0";"1019";"0,9";"pioggia "
