LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/1/2024;"-2,1";"-5,1";"1";"-5,9";"73";"0";"3";"0";"23";"0";"1014";"3,1";"pioggia neve "
Mezzana;2/1/2024;"-1,9";"-5,1";"0,5";"-6,5";"71";"0";"3";"0";"21";"0";"1014";"0";""
Mezzana;3/1/2024;"-0";"-2,1";"3,2";"-1,4";"89";"0";"2";"0";"26";"0";"1008";"0";""
Mezzana;4/1/2024;"-1";"-2,7";"2,2";"-5,9";"69";"0";"3";"0";"25";"0";"1010";"1";"pioggia neve "
Mezzana;5/1/2024;"-0,3";"-2,2";"1,1";"-2,1";"85";"0";"2";"0";"19";"0";"1009";"19,5";"pioggia neve "
Mezzana;6/1/2024;"1,2";"-0,1";"2,2";"0,8";"95";"0";"3";"0";"25";"0";"1002";"9,8";"pioggia neve "
Mezzana;7/1/2024;"0,2";"-1,2";"0,9";"-3,9";"74";"0";"4";"0";"29";"0";"1005";"2,1";"pioggia neve "
Mezzana;8/1/2024;"-1,5";"-2,9";"0,3";"-6,7";"67";"0";"3";"0";"18";"0";"1013";"0";""
Mezzana;9/1/2024;"-2,1";"-4,2";"-0,9";"-4,5";"83";"0";"3";"0";"18";"0";"1022";"0";""
Mezzana;10/1/2024;"-2";"-5,1";"-0,6";"-2,6";"92";"0";"2";"0";"18";"0";"1027";"0";"neve "
Mezzana;11/1/2024;"-4,5";"-6,6";"-0,6";"-8,6";"73";"0";"2";"0";"19";"0";"1023";"0";""
Mezzana;12/1/2024;"-5,2";"-7,8";"-0,8";"-10,9";"64";"0";"2";"0";"20";"0";"1023";"0";""
Mezzana;13/1/2024;"-6";"-8,6";"-1,4";"-16,3";"45";"0";"2";"0";"20";"0";"1021";"0";""
Mezzana;14/1/2024;"-4,2";"-7,3";"1";"-18";"34";"0";"2";"0";"21";"0";"1011";"0";""
Mezzana;15/1/2024;"-2,4";"-6";"2,8";"-10,3";"55";"0";"3";"0";"25";"0";"1002";"0";""
Mezzana;16/1/2024;"-4,8";"-7,2";"-0,2";"-13,2";"53";"0";"3";"0";"24";"0";"1010";"0";""
Mezzana;17/1/2024;"-1,8";"-5,4";"0,7";"-1,7";"95";"0";"3";"0";"25";"0";"1006";"4,8";"pioggia neve "
Mezzana;18/1/2024;"1,2";"-1,2";"4,2";"1,3";"95";"0";"2";"0";"21";"0";"997";"6,9";"pioggia neve "
Mezzana;19/1/2024;"-1,8";"-7,9";"0,8";"-5,7";"74";"0";"5";"0";"31";"0";"1013";"8";"pioggia neve "
Mezzana;20/1/2024;"-6,7";"-9,1";"-2,9";"-21";"34";"0";"3";"0";"22";"0";"1031";"0";""
Mezzana;21/1/2024;"-5,4";"-8,6";"-0,5";"-21,3";"29";"0";"2";"0";"17";"0";"1034";"0";""
Mezzana;22/1/2024;"-3,1";"-6,8";"1,1";"-14,8";"41";"0";"2";"0";"20";"0";"1029";"0";""
Mezzana;23/1/2024;"0,1";"-3,6";"4,8";"-7,5";"57";"0";"5";"0";"39";"0";"1028";"0";""
Mezzana;24/1/2024;"4,2";"-0,5";"8,7";"-0,3";"73";"0";"6";"0";"23";"0";"1027";"0";""
Mezzana;25/1/2024;"5,6";"2";"8,5";"2,7";"81";"0";"5";"0";"24";"0";"1025";"2,6";"pioggia "
Mezzana;26/1/2024;"4";"-0,1";"8,5";"-0,6";"72";"0";"2";"0";"21";"0";"1026";"0";""
Mezzana;27/1/2024;"2,4";"-1,3";"7,3";"-3,9";"64";"0";"4";"0";"26";"0";"1031";"0";""
Mezzana;28/1/2024;"-0,1";"-3,1";"4,3";"-9,6";"50";"0";"3";"0";"20";"0";"1036";"0";""
Mezzana;29/1/2024;"0,5";"-3,1";"5";"-9,3";"50";"0";"2";"0";"15";"0";"1035";"0";""
Mezzana;30/1/2024;"1,3";"-2";"5,4";"-5,4";"62";"0";"2";"0";"16";"0";"1035";"0";""
Mezzana;31/1/2024;"0,8";"-2,2";"5,6";"-5,5";"63";"0";"2";"0";"18";"0";"1032";"0";""
