LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/5/2001;"17,4";"9,6";"24,3";"9,5";"60";"11";"3";"15";"0";"0";"0";"0";""
Povo;2/5/2001;"16,3";"8,6";"22,6";"10,4";"68";"11";"1";"11";"0";"0";"0";"0";""
Povo;3/5/2001;"14,5";"9,4";"21";"10,8";"78";"11";"3";"28";"0";"0";"0";"0";"pioggia "
Povo;4/5/2001;"14,2";"9";"22,3";"10,3";"77";"11";"4";"13";"0";"0";"0";"2";"pioggia temporale "
Povo;5/5/2001;"13,7";"10,7";"19";"10,1";"79";"9";"1";"5";"0";"0";"0";"9,9";"pioggia "
Povo;6/5/2001;"15,1";"12";"21";"10,6";"74";"11";"2";"17";"0";"0";"0";"0";"pioggia "
Povo;7/5/2001;"16,4";"10,8";"23";"10,3";"67";"14";"6";"21";"0";"0";"0";"0";""
Povo;8/5/2001;"18,8";"9,4";"26";"8,9";"53";"18";"6";"18";"0";"1015";"987";"0,8";"pioggia "
Povo;9/5/2001;"17,6";"12,6";"23,4";"10,6";"64";"11";"7";"13";"0";"1018";"989";"0";"pioggia "
Povo;10/5/2001;"17,3";"11,9";"24,3";"10,3";"63";"12";"6";"18";"0";"0";"0";"0";"temporale "
Povo;11/5/2001;"18";"11,2";"25,8";"9";"56";"18";"5";"18";"0";"1013";"985";"0,8";""
Povo;12/5/2001;"18,6";"8,5";"26";"6,3";"45";"13";"9";"17";"34";"0";"0";"0";""
Povo;13/5/2001;"17,4";"7,7";"23,3";"8,3";"55";"12";"14";"28";"0";"0";"0";"0";""
Povo;14/5/2001;"17,2";"14,3";"23,1";"10,6";"65";"12";"9";"28";"0";"0";"0";"0";""
Povo;15/5/2001;"14,9";"12,7";"17";"11,1";"78";"10";"8";"18";"0";"0";"0";"0,8";"pioggia "
Povo;16/5/2001;"17,8";"12,2";"22,9";"14";"78";"13";"7";"18";"0";"1016";"988";"0";""
Povo;17/5/2001;"20";"15,5";"25,6";"16,4";"80";"11";"7";"24";"0";"1015";"987";"0";"pioggia "
Povo;18/5/2001;"17";"14,3";"22,6";"11,2";"69";"11";"9";"29";"54";"1012";"984";"18";"pioggia temporale "
Povo;19/5/2001;"18,6";"6,4";"25";"6,2";"44";"10";"6";"11";"0";"0";"0";"0";""
Povo;20/5/2001;"17,6";"8,3";"24,9";"10,2";"62";"10";"7";"18";"0";"0";"0";"0";""
Povo;21/5/2001;"15,6";"11,7";"18,1";"14";"90";"11";"4";"8";"0";"0";"0";"1";"pioggia "
Povo;22/5/2001;"19,2";"13,5";"26";"14,7";"75";"11";"5";"13";"0";"0";"0";"0";"pioggia "
Povo;23/5/2001;"18,8";"15,4";"24,3";"15,9";"83";"12";"6";"13";"0";"1018";"990";"15,8";"pioggia "
Povo;24/5/2001;"22,2";"16";"28,2";"15,5";"66";"14";"8";"21";"0";"0";"0";"0";"temporale "
Povo;25/5/2001;"20,4";"14,1";"27,6";"13,6";"65";"19";"6";"17";"34";"0";"0";"7,1";""
Povo;26/5/2001;"22,2";"12,2";"29,5";"12,4";"54";"10";"6";"11";"0";"0";"0";"0";""
Povo;27/5/2001;"23,3";"14";"29,7";"14,2";"57";"10";"7";"15";"0";"0";"0";"0";""
Povo;28/5/2001;"25,4";"16,7";"31,8";"16,3";"57";"11";"5";"15";"0";"0";"0";"0";""
Povo;29/5/2001;"26,2";"16,6";"33,2";"16,8";"56";"10";"7";"17";"0";"0";"0";"0";""
Povo;30/5/2001;"26,3";"16";"33,1";"17,3";"58";"10";"10";"18";"0";"0";"0";"0";""
Povo;31/5/2001;"23,8";"17,7";"28,1";"18,1";"70";"13";"7";"24";"42";"1010";"982";"5,1";"temporale "
