LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/10/2003;"15,6";"11,5";"18";"11,7";"78";"11";"3";"5";"0";"0";"0";"0";""
Povo;2/10/2003;"18,8";"14";"24,1";"13";"69";"11";"5";"13";"0";"0";"0";"0";""
Povo;3/10/2003;"16,7";"13,1";"19";"14,2";"85";"6";"4";"8";"0";"0";"0";"0";"pioggia "
Povo;4/10/2003;"17,3";"14";"24,1";"13,4";"78";"11";"7";"13";"0";"0";"0";"21,8";"pioggia temporale "
Povo;5/10/2003;"11,3";"9,9";"13,5";"8,3";"82";"10";"8";"18";"0";"0";"0";"42,9";"pioggia "
Povo;6/10/2003;"12,3";"6,5";"19";"2,5";"51";"11";"4";"13";"0";"0";"0";"0";""
Povo;7/10/2003;"9,8";"3,5";"15,5";"4,6";"70";"11";"4";"26";"0";"0";"0";"0";""
Povo;8/10/2003;"12,8";"6,6";"18";"-1,1";"38";"11";"11";"24";"42";"0";"0";"1";""
Povo;9/10/2003;"14,3";"5,6";"23,1";"4,7";"52";"11";"10";"28";"48";"0";"0";"0";""
Povo;10/10/2003;"13,9";"6";"22,2";"8,2";"68";"10";"4";"9";"0";"0";"0";"0";""
Povo;11/10/2003;"14,2";"8,4";"21";"9,2";"72";"11";"4";"9";"0";"0";"0";"0";""
Povo;12/10/2003;"15,4";"10,7";"21,3";"8,8";"65";"11";"4";"11";"0";"0";"0";"0";""
Povo;13/10/2003;"16,1";"11,3";"20,6";"9,8";"66";"10";"4";"11";"0";"0";"0";"0";""
Povo;14/10/2003;"15,7";"11,9";"20";"9,8";"68";"11";"8";"17";"0";"0";"0";"0";"pioggia "
Povo;15/10/2003;"13,6";"8,1";"18,6";"4,3";"53";"11";"5";"11";"0";"0";"0";"0";""
Povo;16/10/2003;"9,1";"2,7";"16,3";"2,8";"65";"10";"4";"9";"0";"0";"0";"0";""
Povo;17/10/2003;"9,3";"4";"14";"3,4";"67";"11";"6";"15";"0";"0";"0";"0";""
Povo;18/10/2003;"8,6";"2,1";"14,4";"2,6";"66";"11";"5";"11";"0";"0";"0";"0";""
Povo;19/10/2003;"8,1";"1,9";"14,6";"3,3";"72";"11";"3";"8";"0";"0";"0";"0";""
Povo;20/10/2003;"8,3";"5,8";"9,4";"6,7";"90";"3";"2";"4";"0";"0";"0";"3,1";"pioggia "
Povo;21/10/2003;"9,5";"8";"11,1";"8,1";"91";"9";"2";"5";"0";"0";"0";"1";"pioggia "
Povo;22/10/2003;"8,2";"6,2";"11,8";"6,4";"88";"11";"3";"5";"0";"0";"0";"0,5";"pioggia "
Povo;23/10/2003;"7,7";"6,6";"9";"6,4";"91";"9";"3";"8";"0";"0";"0";"1";"pioggia "
Povo;24/10/2003;"7,8";"3";"11,4";"-3,2";"46";"11";"9";"17";"0";"0";"0";"0";""
Povo;25/10/2003;"3,1";"-2";"9,8";"-4,4";"58";"10";"3";"9";"0";"0";"0";"0";""
Povo;26/10/2003;"3,3";"-4,4";"10,2";"-3,1";"63";"11";"3";"9";"0";"0";"0";"0";""
Povo;27/10/2003;"6,2";"2,2";"13,2";"-1,1";"59";"10";"4";"9";"0";"0";"0";"0";""
Povo;28/10/2003;"6";"1,2";"12,1";"-0,8";"62";"11";"3";"11";"0";"0";"0";"0";""
Povo;29/10/2003;"4,4";"1";"7";"2";"84";"8";"3";"11";"0";"0";"0";"2";"pioggia "
Povo;30/10/2003;"5,3";"4";"7";"3,7";"89";"7";"3";"8";"0";"0";"0";"1";"pioggia "
Povo;31/10/2003;"4,7";"1,8";"6";"3,7";"93";"7";"2";"5";"0";"0";"0";"9,9";"pioggia "
