LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/2/2004;"-0,2";"-4,1";"7,2";"-5,9";"65";"11";"2";"8";"0";"0";"0";"0";""
Povo;2/2/2004;"0,6";"-5";"7,5";"-4,8";"67";"10";"4";"8";"0";"0";"0";"0";""
Povo;3/2/2004;"1,9";"-3,5";"10,4";"-2,8";"71";"10";"3";"8";"0";"0";"0";"0";""
Povo;4/2/2004;"3,2";"-1,3";"10";"-1,8";"70";"10";"2";"4";"0";"0";"0";"0";""
Povo;5/2/2004;"5,9";"-0,8";"16";"-3";"53";"10";"2";"5";"0";"0";"0";"0";""
Povo;6/2/2004;"5,1";"-1";"13,6";"-2";"60";"11";"3";"8";"0";"0";"0";"0";""
Povo;7/2/2004;"3,3";"-1,6";"6";"-0,9";"74";"10";"4";"8";"0";"0";"0";"0";"pioggia "
Povo;8/2/2004;"6";"-2,6";"12,3";"-3,9";"49";"11";"13";"28";"52";"0";"0";"0";""
Povo;9/2/2004;"7,8";"3";"11,4";"-9,3";"29";"11";"17";"28";"48";"0";"0";"0";""
Povo;10/2/2004;"4,5";"-0,1";"10";"-10,3";"33";"10";"5";"18";"0";"0";"0";"0";""
Povo;11/2/2004;"7,7";"-2";"16,4";"-5,4";"39";"12";"9";"24";"0";"0";"0";"0";""
Povo;12/2/2004;"7,4";"5";"10";"-6,6";"36";"10";"18";"26";"0";"0";"0";"0";""
Povo;13/2/2004;"3,5";"-1";"9,7";"-2,4";"65";"10";"6";"15";"0";"0";"0";"0";""
Povo;14/2/2004;"2,9";"-3,3";"11,6";"-2,1";"70";"11";"4";"11";"0";"0";"0";"0";""
Povo;15/2/2004;"5,6";"-2,4";"13,1";"-2,6";"55";"10";"5";"15";"0";"0";"0";"0";""
Povo;16/2/2004;"5,1";"-3";"13,4";"-3,4";"54";"10";"4";"11";"0";"0";"0";"0";""
Povo;17/2/2004;"4,2";"-1,9";"10,1";"-1,9";"64";"8";"4";"15";"0";"0";"0";"0";""
Povo;18/2/2004;"3,9";"-3,5";"9,8";"-2";"65";"10";"5";"13";"0";"0";"0";"0";""
Povo;19/2/2004;"3,3";"1,9";"5,5";"1,3";"87";"8";"6";"11";"0";"0";"0";"0";"pioggia "
Povo;20/2/2004;"3,8";"0,2";"7,6";"0,8";"81";"10";"5";"11";"0";"0";"0";"0";""
Povo;21/2/2004;"2";"0,5";"3,2";"0,6";"90";"4";"2";"5";"0";"0";"0";"7,1";"pioggia neve "
Povo;22/2/2004;"5";"1,7";"7,5";"3,3";"89";"8";"2";"5";"0";"0";"0";"7,1";"pioggia "
Povo;23/2/2004;"5,7";"4";"7,8";"1,4";"74";"7";"10";"29";"39";"0";"0";"15";"pioggia nebbia "
Povo;24/2/2004;"3,4";"0,6";"6,2";"-10,1";"36";"11";"13";"24";"37";"0";"0";"0";""
Povo;25/2/2004;"-0,3";"-4,4";"5";"-8,1";"56";"10";"3";"8";"0";"0";"0";"0";""
Povo;26/2/2004;"1,1";"-1,3";"3,6";"-5,4";"62";"9";"4";"9";"0";"0";"0";"0";"neve "
Povo;27/2/2004;"1,7";"-0,3";"5,1";"-0,6";"85";"8";"5";"11";"0";"0";"0";"3,1";"neve "
Povo;28/2/2004;"1,4";"-2,8";"4,8";"-7,6";"51";"13";"6";"18";"0";"1002";"973";"0";""
Povo;29/2/2004;"4,8";"2,6";"8,1";"-12,7";"27";"11";"14";"22";"0";"0";"0";"0";""
