LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/3/2008;"12,6";"9";"16";"3,6";"54";"8";"12";"24";"0";"1006";"0";"0";""
Povo;2/3/2008;"16,6";"8";"25";"-0,1";"32";"11";"8";"18";"0";"1009";"0";"0";""
Povo;3/3/2008;"14";"4";"20";"1,9";"44";"11";"12";"26";"0";"1008";"0";"0";""
Povo;4/3/2008;"8,6";"8";"9";"-2,9";"44";"11";"11";"21";"39";"1008";"0";"0";"pioggia "
Povo;5/3/2008;"6,9";"3";"10";"-14,9";"19";"11";"28";"50";"68";"1017";"0";"0";""
Povo;6/3/2008;"3,7";"-2";"8";"-14,3";"25";"11";"5";"11";"0";"1019";"0";"0";""
Povo;7/3/2008;"8,6";"4";"13";"-6,2";"34";"11";"4";"15";"0";"1010";"0";"0";""
Povo;8/3/2008;"9,7";"6";"13";"1,9";"58";"11";"12";"29";"0";"1010";"0";"0";""
Povo;9/3/2008;"8,8";"6";"10";"3,4";"69";"8";"4";"13";"0";"1011";"0";"0";""
Povo;10/3/2008;"9,6";"7";"13";"4,1";"69";"9";"12";"24";"42";"1005";"0";"0";"pioggia "
Povo;11/3/2008;"10,2";"6";"16";"2,9";"60";"10";"4";"13";"0";"1002";"0";"0";"pioggia "
Povo;12/3/2008;"10,9";"3";"17";"3,1";"59";"11";"6";"15";"0";"1006";"0";"0";"pioggia "
Povo;13/3/2008;"13,1";"4";"20";"-6,1";"26";"10";"8";"26";"0";"1012";"0";"0";""
Povo;14/3/2008;"11,7";"3";"18";"-1,3";"40";"11";"5";"11";"0";"1014";"0";"0";""
Povo;15/3/2008;"12,2";"2";"19";"3,1";"54";"8";"13";"28";"44";"1015";"0";"0";""
Povo;16/3/2008;"9,3";"5";"12";"6,2";"81";"9";"8";"35";"65";"1007";"0";"0";"pioggia "
Povo;17/3/2008;"9,7";"5,4";"14";"3,5";"65";"11";"7";"78";"0";"1005";"0";"0";""
Povo;18/3/2008;"10,4";"4";"15";"-7,5";"28";"11";"16";"29";"57";"1005";"0";"0";""
Povo;19/3/2008;"7,4";"1,8";"13";"-9,8";"28";"10";"7";"18";"0";"1009";"0";"0";""
Povo;20/3/2008;"8,3";"1";"13";"-12,6";"21";"11";"8";"15";"34";"1011";"0";"0";""
Povo;21/3/2008;"6,7";"1";"10";"-6,5";"38";"11";"6";"15";"0";"993";"0";"0";""
Povo;22/3/2008;"8,1";"3";"14";"-2,7";"46";"11";"13";"29";"0";"988";"0";"0";"pioggia "
Povo;23/3/2008;"3,4";"1,8";"5";"1,6";"88";"11";"4";"9";"0";"994";"0";"0";"pioggia "
Povo;24/3/2008;"7,6";"4";"11";"-7,4";"34";"11";"11";"21";"0";"993";"0";"0";""
Povo;25/3/2008;"5,4";"1";"9";"-10,2";"31";"11";"12";"28";"42";"1002";"0";"0";""
Povo;26/3/2008;"7,7";"-1";"14";"-6";"37";"11";"11";"24";"0";"1004";"0";"0";""
Povo;27/3/2008;"10,5";"3";"14";"-1,4";"43";"11";"5";"13";"0";"1000";"0";"0";"pioggia "
Povo;28/3/2008;"11,8";"4";"16";"1,7";"50";"11";"9";"21";"0";"1012";"0";"0";""
Povo;29/3/2008;"14,3";"5";"21";"1,7";"42";"11";"8";"26";"0";"1018";"0";"0";""
Povo;30/3/2008;"16";"9";"20";"2,2";"39";"11";"10";"17";"0";"1019";"0";"0";""
Povo;31/3/2008;"15,1";"6";"21";"2,3";"42";"10";"9";"21";"0";"1014";"0";"0";""
