LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/4/2014;"16";"7";"24";"6";"51";"16";"8";"19";"41";"1012";"0";"0";""
Povo;2/4/2014;"16";"10";"23";"8";"60";"10";"8";"22";"43";"1012";"0";"0";""
Povo;3/4/2014;"15";"12";"18";"10";"71";"9";"5";"9";"0";"1011";"0";"0";""
Povo;4/4/2014;"16";"8";"22";"8";"59";"11";"7";"17";"48";"1007";"0";"0";""
Povo;5/4/2014;"17";"11";"21";"9";"58";"12";"6";"13";"0";"1010";"0";"0";""
Povo;6/4/2014;"18";"7";"26";"8";"55";"11";"5";"13";"0";"1016";"0";"0";""
Povo;7/4/2014;"18";"9";"26";"8";"50";"20";"12";"100";"0";"1018";"0";"0";""
Povo;8/4/2014;"16";"11";"22";"11";"76";"11";"6";"30";"41";"1017";"0";"0";"pioggia temporale "
Povo;9/4/2014;"17";"10";"29";"6";"35";"16";"10";"19";"35";"1019";"0";"0";""
Povo;10/4/2014;"16";"5";"23";"2";"39";"18";"8";"17";"0";"1017";"0";"0";""
Povo;11/4/2014;"16";"6";"23";"7";"55";"14";"10";"20";"32";"1015";"0";"0";""
Povo;12/4/2014;"16";"12";"20";"10";"65";"10";"6";"13";"0";"1015";"0";"0";""
Povo;13/4/2014;"16";"11";"22";"9";"62";"11";"5";"11";"0";"1016";"0";"0";""
Povo;14/4/2014;"17";"5";"25";"5";"46";"21";"11";"24";"46";"1012";"0";"0";""
Povo;15/4/2014;"14";"10";"17";"0";"21";"14";"16";"24";"41";"1017";"0";"0";""
Povo;16/4/2014;"13";"5";"17";"0";"27";"26";"14";"26";"50";"1022";"0";"0";""
Povo;17/4/2014;"13";"3";"23";"0";"36";"27";"4";"7";"0";"1018";"0";"0";""
Povo;18/4/2014;"13";"5";"17";"4";"44";"12";"6";"13";"0";"1009";"0";"0";""
Povo;19/4/2014;"10";"8";"13";"8";"87";"11";"4";"7";"0";"1009";"0";"0";"pioggia "
Povo;20/4/2014;"15";"6";"21";"8";"66";"11";"9";"19";"43";"1006";"0";"0";""
Povo;21/4/2014;"12";"11";"13";"11";"93";"9";"4";"9";"0";"1008";"0";"0";"pioggia "
Povo;22/4/2014;"16";"10";"23";"10";"67";"15";"5";"9";"0";"1012";"0";"0";"nebbia "
Povo;23/4/2014;"17";"8";"25";"10";"61";"14";"7";"17";"0";"1016";"0";"0";""
Povo;24/4/2014;"19";"8";"28";"8";"52";"15";"5";"11";"0";"1014";"0";"0";""
Povo;25/4/2014;"19";"9";"27";"9";"51";"11";"6";"13";"0";"1010";"0";"0";""
Povo;26/4/2014;"18";"10";"27";"12";"68";"12";"7";"20";"41";"1009";"0";"0";"pioggia temporale "
Povo;27/4/2014;"14";"13";"16";"13";"94";"9";"5";"13";"0";"1006";"0";"0";"pioggia "
Povo;28/4/2014;"14";"11";"17";"12";"86";"11";"5";"9";"0";"1006";"0";"0";"pioggia "
Povo;29/4/2014;"18";"8";"26";"10";"65";"12";"6";"15";"0";"1008";"0";"0";"temporale nebbia "
Povo;30/4/2014;"13";"11";"15";"12";"91";"8";"6";"11";"0";"1010";"0";"0";"pioggia "
