LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/6/2022;"24";"16";"28";"13";"51";"20";"10";"18";"0";"1014";"0";"0";""
Povo;2/6/2022;"25";"17";"29";"15";"54";"21";"9";"17";"0";"1016";"0";"0";""
Povo;3/6/2022;"23";"19";"26";"18";"76";"13";"5";"9";"0";"1019";"0";"0";"pioggia "
Povo;4/6/2022;"27";"19";"32";"16";"56";"21";"8";"17";"0";"1017";"0";"0";""
Povo;5/6/2022;"26";"18";"33";"17";"61";"19";"11";"21";"0";"1014";"0";"0";"pioggia temporale "
Povo;6/6/2022;"25";"14";"31";"13";"51";"21";"9";"17";"0";"1015";"0";"0";""
Povo;7/6/2022;"19";"15";"22";"15";"83";"16";"6";"26";"0";"1014";"0";"0";"pioggia "
Povo;8/6/2022;"22";"12";"27";"11";"53";"21";"10";"18";"0";"1009";"0";"0";"pioggia "
Povo;9/6/2022;"21";"14";"25";"8";"48";"18";"13";"30";"0";"1011";"0";"0";""
Povo;10/6/2022;"26";"18";"30";"6";"31";"23";"14";"26";"0";"1017";"0";"0";""
Povo;11/6/2022;"25";"13";"32";"10";"40";"21";"7";"13";"0";"1019";"0";"0";""
Povo;12/6/2022;"27";"14";"33";"11";"41";"21";"9";"21";"0";"1019";"0";"0";""
Povo;13/6/2022;"25";"19";"29";"16";"58";"23";"6";"9";"0";"1016";"0";"0";""
Povo;14/6/2022;"26";"15";"31";"13";"45";"20";"10";"21";"0";"1017";"0";"0";""
Povo;15/6/2022;"27";"22";"32";"16";"55";"19";"12";"22";"0";"1017";"0";"0";"pioggia "
Povo;16/6/2022;"25";"18";"30";"17";"60";"21";"5";"8";"0";"1018";"0";"0";"pioggia "
Povo;17/6/2022;"29";"16";"35";"10";"35";"20";"9";"21";"0";"1019";"0";"0";""
Povo;18/6/2022;"28";"18";"34";"13";"41";"19";"12";"22";"0";"1019";"0";"0";""
Povo;19/6/2022;"29";"20";"34";"15";"44";"20";"11";"22";"0";"1015";"0";"0";""
Povo;20/6/2022;"28";"19";"34";"16";"50";"17";"11";"22";"0";"1011";"0";"0";"pioggia temporale "
Povo;21/6/2022;"25";"19";"30";"19";"71";"18";"8";"17";"0";"1013";"0";"0";"pioggia temporale "
Povo;22/6/2022;"22";"18";"23";"19";"83";"19";"5";"8";"0";"1014";"0";"0";"pioggia "
Povo;23/6/2022;"27";"17";"33";"17";"57";"20";"10";"21";"0";"1012";"0";"0";""
Povo;24/6/2022;"26";"19";"32";"16";"58";"21";"12";"22";"0";"1010";"0";"0";"pioggia "
Povo;25/6/2022;"26";"15";"32";"12";"45";"19";"8";"15";"0";"1013";"0";"0";""
Povo;26/6/2022;"27";"16";"34";"14";"48";"19";"8";"15";"0";"1015";"0";"0";""
Povo;27/6/2022;"30";"20";"36";"16";"46";"19";"9";"18";"0";"1015";"0";"0";""
Povo;28/6/2022;"25";"19";"30";"17";"62";"17";"9";"24";"0";"1016";"0";"0";"pioggia temporale "
Povo;29/6/2022;"24";"18";"29";"18";"69";"19";"5";"8";"0";"1012";"0";"0";""
Povo;30/6/2022;"28";"19";"34";"16";"50";"17";"11";"21";"0";"1011";"0";"0";""
