LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/11/2023;"9";"3";"12";"7";"88";"22";"3";"8";"0";"1013";"0";"0";"pioggia "
Povo;2/11/2023;"10";"9";"10";"9";"95";"8";"4";"9";"0";"997";"0";"0";"pioggia "
Povo;3/11/2023;"8";"4";"10";"6";"90";"22";"7";"22";"0";"990";"0";"0";"pioggia "
Povo;4/11/2023;"7";"1";"11";"4";"81";"17";"4";"5";"0";"998";"0";"0";"pioggia "
Povo;5/11/2023;"7";"3";"12";"4";"84";"20";"4";"5";"0";"997";"0";"0";""
Povo;6/11/2023;"8";"1";"14";"5";"80";"22";"3";"5";"0";"1013";"0";"0";"nebbia "
Povo;7/11/2023;"8";"6";"10";"7";"92";"9";"4";"9";"0";"1017";"0";"0";"pioggia "
Povo;8/11/2023;"3,9";"0,3";"10,3";"-0,6";"73";"0";"3";"0";"22";"0";"1021";"0";""
Povo;9/11/2023;"5";"-1";"8";"3";"84";"18";"2";"4";"0";"1017";"0";"0";"pioggia "
Povo;10/11/2023;"8";"5";"11";"5";"86";"16";"3";"9";"0";"1006";"0";"0";"pioggia "
Povo;11/11/2023;"6";"0";"12";"3";"78";"18";"3";"5";"0";"1008";"0";"0";""
Povo;12/11/2023;"4";"0";"9";"2";"81";"19";"3";"5";"0";"1012";"0";"0";""
Povo;13/11/2023;"6";"-1";"11";"3";"82";"20";"4";"8";"0";"1017";"0";"0";""
Povo;14/11/2023;"8";"0";"14";"5";"81";"21";"5";"8";"0";"1014";"0";"0";"pioggia "
Povo;15/11/2023;"8";"2";"17";"4";"82";"13";"5";"8";"0";"1017";"0";"0";"nebbia "
Povo;16/11/2023;"5";"0";"10";"2";"78";"22";"3";"8";"0";"1017";"0";"0";""
Povo;17/11/2023;"8";"0";"15";"2";"57";"23";"8";"15";"0";"1016";"0";"0";""
Povo;18/11/2023;"5";"-1";"13";"1";"69";"18";"3";"5";"0";"1024";"0";"0";""
Povo;19/11/2023;"5";"0";"11";"2";"77";"20";"3";"5";"0";"1019";"0";"0";""
Povo;20/11/2023;"4";"-2";"10";"3";"87";"20";"4";"11";"0";"1014";"0";"0";""
Povo;21/11/2023;"4";"0";"11";"3";"90";"19";"3";"8";"0";"1010";"0";"0";""
Povo;22/11/2023;"9";"0";"17";"0";"51";"21";"8";"17";"0";"1018";"0";"0";""
Povo;23/11/2023;"5";"-1";"12";"0";"66";"20";"4";"8";"0";"1021";"0";"0";""
Povo;24/11/2023;"7";"-2";"12";"0";"59";"20";"9";"26";"0";"1002";"0";"0";""
Povo;25/11/2023;"6";"-1";"9";"0";"31";"18";"12";"18";"0";"1007";"0";"0";""
Povo;26/11/2023;"6";"-3";"12";"0";"42";"19";"9";"18";"0";"1013";"0";"0";""
Povo;27/11/2023;"2";"-5";"5";"0";"61";"20";"3";"5";"0";"1009";"0";"0";""
Povo;28/11/2023;"6";"-1";"10";"0";"52";"20";"7";"21";"0";"996";"0";"0";""
Povo;29/11/2023;"3";"-3";"9";"0";"51";"20";"4";"8";"0";"1008";"0";"0";""
Povo;30/11/2023;"3";"1";"4";"0";"75";"17";"4";"8";"0";"1005";"0";"0";""
