LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/8/2002;"15,4";"12,9";"18,3";"13,3";"87";"0";"3";"0";"41";"0";"1011";"3,6";"pioggia "
Predazzo;2/8/2002;"16,2";"11,2";"21,7";"10,9";"73";"0";"3";"0";"33";"0";"1014";"0";""
Predazzo;3/8/2002;"16,1";"11,2";"21,2";"12,3";"79";"0";"2";"0";"35";"0";"1015";"2,2";"pioggia "
Predazzo;4/8/2002;"16";"13";"20,2";"13,4";"85";"0";"3";"0";"37";"0";"1012";"3,5";"pioggia "
Predazzo;5/8/2002;"15,2";"11,2";"18,8";"12,4";"84";"0";"3";"0";"37";"0";"1012";"6,6";"pioggia "
Predazzo;6/8/2002;"12,7";"11";"13,7";"12,5";"96";"0";"2";"0";"51";"0";"1009";"12,6";"pioggia "
Predazzo;7/8/2002;"14,6";"9,6";"20,1";"8,7";"70";"0";"4";"0";"53";"0";"1008";"0";""
Predazzo;8/8/2002;"14,2";"9,5";"18,9";"8,2";"69";"0";"3";"0";"29";"0";"1010";"3,7";"pioggia "
Predazzo;9/8/2002;"12,2";"10,7";"14,3";"11,7";"96";"0";"2";"0";"27";"0";"1008";"14,5";"pioggia "
Predazzo;10/8/2002;"11,4";"10,4";"13,2";"11,9";"99";"0";"2";"0";"36";"0";"1004";"24,3";"pioggia "
Predazzo;11/8/2002;"10,9";"9,6";"12,2";"11,8";"99";"0";"3";"0";"66";"0";"998";"43,5";"pioggia "
Predazzo;12/8/2002;"13,6";"10";"18,8";"8,2";"72";"0";"3";"0";"35";"0";"1004";"0,9";"pioggia "
Predazzo;13/8/2002;"15";"9,9";"21";"7,5";"62";"0";"3";"0";"35";"0";"1012";"0";""
Predazzo;14/8/2002;"15,2";"9,5";"21,4";"8,2";"65";"0";"3";"0";"25";"0";"1016";"0";""
Predazzo;15/8/2002;"15,2";"9,9";"20,7";"9,4";"70";"0";"2";"0";"24";"0";"1015";"0,8";"pioggia "
Predazzo;16/8/2002;"15,9";"10,6";"21,4";"10";"70";"0";"2";"0";"20";"0";"1016";"5,8";"pioggia "
Predazzo;17/8/2002;"15,1";"10,7";"20,2";"10,8";"77";"0";"2";"0";"20";"0";"1015";"7,9";"pioggia "
Predazzo;18/8/2002;"14,3";"11,2";"17,7";"12,5";"89";"0";"1";"0";"19";"0";"1015";"7,6";"pioggia "
Predazzo;19/8/2002;"15";"10,3";"20,2";"11,9";"83";"0";"2";"0";"22";"0";"1018";"2,6";"pioggia "
Predazzo;20/8/2002;"15,3";"12,1";"19,8";"13,5";"89";"0";"3";"0";"25";"0";"1017";"7,3";"pioggia "
Predazzo;21/8/2002;"14,3";"10,9";"19,4";"12,2";"86";"0";"2";"0";"25";"0";"1014";"21,1";"pioggia "
Predazzo;22/8/2002;"14";"8,9";"19,6";"9,2";"75";"0";"3";"0";"26";"0";"1014";"0";""
Predazzo;23/8/2002;"14,7";"11,3";"20";"11,3";"81";"0";"2";"0";"29";"0";"1017";"2,4";"pioggia "
Predazzo;24/8/2002;"15,2";"11";"20,8";"11,7";"80";"0";"2";"0";"26";"0";"1019";"0,5";"pioggia "
Predazzo;25/8/2002;"15,4";"10,9";"21,2";"11,4";"78";"0";"3";"0";"24";"0";"1021";"0";""
Predazzo;26/8/2002;"14,9";"11";"20,3";"11,9";"83";"0";"2";"0";"28";"0";"1018";"0,6";"pioggia "
Predazzo;27/8/2002;"14,6";"11,3";"19,6";"12,1";"85";"0";"2";"0";"27";"0";"1015";"1,7";"pioggia "
Predazzo;28/8/2002;"14,2";"9,7";"19,7";"11,2";"83";"0";"3";"0";"34";"0";"1013";"0";""
Predazzo;29/8/2002;"14,3";"10,8";"19,1";"10,6";"79";"0";"2";"0";"29";"0";"1013";"10,9";"pioggia "
Predazzo;30/8/2002;"14,3";"10,1";"20,2";"11,1";"82";"0";"2";"0";"27";"0";"1018";"1";"pioggia "
Predazzo;31/8/2002;"14,7";"11";"19,9";"12,6";"88";"0";"2";"0";"25";"0";"1017";"1,9";"pioggia "
