LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/3/2003;"1,3";"-3,9";"7,9";"-4,1";"68";"0";"1";"0";"18";"0";"1024";"0";""
Predazzo;2/3/2003;"1,9";"-1,3";"5,8";"-0,4";"85";"0";"2";"0";"21";"0";"1016";"1,5";"pioggia neve "
Predazzo;3/3/2003;"2,1";"-0,2";"5,6";"-2,9";"71";"0";"4";"0";"32";"0";"1013";"1,6";"pioggia neve "
Predazzo;4/3/2003;"2,2";"-1,7";"7,9";"-4,5";"62";"0";"2";"0";"21";"0";"1021";"0";""
Predazzo;5/3/2003;"2,1";"-2,6";"8,4";"-2,8";"70";"0";"2";"0";"18";"0";"1022";"0";""
Predazzo;6/3/2003;"2,7";"-1,8";"7,2";"-0,8";"78";"0";"2";"0";"20";"0";"1016";"0";""
Predazzo;7/3/2003;"3,5";"0,6";"7,9";"-0,6";"76";"0";"2";"0";"20";"0";"1019";"1,1";"pioggia "
Predazzo;8/3/2003;"4,3";"0,7";"9,7";"-1,1";"70";"0";"2";"0";"22";"0";"1022";"0";""
Predazzo;9/3/2003;"3,3";"0,4";"7,3";"-2";"68";"0";"2";"0";"24";"0";"1024";"0";""
Predazzo;10/3/2003;"4,8";"0,1";"11,4";"-3,2";"57";"0";"2";"0";"33";"0";"1024";"0";""
Predazzo;11/3/2003;"4,6";"-0,1";"10,7";"-0,9";"68";"0";"2";"0";"19";"0";"1024";"0";""
Predazzo;12/3/2003;"5,1";"0,4";"11,5";"0,8";"74";"0";"3";"0";"28";"0";"1018";"0";""
Predazzo;13/3/2003;"3,8";"-0,9";"10,2";"-4,6";"56";"0";"4";"0";"37";"0";"1020";"2,9";"pioggia neve "
Predazzo;14/3/2003;"-0,2";"-3,6";"3,6";"-8,1";"55";"0";"2";"0";"23";"0";"1025";"12,1";"pioggia neve "
Predazzo;15/3/2003;"-0,4";"-4,8";"4,6";"-8,6";"55";"0";"2";"0";"26";"0";"1031";"5,4";"pioggia neve "
Predazzo;16/3/2003;"0,3";"-5,6";"6,6";"-7,2";"58";"0";"2";"0";"26";"0";"1033";"0";""
Predazzo;17/3/2003;"1,5";"-5,1";"8,3";"-7,5";"52";"0";"3";"0";"26";"0";"1027";"0";""
Predazzo;18/3/2003;"2,1";"-3,4";"8,3";"-6,2";"55";"0";"2";"0";"17";"0";"1025";"0";""
Predazzo;19/3/2003;"2,9";"-3,1";"9,9";"-4,4";"59";"0";"2";"0";"18";"0";"1023";"0";""
Predazzo;20/3/2003;"3,7";"-2,2";"10,7";"-4,8";"55";"0";"3";"0";"23";"0";"1019";"0";""
Predazzo;21/3/2003;"2,6";"-2";"7,7";"-3,5";"65";"0";"3";"0";"24";"0";"1021";"0";""
Predazzo;22/3/2003;"3,3";"-1,2";"9,2";"-1,6";"72";"0";"3";"0";"23";"0";"1025";"0";""
Predazzo;23/3/2003;"3,9";"-2,1";"10,7";"-2,5";"65";"0";"2";"0";"18";"0";"1029";"0";""
Predazzo;24/3/2003;"5,5";"-0,9";"12,5";"-1,7";"61";"0";"2";"0";"19";"0";"1027";"0";""
Predazzo;25/3/2003;"6";"-0,2";"13";"-1";"62";"0";"2";"0";"19";"0";"1021";"0";""
Predazzo;26/3/2003;"5,9";"0,2";"12,6";"0,2";"69";"0";"2";"0";"21";"0";"1018";"0";""
Predazzo;27/3/2003;"5,7";"0";"12,4";"-0,3";"67";"0";"2";"0";"27";"0";"1019";"0";""
Predazzo;28/3/2003;"5,8";"0,4";"11,9";"0,9";"71";"0";"2";"0";"24";"0";"1017";"0";""
Predazzo;29/3/2003;"6,2";"0,7";"11,7";"2";"75";"0";"2";"0";"27";"0";"1015";"0";""
Predazzo;30/3/2003;"6,4";"1,3";"11,7";"3";"79";"0";"2";"0";"27";"0";"1015";"0";""
Predazzo;31/3/2003;"6,3";"3";"10,4";"2,7";"78";"0";"2";"0";"24";"0";"1016";"6,6";"pioggia "
