LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/7/2007;"15,5";"11,9";"19,9";"12,7";"84";"0";"2";"0";"33";"0";"1015";"4,4";"pioggia "
Predazzo;2/7/2007;"15";"12,1";"18,5";"13,1";"89";"0";"2";"0";"53";"0";"1011";"12";"pioggia "
Predazzo;3/7/2007;"13,5";"10,4";"16,9";"11,3";"87";"0";"4";"0";"46";"0";"1010";"3,7";"pioggia "
Predazzo;4/7/2007;"11,4";"7,9";"14,6";"8,4";"82";"0";"3";"0";"38";"0";"1005";"17,1";"pioggia "
Predazzo;5/7/2007;"11,7";"7";"16,4";"3,7";"58";"0";"3";"0";"29";"0";"1012";"4,9";"pioggia "
Predazzo;6/7/2007;"14,4";"7,2";"21";"6,9";"62";"0";"4";"0";"33";"0";"1013";"0";""
Predazzo;7/7/2007;"17,2";"10,4";"23,7";"11,1";"70";"0";"2";"0";"32";"0";"1015";"0";""
Predazzo;8/7/2007;"17,6";"13,1";"23,1";"12,9";"76";"0";"3";"0";"29";"0";"1017";"3,7";"pioggia "
Predazzo;9/7/2007;"14,8";"9,8";"18,7";"13,5";"92";"0";"4";"0";"56";"0";"1011";"27,5";"pioggia "
Predazzo;10/7/2007;"11,9";"8,5";"17,1";"5,1";"65";"0";"4";"0";"54";"0";"1009";"9,1";"pioggia "
Predazzo;11/7/2007;"11,4";"7";"15,9";"4,7";"64";"0";"2";"0";"28";"0";"1013";"7";"pioggia "
Predazzo;12/7/2007;"12,9";"7,3";"18";"5,9";"64";"0";"2";"0";"32";"0";"1017";"7,4";"pioggia "
Predazzo;13/7/2007;"14,7";"9,3";"19,8";"10";"75";"0";"2";"0";"29";"0";"1020";"0";""
Predazzo;14/7/2007;"18,7";"11,6";"25,5";"13,1";"72";"0";"3";"0";"28";"0";"1021";"0";""
Predazzo;15/7/2007;"20,3";"13,4";"27,4";"13,8";"69";"0";"3";"0";"32";"0";"1021";"0";""
Predazzo;16/7/2007;"20,1";"13,1";"27,1";"12";"63";"0";"3";"0";"38";"0";"1020";"0";""
Predazzo;17/7/2007;"20,5";"13,3";"27,6";"11,7";"60";"0";"3";"0";"34";"0";"1018";"0";""
Predazzo;18/7/2007;"20,8";"13,8";"27,8";"11,4";"57";"0";"3";"0";"34";"0";"1017";"0";""
Predazzo;19/7/2007;"20,6";"13,9";"27";"11,9";"60";"0";"3";"0";"32";"0";"1016";"0";""
Predazzo;20/7/2007;"19,9";"14";"25,7";"11,6";"61";"0";"3";"0";"35";"0";"1014";"0";""
Predazzo;21/7/2007;"19,1";"13,7";"24,6";"11,1";"61";"0";"4";"0";"40";"0";"1013";"0";""
Predazzo;22/7/2007;"18,3";"12,5";"24";"9,6";"59";"0";"4";"0";"42";"0";"1010";"0";""
Predazzo;23/7/2007;"17,9";"12,1";"23,7";"10,5";"64";"0";"4";"0";"43";"0";"1009";"0";""
Predazzo;24/7/2007;"16,7";"11,9";"22";"9,8";"66";"0";"3";"0";"62";"0";"1006";"1,7";"pioggia "
Predazzo;25/7/2007;"16,5";"9,8";"22,9";"7,3";"57";"0";"4";"0";"33";"0";"1014";"0";""
Predazzo;26/7/2007;"15,9";"11,3";"20,4";"10,7";"72";"0";"3";"0";"31";"0";"1015";"0";""
Predazzo;27/7/2007;"17,8";"12";"23,5";"11,7";"69";"0";"2";"0";"33";"0";"1015";"1,8";"pioggia "
Predazzo;28/7/2007;"17,4";"13,1";"22,4";"13,4";"77";"0";"2";"0";"35";"0";"1015";"9,6";"pioggia "
Predazzo;29/7/2007;"15,4";"12,4";"19,6";"12";"80";"0";"2";"0";"32";"0";"1013";"10,3";"pioggia "
Predazzo;30/7/2007;"14,2";"10,4";"19,6";"6,7";"64";"0";"3";"0";"31";"0";"1009";"13,6";"pioggia "
Predazzo;31/7/2007;"12,1";"7,7";"17,4";"3,3";"56";"0";"3";"0";"34";"0";"1015";"3";"pioggia "
