LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/12/2011;"2,3";"0,2";"6,2";"-0,8";"80";"0";"1";"0";"21";"0";"1026";"0";""
Predazzo;2/12/2011;"2,8";"1";"5,1";"1,7";"92";"0";"1";"0";"32";"0";"1021";"0";""
Predazzo;3/12/2011;"4";"3";"5,5";"4,3";"99";"0";"1";"0";"31";"0";"1016";"0";""
Predazzo;4/12/2011;"3,4";"2,1";"5,6";"3,2";"98";"0";"1";"0";"26";"0";"1012";"0";""
Predazzo;5/12/2011;"2,8";"0,3";"6,1";"0,3";"84";"0";"2";"0";"35";"0";"1004";"0";""
Predazzo;6/12/2011;"0,9";"-1";"4,4";"-5";"64";"0";"2";"0";"23";"0";"1012";"0";""
Predazzo;7/12/2011;"0,1";"-1,9";"2,8";"-3,2";"79";"0";"2";"0";"41";"0";"1013";"0";""
Predazzo;8/12/2011;"0,9";"-1,1";"4,2";"-4,9";"66";"0";"2";"0";"47";"0";"1019";"0";""
Predazzo;9/12/2011;"0,3";"-2";"3,2";"-2,9";"79";"0";"0";"0";"24";"0";"1020";"0";""
Predazzo;10/12/2011;"1,8";"-0,1";"5,2";"0,3";"90";"0";"1";"0";"19";"0";"1016";"0";""
Predazzo;11/12/2011;"1,4";"-0,5";"4";"0,1";"91";"0";"1";"0";"19";"0";"1019";"0";""
Predazzo;12/12/2011;"1,2";"0,2";"2,7";"1,2";"98";"0";"2";"0";"55";"0";"1014";"7,8";"pioggia neve "
Predazzo;13/12/2011;"0,1";"-2,2";"2,2";"-3,6";"76";"0";"2";"0";"31";"0";"1016";"0";""
Predazzo;14/12/2011;"0,5";"-1,3";"1,8";"-0,8";"89";"0";"1";"0";"30";"0";"1015";"2,6";"pioggia neve "
Predazzo;15/12/2011;"1,1";"-0,9";"3,4";"-0,8";"87";"0";"2";"0";"33";"0";"1012";"0";""
Predazzo;16/12/2011;"-1,4";"-3,4";"-0";"-2,8";"89";"0";"2";"0";"47";"0";"1000";"10,6";"pioggia neve "
Predazzo;17/12/2011;"-2,1";"-4";"-0,1";"-10,9";"51";"0";"6";"0";"49";"0";"998";"0";""
Predazzo;18/12/2011;"-4,9";"-6,6";"-2,8";"-12,3";"56";"0";"3";"0";"25";"0";"1011";"0";""
Predazzo;19/12/2011;"-6,6";"-9,8";"-2,7";"-13,7";"57";"0";"5";"0";"33";"0";"1015";"0";""
Predazzo;20/12/2011;"-7,5";"-10,3";"-4,2";"-15,1";"54";"0";"4";"0";"29";"0";"1015";"0";""
Predazzo;21/12/2011;"-6,2";"-10,1";"-2,5";"-11,2";"67";"0";"5";"0";"35";"0";"1015";"0";""
Predazzo;22/12/2011;"-3,4";"-6,6";"-0,2";"-5,2";"86";"0";"3";"0";"30";"0";"1020";"0";"neve "
Predazzo;23/12/2011;"-1,8";"-4,8";"2,3";"-2,9";"91";"0";"2";"0";"30";"0";"1022";"0";""
Predazzo;24/12/2011;"-3,1";"-6,3";"-1";"-7,2";"73";"0";"4";"0";"53";"0";"1019";"0";""
Predazzo;25/12/2011;"-2,4";"-4,9";"1,6";"-9";"60";"0";"4";"0";"42";"0";"1031";"0";""
Predazzo;26/12/2011;"-1,9";"-5,3";"2,1";"-5,4";"77";"0";"3";"0";"25";"0";"1035";"0";""
Predazzo;27/12/2011;"-0,3";"-3,4";"4,2";"-2,3";"86";"0";"1";"0";"16";"0";"1035";"0";""
Predazzo;28/12/2011;"-0";"-2,6";"4,2";"-3,3";"78";"0";"1";"0";"14";"0";"1028";"0";""
Predazzo;29/12/2011;"-1,6";"-3,7";"1,2";"-4,4";"81";"0";"1";"0";"17";"0";"1021";"0,7";"pioggia neve "
Predazzo;30/12/2011;"-2,9";"-4,2";"-0,3";"-8,5";"65";"0";"4";"0";"55";"0";"1013";"0";"neve "
Predazzo;31/12/2011;"-3,4";"-5,7";"-0,6";"-9,9";"60";"0";"3";"0";"42";"0";"1017";"0";""
