LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/11/2012;"2,3";"0,3";"4,2";"3,5";"99";"0";"2";"0";"62";"0";"995";"18,6";"pioggia neve "
Predazzo;2/11/2012;"4,5";"2,7";"7,2";"3,2";"91";"0";"2";"0";"30";"0";"1006";"0";""
Predazzo;3/11/2012;"5";"3";"6,7";"3,6";"90";"0";"1";"0";"33";"0";"1013";"0";""
Predazzo;4/11/2012;"4,6";"3,8";"5,7";"5,8";"100";"0";"1";"0";"67";"0";"1008";"20,8";"pioggia "
Predazzo;5/11/2012;"3,5";"0,5";"5,5";"3";"92";"0";"3";"0";"70";"0";"1000";"16,1";"pioggia "
Predazzo;6/11/2012;"2,4";"0,5";"6";"-3";"67";"0";"2";"0";"22";"0";"1013";"0,5";"pioggia "
Predazzo;7/11/2012;"2,3";"-1,1";"7,1";"-3,6";"65";"0";"3";"0";"24";"0";"1024";"0";""
Predazzo;8/11/2012;"3,1";"0,2";"7,7";"-0,1";"79";"0";"1";"0";"19";"0";"1023";"0";""
Predazzo;9/11/2012;"4,2";"0,8";"9";"1,2";"81";"0";"1";"0";"18";"0";"1019";"0,5";"pioggia "
Predazzo;10/11/2012;"3,9";"2,6";"5";"4,4";"98";"0";"2";"0";"47";"0";"1016";"14";"pioggia "
Predazzo;11/11/2012;"2,7";"1,3";"4,2";"5,2";"100";"0";"4";"0";"85";"0";"1012";"89,4";"pioggia "
Predazzo;12/11/2012;"5,4";"2,9";"7,3";"5,8";"98";"0";"3";"0";"18";"0";"1020";"2,3";"pioggia "
Predazzo;13/11/2012;"6,3";"5,1";"7,8";"4,8";"90";"0";"2";"0";"18";"0";"1027";"0,8";"pioggia "
Predazzo;14/11/2012;"5,5";"2,9";"8,1";"2,2";"79";"0";"1";"0";"14";"0";"1027";"0";""
Predazzo;15/11/2012;"3,8";"0,6";"8,6";"-2,6";"63";"0";"1";"0";"15";"0";"1022";"0";""
Predazzo;16/11/2012;"2,3";"-0,9";"7,5";"-4,3";"62";"0";"1";"0";"15";"0";"1021";"0";""
Predazzo;17/11/2012;"1,1";"-2,5";"5,9";"-3,7";"70";"0";"1";"0";"15";"0";"1018";"0";""
Predazzo;18/11/2012;"1,3";"-1,7";"4,2";"-4,1";"67";"0";"2";"0";"12";"0";"1015";"0";""
Predazzo;19/11/2012;"3,2";"1";"5,2";"0,4";"82";"0";"3";"0";"19";"0";"1015";"0";""
Predazzo;20/11/2012;"4,4";"2,4";"8,1";"2,9";"90";"0";"2";"0";"20";"0";"1017";"0";""
Predazzo;21/11/2012;"3,8";"1,4";"7,7";"0,6";"80";"0";"2";"0";"18";"0";"1019";"0";""
Predazzo;22/11/2012;"3,5";"1,4";"5,8";"1,3";"86";"0";"1";"0";"14";"0";"1022";"1,7";"pioggia "
Predazzo;23/11/2012;"4,1";"1,9";"6,7";"2,8";"91";"0";"1";"0";"12";"0";"1022";"0,5";"pioggia "
Predazzo;24/11/2012;"4,7";"2,5";"7,7";"1,4";"79";"0";"1";"0";"18";"0";"1023";"0";""
Predazzo;25/11/2012;"5";"3,5";"7,5";"2,8";"86";"0";"1";"0";"18";"0";"1021";"0";""
Predazzo;26/11/2012;"4,6";"3,8";"5,9";"4,5";"96";"0";"1";"0";"28";"0";"1017";"0";""
Predazzo;27/11/2012;"4,1";"2,6";"5,6";"4,9";"99";"0";"2";"0";"40";"0";"1009";"19,7";"pioggia neve "
Predazzo;28/11/2012;"1,8";"0,2";"2,9";"3,7";"100";"0";"4";"0";"63";"0";"996";"73,5";"pioggia neve "
Predazzo;29/11/2012;"1";"0";"2,4";"0";"89";"0";"3";"0";"33";"0";"992";"3,4";"pioggia "
Predazzo;30/11/2012;"-0,5";"-1,7";"1";"-6,8";"62";"0";"4";"0";"33";"0";"1001";"0,9";"pioggia neve "
